MGI	HMD	PhenoGeno
MGI:1860188	NA	MP:0000564,MP:0003717,MP:0005565,MP:0002109,MP:0000783,MP:0001697,MP:0000841,MP:0011100,MP:0003743,MP:0011495,MP:0002111,MP:0003720,MP:0003054,MP:0001293,MP:0000914,MP:0001297,MP:0002590,MP:0000428,MP:0000111,MP:0001785,MP:0000897,MP:0010052
MGI:1353616	NA	MP:0001823
MGI:2679684	NA	MP:0011102,MP:0001262,MP:0002169,MP:0005566,MP:0003961,MP:0009142,MP:0000914,MP:0001325,MP:0008805,MP:0002092,MP:0010053
MGI:2670904	NA	MP:0011087,MP:0002169,MP:0002705,MP:0008108,MP:0011050,MP:0014080,MP:0000477,MP:0011100,MP:0010809,MP:0003215,MP:0006382,MP:0001954,MP:0008141,MP:0008109,MP:0002989,MP:0002270,MP:0003675,MP:0001575,MP:0011089,MP:0001175,MP:0014473,MP:0008528,MP:0010752,MP:0004391,MP:0004967,MP:0011350
MGI:2143854	NA	MP:0001923
MGI:3615324	NA	MP:0002169,MP:0011098
MGI:3642801	NA	MP:0002675,MP:0001922,MP:0009237,MP:0009647,MP:0009832
MGI:1341879	NA	MP:0011044,MP:0011047,MP:0002311,MP:0010896,MP:0010935
MGI:1341157	NA	MP:0014052,MP:0001156,MP:0001289,MP:0005159,MP:0013279,MP:0001925,MP:0006380,MP:0001155,MP:0003733,MP:0002631,MP:0004930,MP:0006379,MP:0001147,MP:0031355,MP:0004852,MP:0008279,MP:0020550
MGI:2685369	NA	MP:0002169
MGI:2685198	NA	MP:0001402,MP:0001262,MP:0002169,MP:0003921,MP:0009674,MP:0003233,MP:0002833,MP:0003402,MP:0003717,MP:0020345,MP:0006267,MP:0002190,MP:0001544,MP:0000278,MP:0004011,MP:0004565,MP:0004564,MP:0002834,MP:0004117,MP:0011085,MP:0000277,MP:0004124,MP:0003920,MP:0003137,MP:0012624,MP:0010508,MP:0001625,MP:0004067,MP:0010420,MP:0003896,MP:0003638,MP:0001732,MP:0003222,MP:0010519,MP:0008489,MP:0010640
MGI:1333791	NA	MP:0001011,MP:0001008,MP:0001025,MP:0001046,MP:0001015,MP:0001344
MGI:2667725	NA	MP:0009763,MP:0031121,MP:0008770
MGI:2449470	NA	MP:0000120,MP:0004100,MP:0002083,MP:0003880,MP:0008547,MP:0010540,MP:0001524,MP:0001406,MP:0001522,MP:0005424,MP:0003936
MGI:1918771	NA	MP:0010402,MP:0011087,MP:0009674,MP:0001780,MP:0008148,MP:0008276,MP:0000266,MP:0011101,MP:0009703,MP:0003604,MP:0004200,MP:0000157,MP:0001954,MP:0004620,MP:0000379,MP:0000137,MP:0000150,MP:0009267,MP:0010412,MP:0001044,MP:0004615,MP:0009890,MP:0010403,MP:0003446,MP:0004201,MP:0004607,MP:0000520,MP:0004046,MP:0009888,MP:0003419,MP:0000284,MP:0010418,MP:0002060,MP:0004505
MGI:3039583	NA	MP:0002574
MGI:1270840	NA	MP:0001402,MP:0002874,MP:0005562,MP:0003119,MP:0000208,MP:0013278,MP:0008108,MP:0000490
MGI:1919451	NA	MP:0010402,MP:0011089,MP:0002606,MP:0011110,MP:0004200
MGI:2449143	NA	MP:0001146,MP:0010052,MP:0002631,MP:0001147,MP:0004931
