type	DRC150
moderate	0.00234803
moderate	0.00237581
moderate	0.00278674
moderate	0.00340962
moderate	0.00234971
moderate	0.00232417
moderate	0.00235922
moderate	0.00220307
moderate	0.00231149
moderate	0.0016467
moderate	0.00106346
moderate	0.00151372
moderate	0.00209648
moderate	0.00178147
moderate	0.00163144
moderate	0.00210497
moderate	0.00245971
moderate	0.00265959
moderate	0.00236675
moderate	0.0014773
moderate	0.0015651
moderate	0.00101456
moderate	0.00319018
moderate	0.00386441
moderate	0.00375322
moderate	0.0036496
moderate	0.00365003
moderate	0.00171173
moderate	0.00197542
moderate	0.00123756
moderate	0.00249455
moderate	0.00270514
moderate	0.00280552
moderate	0.0024109
moderate	0.00153074
moderate	0.00186662
moderate	0.0028234
moderate	0.00363985
moderate	0.0039851
moderate	0.00129843
moderate	0.00248518
moderate	0.00188696
moderate	0.00188938
moderate	0.00161765
moderate	0.00188768
moderate	0.00194911
moderate	0.00219519
moderate	0.00218572
moderate	0.00215197
moderate	0.00206948
moderate	0.00137622
moderate	0.00138394
moderate	0.00195992
moderate	0.00215039
moderate	0.00212135
moderate	0.00113794
moderate	0.00174104
moderate	0.0016248
moderate	0.00190952
moderate	0.000892747
moderate	0.00203199
moderate	0.00159321
moderate	0.00136312
moderate	0.00264574
moderate	0.00180236
moderate	0.0019842
moderate	0.00193252
moderate	0.00197928
moderate	0.00191042
moderate	0.00121858
moderate	0.00268199
moderate	0.00113168
moderate	0.00229277
moderate	0.0014637
moderate	0.0017309
moderate	0.00200079
moderate	0.00158163
moderate	0.00201303
moderate	0.00175743
moderate	0.00115324
moderate	0.00428873
moderate	0.00396396
moderate	0.000919857
moderate	0.00131326
moderate	0.0014966
moderate	0.00120367
moderate	0.00126625
moderate	0.0027157
moderate	0.00214782
moderate	0.00204786
moderate	0.00186216
moderate	0.00187118
moderate	0.00114906
moderate	0.00165753
moderate	0.00193231
moderate	0.00186454
moderate	0.00170372
moderate	0.0017227
moderate	0.00197805
moderate	0.00171147
moderate	0.00140965
moderate	0.00169172
moderate	0.00138228
moderate	0.00129958
moderate	0.00197254
moderate	0.0020731
moderate	0.00214127
moderate	0.00229827
moderate	0.00221018
moderate	0.00124831
moderate	0.00148027
moderate	0.00214355
moderate	0.00274587
moderate	0.00100341
moderate	0.00155591
moderate	0.00171284
moderate	0.00243607
moderate	0.0017611
moderate	0.0020288
moderate	0.0013358
moderate	0.00141638
moderate	0.00164526
moderate	0.00240985
moderate	0.00170361
moderate	0.00167243
moderate	0.00358471
moderate	0.00226492
moderate	0.00127203
moderate	0.00118589
moderate	0.00151252
moderate	0.00120926
moderate	0.00207295
moderate	0.00213983
moderate	0.00207168
moderate	0.00286591
moderate	0.00173326
moderate	0.00184714
moderate	0.00144331
moderate	0.00165014
moderate	0.00166998
moderate	0.00139179
moderate	0.00162768
moderate	0.00191847
moderate	0.00129637
moderate	0.00141155
moderate	0.00194627
moderate	0.00240676
moderate	0.00197241
moderate	0.00256554
moderate	0.00270178
moderate	0.00195855
moderate	0.00207387
moderate	0.00337115
moderate	0.00219179
moderate	0.00134814
moderate	0.00168493
moderate	0.00202393
moderate	0.00152427
moderate	0.0018865
moderate	0.00122479
moderate	0.00200064
moderate	0.00368255
moderate	0.00528185
moderate	0.000984687
moderate	0.00160535
moderate	0.00191343
moderate	0.00197906
moderate	0.00198595
moderate	0.00368079
moderate	0.00381237
moderate	0.00132112
moderate	0.00221244
moderate	0.00243052
moderate	0.00129231
moderate	0.00189265
moderate	0.00221071
moderate	0.00235489
moderate	0.00256978
moderate	0.00141704
moderate	0.00105262
moderate	0.00181463
moderate	0.00199922
moderate	0.00207812
moderate	0.00182403
moderate	0.00142357
moderate	0.00110724
moderate	0.00248301
moderate	0.00253212
moderate	0.00259904
moderate	0.00321129
moderate	0.00485664
moderate	0.005307
moderate	0.00499784
moderate	0.00376028
moderate	0.0018985
moderate	0.00126217
moderate	0.00162968
moderate	0.00148002
moderate	0.000426472
moderate	0.00218987
moderate	0.00227645
moderate	0.00159454
moderate	0.00142004
moderate	0.000804889
moderate	0.00149324
moderate	0.00129587
moderate	0.00230562
moderate	0.00121791
moderate	0.00064293
moderate	0.0017295
moderate	0.00190506
moderate	0.00164551
moderate	0.00165647
moderate	0.00155016
moderate	0.000799811
moderate	0.00138488
moderate	0.00139745
moderate	0.00198291
moderate	0.00202444
moderate	0.00123659
moderate	0.00198866
moderate	0.00250898
moderate	0.00163502
moderate	0.00104711
moderate	0.00146274
moderate	0.00216652
moderate	0.000727636
moderate	0.00145539
moderate	0.00274159
moderate	0.000805079
moderate	0.00119849
moderate	0.00183871
moderate	0.00153059
moderate	0.00200613
moderate	0.00159469
moderate	0.00169875
moderate	0.00172077
moderate	0.00225746
moderate	0.0018476
moderate	0.00153707
moderate	0.00148686
moderate	0.00124849
moderate	0.00131361
moderate	0.00185399
moderate	0.00171653
moderate	0.00161096
moderate	0.00143252
moderate	0.000948639
moderate	0.00135457
moderate	0.00104982
moderate	0.00180626
moderate	0.00181684
moderate	0.00175234
moderate	0.00205814
moderate	0.00181776
moderate	0.0011264
moderate	0.00190463
moderate	0.00128837
moderate	0.00271911
moderate	0.00247274
moderate	0.00188887
moderate	0.00267238
moderate	0.00151241
moderate	0.00121183
moderate	0.00124322
moderate	0.00134687
moderate	0.00205784
moderate	0.00310115
moderate	0.00169109
moderate	0.00192268
moderate	0.00189505
moderate	0.00191722
moderate	0.00211124
moderate	0.00167619
moderate	0.00122923
moderate	0.00179438
moderate	0.00179106
moderate	0.00218575
moderate	0.0022418
moderate	0.00140813
moderate	0.0010722
moderate	0.00170913
moderate	0.00186558
moderate	0.00213423
moderate	0.00179217
moderate	0.00184163
moderate	0.0019058
moderate	0.0016942
moderate	0.00159049
moderate	0.00137614
moderate	0.00201081
moderate	0.00189181
moderate	0.00156364
moderate	0.00216681
moderate	0.00223073
moderate	0.00192588
moderate	0.00236428
moderate	0.00199942
moderate	0.00200756
moderate	0.00204904
moderate	0.00198056
moderate	0.00189427
moderate	0.00206914
moderate	0.00185675
moderate	0.00199175
moderate	0.00205874
moderate	0.0015663
moderate	0.00142989
moderate	0.00205943
moderate	0.00209277
moderate	0.00272503
moderate	0.00148952
moderate	0.00146885
moderate	0.00149927
moderate	0.00246047
moderate	0.00182936
moderate	0.00171234
moderate	0.00124378
moderate	0.00245393
moderate	0.00200405
moderate	0.00176144
moderate	0.0022043
moderate	0.00133722
moderate	0.00130272
moderate	0.00171579
moderate	0.00145727
moderate	0.00167901
moderate	0.0015287
moderate	0.00130706
moderate	0.00133188
moderate	0.00126844
moderate	0.00197503
moderate	0.0016961
moderate	0.00160821
moderate	0.00129778
moderate	0.00169654
moderate	0.0012982
moderate	0.00165938
moderate	0.00188228
moderate	0.00183611
moderate	0.00188125
moderate	0.00152679
moderate	0.00175836
moderate	0.00147875
moderate	0.00147271
moderate	0.00131282
moderate	0.00136117
moderate	0.0022014
moderate	0.00162762
moderate	0.00165235
moderate	0.00191235
moderate	0.00277344
moderate	0.00162779
moderate	0.00158224
moderate	0.00156402
moderate	0.00106745
moderate	0.00165956
moderate	0.00123976
moderate	0.00106638
moderate	0.00161661
moderate	0.00142692
moderate	0.00203811
moderate	0.00211855
moderate	0.00317303
moderate	0.00287673
moderate	0.00273263
moderate	0.00266009
moderate	0.00263092
moderate	0.00252533
moderate	0.00222416
moderate	0.0022588
moderate	0.00254692
moderate	0.00250828
moderate	0.00259254
moderate	0.00255025
moderate	0.00156797
moderate	0.00276149
moderate	0.00154261
moderate	0.00250323
moderate	0.00147104
moderate	0.00116254
moderate	0.00143354
moderate	0.00146035
moderate	0.00243036
moderate	0.0010774
moderate	0.00242259
moderate	0.00116758
moderate	0.0014097
moderate	0.00080338
moderate	0.00153151
moderate	0.00128799
moderate	0.00133846
moderate	0.00179141
moderate	0.000991543
moderate	0.00185013
moderate	0.00124731
moderate	0.00130895
moderate	0.00098021
moderate	0.00176651
moderate	0.00186221
moderate	0.0011383
moderate	0.00108435
moderate	0.002526
moderate	0.00141405
moderate	0.00176355
moderate	0.00115718
moderate	0.0017527
moderate	0.00156865
moderate	0.00186447
moderate	0.00235932
moderate	0.00224008
moderate	0.00166771
moderate	0.00377575
moderate	0.0038962
moderate	0.00351672
moderate	0.00299113
moderate	0.0031638
moderate	0.00168203
moderate	0.00136993
moderate	0.00179765
moderate	0.00127772
moderate	0.00262934
moderate	0.00197124
moderate	0.00169692
moderate	0.00162802
moderate	0.00193556
moderate	0.00268855
moderate	0.00233444
moderate	0.00210917
moderate	0.00190384
moderate	0.00183993
moderate	0.00178373
moderate	0.00166848
moderate	0.00148794
moderate	0.00150562
moderate	0.00128545
moderate	0.00130477
moderate	0.00142377
moderate	0.00140754
moderate	0.00141875
moderate	0.00168846
