"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036477","somatodendritic compartment","68/1001","862/19960",0.0788863109048724,1.57299776789336,3.95176702620665,0.000144635690002389,0.00364267663709721,0.00313518298796602,"RPH3A/RELN/NQO1/NSF/BMPR1B/KCNJ11/KIFAP3/TUBB3/KCNQ1/BIN1/DDN/KIF1B/ADCY9/HTR4/BSN/HCN4/WFS1/SLC22A3/DNM3/MARK3/TENM2/VTI1A/RGS14/TBX21/CADM1/ASTN2/IGF2BP1/ABHD17C/MARK4/SYNE1/MTOR/KCND3/NDFIP1/USP8/SLC38A1/SLC4A10/KCNN3/SCGN/CPNE5/LRP4/CADM2/BPTF/AGO2/PREX1/CHRNA3/CHRNA4/APOB/APOE/BDNF/CLU/NRSN1/PPP1R1B/SLC6A3/DRD2/PTK2/GHR/GNA12/GRIA1/INSR/LDLR/MAPT/NF1/NTRK1/PCSK1/TGFB1/TGFB2/TOP1/PDE4B",68
"GO:0048471","perinuclear region of cytoplasm","61/1001","754/19960",0.0809018567639257,1.61318787313482,3.94402339620944,0.000160754103658481,0.00390402823170597,0.00336012336970359,"AP1G1/NFATC1/CAV1/SLK/ATP6V0A1/CDKN1A/MYO6/PTPN22/CAV2/ALDH1A2/CEP250/HFE/FAF1/NPC1/ATXN2/HCN4/ATP9A/DNM3/KCNH2/EXOC6/VTI1A/SYT6/IGF2BP1/CCAR1/DOCK6/RHBDD2/OSBPL7/LRPPRC/MMD2/STX16/ARHGAP10/SYNE1/NDFIP1/PCSK9/ENPP3/PKHD1/SLC17A3/PDE8B/BPTF/NANOS2/CTIF/PREX1/AKAP6/BCL3/BDNF/GLB1/CLU/CTLA4/PTK2/GNAS/IGF2R/NOS2/PCSK1/PRKCA/PRKCE/SCN5A/TGFA/THBS3/TYR/UGT1A1/PDE4B",61
"GO:0030658","transport vesicle membrane","27/1001","254/19960",0.106299212598425,2.11961267079377,4.12633171991176,0.000197052131937118,0.00462053274887035,0.00397680527611752,"AP1G1/RPH3A/SYN2/ATP6V0A1/ATP2B1/RAB5B/ATM/SREBF2/BIN1/KIF1B/BSN/WFS1/VTI1A/SYT6/TMEM163/STX16/GOSR2/RAB27B/SCGN/SLC30A8/ATP6V1G3/DBH/DRD2/GRIA1/TGFA/ECE2/SEC16B",27
"GO:0005794","Golgi apparatus","115/1001","1657/19960",0.0694025347012674,1.38389070193536,3.74961279310412,0.000206499760672191,0.00468066124190299,0.00402855673451713,"AP1G1/CAV1/RPH3A/VEGFA/INPP5B/ATP6V0A1/NSF/MYO6/LTBR/CLN3/KIFAP3/CAV2/SREBF2/AP3D1/ST6GAL1/MACF1/DNM2/NPC1/MYOC/STMN3/ATXN2/ST3GAL4/ATP9A/PHTF1/CYTH3/SMAD6/AP3S2/CBFA2T3/TNKS/TLR1/MMP24/TENM2/ESR1/RABGAP1L/HS6ST3/VTI1A/COPG1/PDGFC/BACE2/TRAPPC6A/QPCTL/COG6/GPSM1/UXS1/RHBDD2/ARAP1/AGBL4/TBC1D5/FAIM2/PLCE1/SIPA1L3/CLEC16A/MMD2/CEP128/STX16/CCDC88B/CHSY3/SYNE1/GOSR2/MTOR/NDFIP1/RAB27B/ABO/PCSK9/NAPEPLD/EMID1/PKHD1/ASH1L/SEMA6D/NAA25/SLC30A8/PLEKHM3/RAB3GAP1/WSCD2/SLC30A10/CCDC170/COLEC10/CHRNA3/APOE/GLB1/CLU/CTLA4/CUX1/EXT1/MGAT5/DRD2/FES/FGFR2/FGFR3/FGFR4/GNAS/GRN/IGF2R/KDR/LDLR/LRP1/NCAM1/PCSK1/PRKCE/SRGN/PTHLH/TGFB1/WNT3/WNT4/RAPSN/ACAN/ADCY3/ARL17B/ECE2/FUT2/INS/KPNA2/MS4A6A/PDXDC1/SEC16B",115
"GO:0030672","synaptic vesicle membrane","18/1001","143/19960",0.125874125874126,2.50993761483272,4.16377048892825,0.0002950587524096,0.00612210189039848,0.00526917747842346,"RPH3A/SYN2/ATP6V0A1/ATP2B1/RAB5B/ATM/BIN1/KIF1B/BSN/WFS1/VTI1A/SYT6/TMEM163/STX16/RAB27B/ATP6V1G3/DRD2/GRIA1",18
"GO:0099501","exocytic vesicle membrane","18/1001","143/19960",0.125874125874126,2.50993761483272,4.16377048892825,0.0002950587524096,0.00612210189039848,0.00526917747842346,"RPH3A/SYN2/ATP6V0A1/ATP2B1/RAB5B/ATM/BIN1/KIF1B/BSN/WFS1/VTI1A/SYT6/TMEM163/STX16/RAB27B/ATP6V1G3/DRD2/GRIA1",18
"GO:0098588","bounding membrane of organelle","147/1001","2232/19960",0.0658602150537634,1.31325663583728,3.60824665544572,0.000297102003504632,0.00612210189039848,0.00526917747842346,"AP1G1/AP2A2/CAV1/MFGE8/RPH3A/ACSL1/FCGRT/SYN2/MTX1/INPP5B/ATP6V0A1/NSF/ATP2B1/PML/MYO6/SLC9A4/RAB5B/DMBT1/GPLD1/ENPEP/ATM/CLN3/CAV2/SREBF2/AP3D1/TRAF3/BIN1/KIF1B/ST6GAL1/HTR4/DNM2/NPC1/BCL2L11/ITCH/MYOC/BSN/ST3GAL4/WFS1/ATP9A/PHTF1/SLC22A3/CYTH3/CBFA2T3/TNKS/TLR1/VTI1A/TOMM40/COPG1/SYT6/PDGFC/BACE2/CTSZ/JPH2/CYB5B/QPCTL/COG6/GPSM1/RHBDD2/TAB2/SAMM50/SLC44A2/ANTXR1/ABHD17C/ARHGAP26/TMEM106B/TMEM163/TBC1D5/LRPPRC/PLCE1/MMD2/C11orf65/STX16/STARD3NL/ARHGAP10/CHSY3/SYNE1/GOSR2/PEX14/MTOR/NDFIP1/TEX101/SEC61A2/RAB27B/USP8/ABO/PCSK9/NAPEPLD/AP2S1/SCGN/MSTO1/ACAP1/SLC30A8/DENND1A/SLC2A6/VPS13C/FNIP1/WSCD2/SYNE2/ATP6V1G3/SLC30A10/ITPRIP/AKAP6/PIEZO1/CHRNB4/APOB/APOE/BCL2/MANBA/CAMK2B/F5/CUX1/SCARB1/ACSL6/EXT1/MGAT5/DBH/DRD2/FLT3/GRIA1/GRN/HK1/IGF2R/IL7R/INSR/ITGB3/LDLR/LRP1/NCAM1/NTRK1/OCA2/PLAUR/PTPRC/RAB3D/TGFA/TYR/WNT3/WNT4/ADCY3/CCZ1/CR1/ECE2/FCGR2A/FOXO3/FUT2/INS/KPNA2/SEC16B",147
"GO:0017053","transcription repressor complex","12/1001","79/19960",0.151898734177215,3.0288698643129,4.15171314364303,0.000543499515157395,0.0108699903031479,0.0093555953692728,"TFAP4/RELB/BIN1/ZFPM1/MEN1/NCOR2/CORO2A/PRDM16/GMNN/JAZF1/CCND1/FOXO3",12
"GO:0031258","lamellipodium membrane","6/1001","22/19960",0.272727272727273,5.43819816547089,4.78581546426659,0.000584631876998229,0.0113585621816799,0.00977609995822603,"VASP/ANTXR1/FERMT2/SYNE2/PIEZO1/ITGB3",6
"GO:0097060","synaptic membrane","38/1001","453/19960",0.0838852097130243,1.6726761097622,3.32765717362205,0.00139332129105609,0.0263182910532816,0.0226516560768183,"RPH3A/ATP2B1/ERBB4/DNM1/KCNJ11/DDN/DNM2/NRXN3/COL13A1/DNM3/TENM2/SSPN/SORCS3/ABHD17C/LRFN2/FAIM2/SYNE1/KCND3/CACNA2D2/NAPEPLD/GPR158/LRP4/LINGO2/DGKB/DENND1A/CADM4/PCDH17/CHRNA3/CHRNA4/CHRNA5/CHRNB4/SLC6A3/DCC/DRD2/GRIA1/ITGB3/RAPSN/CRHR1",38
