type	phastCons
high	0.11273845572490239
high	0.11241919644457186
high	0.1316933715883175
high	0.10943069384188021
high	0.17458471814267895
high	0.20266345398729202
high	0.11876151029582364
high	0.16683851237040356
high	0.19144750288706433
high	0.13161273334028573
high	0.2346881343752807
high	0.2070905170090032
high	0.11422258763871536
high	0.15590423579503743
high	0.10962812929323766
high	0.08272185192576333
high	0.10534936797752809
high	0.1279435651393114
high	0.1090496445834518
high	0.17580152563699278
high	0.13129748757131895
high	0.1753019858983863
high	0.0896813575791227
high	0.12073252690235328
high	0.14486876103590346
high	0.10306972015267428
high	0.16334619728397104
high	0.08776522859408033
high	0.10814615604458418
high	0.13342244218264596
high	0.13558136348064403
high	0.14389268766548607
high	0.13536502945626355
high	0.11101646912535054
high	0.09833430527185692
high	0.13272722413134785
high	0.1239293437468303
high	0.14972034383113547
high	0.1780115392137688
high	0.1986123355439494
high	0.16852861787980886
high	0.12562212320680566
high	0.14574686136445977
high	0.09333415534248465
high	0.2229753774388626
high	0.15890014002141503
high	0.14669653667054716
high	0.18798141738695887
high	0.13298370887063463
high	0.10938650579457056
high	0.11751397832877027
high	0.10404237578732697
high	0.11150297831784609
high	0.08891335552126135
high	0.12494034708932396
high	0.12827100943232267
high	0.08305556765231023
high	0.04817537403140199
high	0.09236415392524609
high	0.09222080301615544
high	0.10029681063336766
high	0.09863949800404657
high	0.11834604709418838
high	0.16341584664101602
high	0.17103973244742382
high	0.15042300771387518
high	0.16816616551868813
high	0.1746085273557109
high	0.09744013189902158
high	0.12347102431707384
high	0.1437467563671312
high	0.09703115017324433
high	0.12621589267285865
high	0.10119989195971145
high	0.12135930061162599
high	0.10676679677970234
high	0.08630075583102773
high	0.09903949059300866
high	0.13248166266885494
high	0.1427537961129092
high	0.11598812395620708
high	0.10718133533956162
high	0.1405103803651744
high	0.07898256057378988
high	0.17961847880549153
high	0.13600678565165192
high	0.09437528346728107
high	0.11257726854184402
high	0.15001229323646842
high	0.17476060957561698
high	0.1433458730527784
high	0.15107432869870827
high	0.18553410782568083
high	0.08358985476660974
high	0.1505314155706539
high	0.16492051025340052
high	0.15341241456048324
high	0.11103748050352118
high	0.13500852941176472
high	0.12740366505101672
high	0.1430036850921273
high	0.14143700074555332
high	0.20383968376706482
high	0.16628814307281384
high	0.1691735703400205
high	0.15707188054364374
high	0.1642461131706757
high	0.14408594359287044
high	0.12008086332340445
high	0.1744521694097846
high	0.16939159460947067
high	0.07254206356781523
high	0.1437044955286873
high	0.09890632359237851
high	0.07873965563869106
high	0.11737631918927537
high	0.12194589742484957
high	0.0894074005129478
high	0.15668016194331985
high	0.1741413440841846
high	0.11524048226796282
high	0.11395542451102482
high	0.13805685354904407
high	0.08914802217962195
high	0.1170549945804096
high	0.12246051333560524
high	0.1362344096900205
high	0.08670603201185147
high	0.0972345532164505
high	0.12404839716902581
high	0.06647038374630641
high	0.10588583010871568
high	0.1258572194903889
high	0.12271453399712952
high	0.11907515247205967
high	0.11306848053703236
high	0.19595992726070424
high	0.10007931806213796
high	0.0850829953356317
high	0.09045116284073061
high	0.1055446243814665
high	0.11696955085525791
high	0.12281387458706586
high	0.06408271612924092
high	0.13175900769470872
high	0.12441177503681389
high	0.12054938357326914
high	0.15159604332129967
high	0.18509180627308788
high	0.12206994300613984
high	0.15113973074879822
high	0.13273793122489266
high	0.15579594790159187
high	0.12711771322906232
high	0.08278834423690781
high	0.10678692650928646
high	0.17899773081444623
high	0.16307143189809747
high	0.10995256675150084
high	0.13542455502325418
high	0.1379854263012231
high	0.18656182083413575
high	0.1120792514964151
high	0.16435431489279315
high	0.1282965052901571
high	0.16860628039790537
high	0.1527336393442623
high	0.13553141065263602
high	0.1625891755679254
high	0.13860815785851913
high	0.12100142560042934
high	0.1582442207660609
high	0.1266616362631288
high	0.11585298678047921
high	0.10400602853134419
high	0.09348471212832424
high	0.1439079777147309
high	0.08949702952198155
high	0.12143598548170906
high	0.1482638376383764
high	0.1760729300729301
high	0.1915375456421654
high	0.05899458384462405
high	0.08955783264412552
high	0.08631659963002562
high	0.12101276010993328
high	0.15248574216075583
high	0.09687283055211589
high	0.09060622780314562
high	0.08910556034217489
high	0.08363020730503454
high	0.09888307330747231
high	0.10525753985351144
high	0.10852532578926775
high	0.16894372206420155
high	0.10273739340629826
high	0.08581515340397533
high	0.11398746569516444
high	0.13315819346468827
high	0.13540849355262138
high	0.10475253520724429
high	0.11288775342285413
high	0.1174666907698282
moderate	0.1032135315705279
moderate	0.09761780978123152
moderate	0.09791375145960299
moderate	0.11797111371087711
moderate	0.197957831578064
moderate	0.1357257728818722
moderate	0.11116282645116782
moderate	0.15373422928264954
moderate	0.12792371938654556
moderate	0.12545625928232645
moderate	0.1438961178456345
moderate	0.10158801566675207
moderate	0.11273434239142373
moderate	0.1067386343900712
moderate	0.12110820528639454
moderate	0.15706446352701814
moderate	0.1327636816741484
moderate	0.174820537883654
moderate	0.15687512376237622
moderate	0.12356859251717996
moderate	0.19132585453806694
moderate	0.15091279851695685
moderate	0.14269621990880715
moderate	0.14173635905052828
moderate	0.16444538331540942
moderate	0.15145531141582683
moderate	0.16744085364363068
moderate	0.1351793525034172
moderate	0.18135445293307773
moderate	0.15691311613537423
moderate	0.16479534522497244
moderate	0.12798791488477587
moderate	0.10626920537920369
moderate	0.10276152160300564
moderate	0.14336892121697128
moderate	0.1377191439785856
moderate	0.1670783126161096
moderate	0.1469728611640272
moderate	0.13274493759921532
moderate	0.12870571938324074
moderate	0.09391944140741477
moderate	0.1594522137236155
moderate	0.11759084646340628
moderate	0.08929835766423358
moderate	0.1286263685405609
moderate	0.16990037270860273
moderate	0.14845442090258654
moderate	0.1254089093701997
moderate	0.15377138514046432
moderate	0.13129707585254435
moderate	0.1428079724084863
moderate	0.11748015510176436
moderate	0.20208060816681145
moderate	0.20218593292087267
moderate	0.1403491445117136
moderate	0.14948108276904873
moderate	0.16271062837269
moderate	0.11274478688524589
moderate	0.12285991532014169
moderate	0.1872903926742201
moderate	0.15564156362574239
moderate	0.1693581153348184
moderate	0.1451482465886727
moderate	0.17574670172381604
