type	DRC150
moderate	0.00120521
moderate	0.00161044
moderate	0.00234896
moderate	0.00231916
moderate	0.0023273
moderate	0.00173328
moderate	0.00155358
moderate	0.0033996
moderate	0.00131857
moderate	0.00134569
moderate	0.00117024
moderate	0.000905023
moderate	0.00102411
moderate	0.00122013
moderate	0.000665846
moderate	0.00199258
moderate	0.00140206
moderate	0.00148474
moderate	0.00185893
moderate	0.00129511
moderate	0.00148101
moderate	0.00148252
moderate	0.00167214
moderate	0.00184122
moderate	0.00179557
moderate	0.00166902
moderate	0.00234545
moderate	0.00243396
moderate	0.00316871
moderate	0.00258363
moderate	0.00266507
moderate	0.00405835
moderate	0.00166532
moderate	0.00228167
moderate	0.00235922
moderate	0.00231149
moderate	0.00229422
moderate	0.00183391
moderate	0.00110073
moderate	0.00122493
moderate	0.00209648
moderate	0.00156835
moderate	0.00184184
moderate	0.00219838
moderate	0.00265959
moderate	0.00119983
moderate	0.0015651
moderate	0.00192082
moderate	0.00101456
moderate	0.00164452
moderate	0.00308993
moderate	0.00386441
moderate	0.00375322
moderate	0.00365003
moderate	0.00344102
moderate	0.00197542
moderate	0.00131911
moderate	0.00270514
moderate	0.00280552
moderate	0.00227682
moderate	0.00204763
moderate	0.00271774
moderate	0.00303279
moderate	0.00261554
moderate	0.002958
moderate	0.00140537
moderate	0.00156448
moderate	0.00184202
moderate	0.00128951
moderate	0.000926866
moderate	0.00129024
moderate	0.0015109
moderate	0.00149383
moderate	0.00156678
moderate	0.00197544
moderate	0.00190342
moderate	0.00113003
moderate	0.00124775
moderate	0.00192454
moderate	0.00242264
moderate	0.00248518
moderate	0.00219519
moderate	0.00215197
moderate	0.00127599
moderate	0.0012406
moderate	0.00191833
moderate	0.00170825
moderate	0.0015724
moderate	0.00177419
moderate	0.00154922
moderate	0.00171986
moderate	0.00157095
moderate	0.00224231
moderate	0.001579
moderate	0.00217536
moderate	0.00117531
moderate	0.00164676
moderate	0.00118819
moderate	0.00106336
moderate	0.000892747
moderate	0.000850715
moderate	0.00173798
moderate	0.00108497
moderate	0.00163206
moderate	0.001541
moderate	0.0019349
moderate	0.00229832
moderate	0.00212854
moderate	0.00113168
moderate	0.000983735
moderate	0.00103989
moderate	0.00112994
moderate	0.00143834
moderate	0.00164386
moderate	0.00182424
moderate	0.00200079
moderate	0.00084586
moderate	0.00156584
moderate	0.00175743
moderate	0.00539622
moderate	0.00146851
moderate	0.00434331
moderate	0.00401506
moderate	0.00261663
moderate	0.000911184
moderate	0.00195211
moderate	0.00176257
moderate	0.00124718
moderate	0.00204786
moderate	0.00134225
moderate	0.00142644
moderate	0.00163262
moderate	0.00143935
moderate	0.00191367
moderate	0.00193231
moderate	0.00172256
moderate	0.00188416
moderate	0.00197309
moderate	0.00120203
moderate	0.00131174
moderate	0.00129495
moderate	0.00138228
moderate	0.00129958
moderate	0.00175984
moderate	0.00180101
moderate	0.0020731
moderate	0.00214127
moderate	0.00233001
moderate	0.00278199
moderate	0.00156893
moderate	0.00199702
moderate	0.00271721
moderate	0.00173481
moderate	0.001448
moderate	0.00126455
moderate	0.00178347
moderate	0.00219818
moderate	0.00313057
moderate	0.00120926
moderate	0.0014978
moderate	0.00177123
moderate	0.00120069
moderate	0.00136728
moderate	0.00125911
moderate	0.00129509
moderate	0.00171433
moderate	0.00286591
moderate	0.00173326
moderate	0.00138466
moderate	0.00109908
moderate	0.000602493
moderate	0.00246499
moderate	0.00195484
moderate	0.000964801
moderate	0.00208327
moderate	0.00146363
moderate	0.00129637
moderate	0.00144577
moderate	0.00140806
moderate	0.00194627
moderate	0.00188673
moderate	0.00223057
moderate	0.00240676
moderate	0.00147834
moderate	0.00155877
moderate	0.00195855
moderate	0.00359487
moderate	0.00337115
moderate	0.00231039
moderate	0.00166043
moderate	0.00134814
moderate	0.00178417
moderate	0.00177546
moderate	0.00310259
moderate	0.00413728
moderate	0.00505639
moderate	0.00528185
moderate	0.00160535
moderate	0.00167712
moderate	0.00099519
moderate	0.00196961
moderate	0.00175346
moderate	0.00319678
moderate	0.00381237
moderate	0.00198648
moderate	0.00147731
moderate	0.00186008
moderate	0.0026301
moderate	0.00255338
moderate	0.00240326
moderate	0.00105262
moderate	0.00211158
moderate	0.00184628
moderate	0.00199922
moderate	0.00207812
moderate	0.00142357
moderate	0.00315076
moderate	0.00248301
moderate	0.00321129
moderate	0.005307
moderate	0.00521448
moderate	0.00530118
moderate	0.00499784
moderate	0.00348748
moderate	0.00399025
moderate	0.00376028
moderate	0.00275572
moderate	0.00196326
moderate	0.0014826
moderate	0.00103891
moderate	0.00162968
moderate	0.00227645
moderate	0.00128684
moderate	0.00157002
moderate	0.00111423
moderate	0.00112084
moderate	0.00172681
moderate	0.00230562
moderate	0.00160776
moderate	0.00168121
moderate	0.00185989
moderate	0.00154022
moderate	0.00142017
moderate	0.00155016
moderate	0.00103872
moderate	0.001402
moderate	0.00133764
moderate	0.00119586
moderate	0.00154187
moderate	0.00187754
moderate	0.00159544
moderate	0.00252455
moderate	0.00246586
moderate	0.00207528
moderate	0.00204704
moderate	0.00198866
moderate	0.00190182
moderate	0.00191653
moderate	0.00117282
moderate	0.00219303
moderate	0.0012774
moderate	0.00275429
moderate	0.0014955
moderate	0.00145069
moderate	0.00231528
moderate	0.002247
moderate	0.00206493
moderate	0.00148643
moderate	0.00143734
moderate	0.00221858
moderate	0.00173007
moderate	0.00177151
moderate	0.0016486
moderate	0.00225746
moderate	0.00242525
moderate	0.00134044
moderate	0.00155963
moderate	0.00116317
moderate	0.0015004
moderate	0.00161096
moderate	0.00151995
moderate	0.00122606
moderate	0.000892969
moderate	0.0013594
moderate	0.000660234
moderate	0.00151347
moderate	0.00196897
moderate	0.001358
moderate	0.00146699
moderate	0.00181356
moderate	0.00170489
moderate	0.00112028
moderate	0.00123977
moderate	0.0014619
moderate	0.00191866
moderate	0.00273914
moderate	0.002725
moderate	0.00275268
moderate	0.00132358
moderate	0.001752
moderate	0.00134687
moderate	0.00310115
moderate	0.00201569
moderate	0.00204093
moderate	0.00192268
moderate	0.00139337
moderate	0.00189505
moderate	0.00269826
moderate	0.00120958
moderate	0.00211124
moderate	0.0022418
moderate	0.00168436
moderate	0.0010722
moderate	0.00233793
moderate	0.00167073
moderate	0.00167931
moderate	0.00165053
moderate	0.00153593
moderate	0.00163682
moderate	0.00162082
moderate	0.00169903
moderate	0.0018054
moderate	0.00180827
moderate	0.00133339
moderate	0.00192373
moderate	0.00164477
moderate	0.00194192
moderate	0.00202951
moderate	0.00236428
moderate	0.00282603
