type	iHS
moderate	2.731
moderate	2.796
moderate	4.283
moderate	2.659
moderate	5.409
moderate	2.445
moderate	2.746
moderate	1.977
moderate	3.489
moderate	2.829
moderate	3.215
moderate	4.964
moderate	4.878
moderate	2.027
moderate	1.749
moderate	2.524
moderate	1.571
moderate	1.613
moderate	1.335
moderate	1.611
moderate	3.325
moderate	5.06
moderate	4.477
moderate	4.26
moderate	3.546
moderate	3.831
moderate	3.317
moderate	2.86
moderate	4.001
moderate	2.357
moderate	2.638
moderate	1.521
moderate	6.753
moderate	3.527
moderate	2.914
moderate	3.573
moderate	4.034
moderate	2.193
moderate	3.613
moderate	2.583
moderate	3.052
moderate	3.877
moderate	3.25
moderate	2.703
moderate	4.299
moderate	3.996
moderate	6.01
moderate	2.583
moderate	1.864
moderate	2.586
moderate	2.165
moderate	2.199
moderate	1.738
moderate	3.089
moderate	3.333
moderate	1.985
moderate	2.866
moderate	2.909
moderate	4.317
moderate	1.753
moderate	1.742
moderate	2.211
moderate	1.692
moderate	1.224
moderate	4.977
moderate	2.847
moderate	6.234
moderate	2.016
moderate	1.933
moderate	3.006
moderate	3.052
moderate	1.758
moderate	2.134
moderate	2.007
moderate	2.658
moderate	2.562
moderate	1.867
moderate	2.011
moderate	5.376
moderate	5.474
moderate	3.952
moderate	0.757
moderate	1.948
moderate	2.772
moderate	1.549
moderate	3.033
moderate	3.573
moderate	3.991
moderate	1.506
moderate	2.788
moderate	2.802
moderate	4.227
moderate	3.084
moderate	5.288
moderate	4.178
moderate	2.371
moderate	4.257
moderate	4.27
moderate	2.232
moderate	3.164
moderate	4.265
moderate	3.675
moderate	5.427
moderate	2.785
moderate	1.812
moderate	3.999
moderate	3.37
moderate	1.595
moderate	2.981
moderate	3.843
moderate	4.279
moderate	2.624
moderate	2.693
moderate	2.92
moderate	3.4
moderate	3.304
moderate	3.862
moderate	3.486
moderate	2.584
moderate	2.177
moderate	2.514
moderate	2.43
moderate	3.729
moderate	1.672
moderate	1.83
moderate	2.232
moderate	3.472
moderate	2.554
moderate	3.288
moderate	3.162
moderate	2.159
moderate	1.516
moderate	1.784
moderate	2.893
moderate	2.081
moderate	5.851
moderate	4.801
moderate	3.893
moderate	2.42
moderate	1.857
moderate	2.948
moderate	3.201
moderate	1.846
moderate	2.074
moderate	1.306
moderate	1.956
moderate	1.839
moderate	4.827
moderate	2.486
moderate	5.934
moderate	1.754
moderate	1.49
moderate	2.481
moderate	3.063
moderate	3.472
moderate	1.5
moderate	3.582
moderate	3.056
moderate	2.631
moderate	3.687
moderate	3.838
moderate	2.655
moderate	3.917
moderate	2.581
moderate	4.909
moderate	3.343
moderate	4.118
moderate	2.866
moderate	5.048
moderate	1.521
moderate	2.8
moderate	2.75
moderate	1.696
moderate	2.345
moderate	3.207
moderate	2.827
moderate	4.088
moderate	2.778
moderate	2.773
moderate	2.221
moderate	2.202
moderate	4.186
moderate	2.751
moderate	4.982
moderate	3.917
moderate	2.58
moderate	1.644
moderate	1.936
moderate	1.859
moderate	2.769
moderate	2.116
moderate	3.91
moderate	1.711
moderate	2.184
moderate	3.009
moderate	2.157
moderate	2.79
moderate	1.282
moderate	2.414
moderate	3.379
moderate	1.869
moderate	4.453
moderate	5.83
moderate	1.621
moderate	1.925
moderate	2.731
moderate	2.586
moderate	2.417
moderate	2.779
moderate	3.426
moderate	4.898
moderate	5.282
moderate	3.939
moderate	2.229
moderate	3.493
moderate	4.894
moderate	1.906
moderate	4.097
moderate	3.458
moderate	5.684
moderate	2.6
moderate	2.441
moderate	4.829
moderate	2.881
moderate	3.28
moderate	2.871
moderate	2.052
moderate	2.112
moderate	2.183
moderate	1.727
moderate	2.226
moderate	3.657
moderate	2.323
moderate	4.051
moderate	1.888
moderate	3.564
moderate	6.743
moderate	1.733
moderate	2.65
moderate	2.306
moderate	5.358
moderate	2.059
moderate	2.592
moderate	1.593
moderate	1.913
moderate	3.25
moderate	2.308
moderate	4.167
moderate	2.233
moderate	1.691
moderate	2.596
moderate	1.342
moderate	1.791
moderate	1.539
moderate	2.597
moderate	2.202
moderate	4.194
moderate	2.057
moderate	1.446
moderate	1.998
moderate	2.085
moderate	2.414
moderate	2.046
moderate	2.245
moderate	2.593
moderate	1.58
moderate	3.116
moderate	4.647
moderate	3.573
moderate	2.089
moderate	2.209
moderate	2.557
moderate	2.892
moderate	5.032
moderate	4.708
moderate	3.009
moderate	3.753
moderate	3.246
moderate	2.619
moderate	2.432
moderate	1.447
moderate	2.462
moderate	2.632
moderate	1.018
moderate	3.651
moderate	2.881
moderate	3.418
moderate	1.865
moderate	3.692
moderate	2.673
moderate	2.099
moderate	1.999
moderate	4.588
moderate	2.668
moderate	2.234
moderate	2.459
moderate	3.337
moderate	5.528
moderate	1.156
moderate	3.808
moderate	1.084
moderate	5.516
moderate	2.819
moderate	3.157
moderate	1.642
moderate	1.436
moderate	1.293
moderate	1.764
moderate	2.248
moderate	1.596
moderate	1.65
moderate	1.939
moderate	1.761
moderate	1.466
moderate	3.742
moderate	1.983
moderate	1.885
moderate	1.124
moderate	2.666
moderate	4.485
moderate	2.15
moderate	2.862
moderate	1.952
moderate	2.184
moderate	1.654
moderate	2.055
moderate	2.885
moderate	3.779
moderate	3.566
moderate	3.902
moderate	1.787
moderate	3.718
moderate	2.72
moderate	2.468
moderate	6.116
moderate	1.829
moderate	1.874
moderate	1.43
moderate	2.319
moderate	1.968
moderate	1.463
moderate	2.427
moderate	2.704
moderate	2.229
moderate	1.126
moderate	4.352
moderate	1.936
moderate	1.662
moderate	2.519
moderate	2.368
moderate	3.075
moderate	2.145
moderate	1.628
moderate	3.086
moderate	2.181
moderate	3.104
moderate	2.867
moderate	2.694
moderate	1.967
moderate	3.402
moderate	3.093
moderate	3.362
moderate	2.617
moderate	2.374
moderate	2.495
moderate	3.971
moderate	3.363
moderate	2.934
moderate	5.056
moderate	2.642
moderate	2.148
moderate	2.279
moderate	2.339
moderate	1.747
moderate	2.269
moderate	3.056
moderate	3.547
moderate	1.567
moderate	2.025
moderate	2.042
moderate	2.049
moderate	3.826
moderate	2.325
moderate	3.491
moderate	1.675
moderate	1.65
moderate	2.067
moderate	1.971
moderate	1.299
moderate	2.542
moderate	3.949
moderate	2.104
moderate	2.581
moderate	5.455
moderate	2.068
moderate	2.394
moderate	1.585
moderate	1.576
moderate	1.903
moderate	2.291
moderate	1.968
moderate	3.47
moderate	4.32
moderate	2.59
moderate	1.747
moderate	3.147
moderate	1.382
moderate	4.926
moderate	3.065
moderate	3.0
moderate	4.355
moderate	2.531
moderate	2.28
moderate	1.251
moderate	2.445
moderate	2.923
moderate	2.33
moderate	1.671
moderate	3.045
moderate	2.143
moderate	3.524
moderate	2.245
moderate	1.881
moderate	1.759
moderate	1.546
moderate	1.776
moderate	2.812
moderate	1.621
moderate	2.452
moderate	2.833
moderate	2.336
moderate	2.798
moderate	4.316
moderate	2.194
moderate	1.758
moderate	1.768
moderate	5.245
moderate	1.954
moderate	2.428
moderate	1.912
moderate	1.317
moderate	1.384
moderate	2.337
moderate	2.836
moderate	1.826
moderate	2.461
moderate	2.077
moderate	5.257
moderate	3.017
moderate	1.929
moderate	2.609
moderate	2.194
moderate	4.19
moderate	3.658
moderate	2.471
moderate	1.947
moderate	3.635
moderate	2.779
moderate	1.712
moderate	2.811
moderate	1.693
moderate	3.918
moderate	4.686
moderate	4.256
moderate	6.004
moderate	3.268
moderate	1.954
moderate	2.493
moderate	1.611
moderate	4.179
moderate	3.101
moderate	3.635
moderate	7.518
moderate	1.742
moderate	4.362
moderate	4.028
moderate	2.629
moderate	2.96
moderate	4.391
moderate	3.9
moderate	2.963
moderate	3.709
moderate	2.631
moderate	3.929
moderate	3.443
moderate	3.305
moderate	2.914
moderate	3.539
moderate	3.109
moderate	4.635
moderate	2.426
moderate	2.771
moderate	3.859
moderate	1.682
moderate	1.386
moderate	1.295
moderate	5.749
moderate	2.784
moderate	1.99
moderate	1.638
moderate	2.301
moderate	2.474
moderate	2.449
moderate	4.351
moderate	2.761
moderate	2.227
moderate	2.388
moderate	1.663
moderate	1.529
moderate	1.737
moderate	1.844
moderate	2.748
moderate	1.851
moderate	2.655
moderate	2.448
moderate	5.203
moderate	1.595
moderate	2.019
moderate	6.482
moderate	2.783
moderate	2.645
moderate	1.919
moderate	2.443
moderate	1.87
moderate	3.139
moderate	5.481
moderate	2.799
moderate	2.473
moderate	4.769
moderate	2.783
moderate	2.857
moderate	2.188
moderate	3.384
moderate	2.19
moderate	4.511
moderate	2.182
moderate	3.041
moderate	1.454
moderate	2.868
moderate	6.292
moderate	2.552
moderate	3.829
moderate	2.263
moderate	2.193
moderate	2.926
moderate	1.975
moderate	1.978
moderate	2.05
moderate	2.82
moderate	1.954
moderate	2.984
moderate	4.476
moderate	3.721
moderate	3.252
moderate	2.569
moderate	2.468
moderate	1.624
moderate	2.251
moderate	2.033
moderate	2.08
moderate	3.665
moderate	1.516
moderate	5.02
moderate	3.399
moderate	2.636
moderate	2.227
moderate	1.624
moderate	1.95
moderate	1.748
moderate	2.322
moderate	3.425
moderate	2.151
moderate	2.942
moderate	1.79
moderate	3.285
moderate	3.16
moderate	4.021
moderate	2.249
moderate	4.565
moderate	2.178
moderate	2.239
moderate	3.886
moderate	4.579
moderate	1.73
moderate	2.553
moderate	2.943
moderate	2.584
moderate	1.928
moderate	2.588
moderate	3.385
moderate	3.605
moderate	5.243
moderate	3.828
moderate	2.237
moderate	2.619
moderate	2.018
moderate	2.511
moderate	2.861
moderate	3.968
moderate	2.131
moderate	4.199
moderate	3.029
moderate	1.758
moderate	2.159
moderate	3.057
moderate	2.971
moderate	5.182
moderate	1.971
moderate	2.044
moderate	3.026
moderate	1.673
moderate	2.844
moderate	2.118
moderate	2.345
moderate	1.708
moderate	2.599
moderate	2.765
moderate	1.939
moderate	2.148
moderate	2.475
moderate	2.276
moderate	3.523
moderate	2.551
moderate	3.798
moderate	2.035
moderate	2.393
moderate	2.306
moderate	1.899
moderate	2.012
moderate	1.766
moderate	2.359
moderate	3.488
moderate	3.123
moderate	2.365
moderate	1.943
moderate	2.864
moderate	2.527
moderate	1.636
moderate	1.731
moderate	2.932
moderate	4.441
moderate	2.065
moderate	4.888
moderate	2.316
moderate	4.421
moderate	3.225
moderate	4.619
moderate	5.535
moderate	1.993
none	1.468
none	4.033
none	5.681
none	2.253
none	2.983
none	5.058
none	4.385
none	4.054
none	2.665
none	2.541
none	2.203
none	1.966
none	3.948
none	1.012
none	1.784
none	3.733
none	3.116
none	4.635
none	4.172
none	3.375
none	3.319
none	3.846
none	2.687
none	4.287
none	1.95
none	5.156
none	4.296
none	3.823
none	1.934
none	1.824
none	3.074
none	3.284
none	2.701
none	3.963
none	2.788
none	2.983
none	2.733
none	2.487
none	2.437
none	3.349
none	5.269
none	2.705
none	3.653
none	2.184
none	2.303
none	4.012
none	1.927
none	1.304
none	2.897
none	5.318
none	3.541
none	4.853
none	2.135
none	3.084
none	3.406
none	3.001
none	2.713
none	2.936
none	2.363
none	2.032
none	3.714
none	3.356
none	3.022
none	2.086
none	4.444
none	2.946
none	3.626
none	2.72
none	1.174
none	1.528
