type	phastCons
high	0.08199139094699583
high	0.08482004758477288
high	0.08514082281645634
high	0.22632413324133244
high	0.07437442497597678
high	0.0630330586776529
high	0.08092434865666788
high	0.09576512116693911
high	0.08574872708757637
high	0.16478865999999998
high	0.10775000514477394
high	0.09678590101866041
high	0.1336070014398848
high	0.07098201574770983
high	0.06630315336102138
high	0.104879419914541
high	0.1278124914207275
high	0.12150778162055337
high	0.12748886978064267
high	0.13417209338561822
high	0.09908665739912696
high	0.06736665700086991
high	0.11358829408142458
high	0.1288929610703893
high	0.16631102862459854
high	0.18066136728147555
high	0.13261381613816137
high	0.10644838902774569
high	0.06528173000000001
high	0.22737344
high	0.12742868571794297
high	0.15153549000000002
high	0.1086245423687098
high	0.10065778645442257
high	0.09096446252831172
high	0.11716139681816887
high	0.055539130956667876
high	0.06662858485660575
high	0.18298906630186196
high	0.19430856868261137
high	0.16572763798435844
high	0.06358583
high	0.09638376
high	0.0698832790499574
high	0.11680148312723516
high	0.09706565070343612
high	0.0769290112640801
high	0.08241288458269588
high	0.11663058703297366
high	0.12358543243702685
high	0.0873147200679091
high	0.12542627069445278
high	0.04760715970807024
high	0.15578720890650966
high	0.11852127999999999
high	0.12588600533834512
high	0.15881679080254366
high	0.11949828574865667
high	0.12080654
high	0.05274267315158853
high	0.12308683214726636
high	0.14074733619473542
high	0.13075638512770255
high	0.12809145000000002
high	0.10092410151796966
high	0.07327282255528772
high	0.05606319873602528
high	0.11830866866866871
high	0.0754998600111991
high	0.14994455672528734
high	0.07378629213707863
high	0.06097963719592934
high	0.08473124787758933
high	0.11953650260121176
high	0.06413872404303227
high	0.06904195237435082
high	0.09339307000000001
high	0.07404834
high	0.0964727339121967
high	0.06768857040051963
high	0.05313875076288907
high	0.06906362833891581
high	0.09816833618615266
high	0.10933748312584371
high	0.09771092999999999
high	0.11748560079443893
high	0.10979346125505948
high	0.14975108240258378
high	0.10355083770218979
high	0.12547108430119142
high	0.1360715844744957
high	0.11239104032653387
high	0.057830665222275715
high	0.14817099885235668
high	0.15088776704439902
high	0.08765367458017244
high	0.10853752717845794
high	0.12866436794757616
high	0.16663743677040438
high	0.1969148473055867
high	0.1858814533239038
high	0.0973105275717382
high	0.07215671773199504
high	0.12199421521178506
high	0.12844861020684128
high	0.13993258269669212
high	0.11024203014130012
high	0.13424624
high	0.12184820187760571
high	0.10461893999999998
high	0.09490736685770863
high	0.07012047335617948
high	0.06335066439017147
high	0.10388433999999999
high	0.12926318736812634
high	0.07220767999999998
high	0.055735661464871834
high	0.0999780536712748
high	0.1306144
high	0.06612429479185222
high	0.07340813903172892
high	0.06931403304022374
high	0.05542198890055497
high	0.08442972138122903
high	0.07895436602076257
high	0.08242225
high	0.061697537287547684
high	0.07721122788772111
high	0.09892104710155804
high	0.10276150350410451
moderate	0.07552639
moderate	0.09688064
moderate	0.0794118653105162
moderate	0.10393099246787774
moderate	0.12107927433646039
moderate	0.09256699031067826
moderate	0.12933438810522305
moderate	0.11809526767732431
moderate	0.10605741080789881
moderate	0.11418354037888336
moderate	0.07387421200853886
moderate	0.08527538552069089
moderate	0.09743651829572039
moderate	0.1038320498459815
moderate	0.15778926447509706
moderate	0.1433346095102332
moderate	0.11232801881599362
moderate	0.15258761824763503
moderate	0.13576838316168383
moderate	0.11219222462203021
moderate	0.13537375727630974
moderate	0.14260390458582856
moderate	0.13027521125901215
moderate	0.14755801000000004
moderate	0.11880206643839732
moderate	0.18305588
moderate	0.15492345808322924
moderate	0.09908763649454022
moderate	0.07054020022602937
moderate	0.08495500089998198
moderate	0.12650116552448604
moderate	0.11158549854985497
moderate	0.1713424465755342
moderate	0.15059951930452567
moderate	0.11082269454021734
moderate	0.07098816456688797
moderate	0.14094815155545337
moderate	0.09903972782555118
moderate	0.06051070209123497
moderate	0.12851534999999997
moderate	0.18124191724621003
moderate	0.12251285307203919
moderate	0.10901653999999997
moderate	0.13544896
moderate	0.12215284541463758
moderate	0.14893842
moderate	0.09722638831570153
moderate	0.18895187457802134
moderate	0.19207049634467105
moderate	0.08606233740244144
moderate	0.10097915145939784
moderate	0.13780537312829633
moderate	0.07756833252144868
moderate	0.1827200758882373
moderate	0.15455464673166713
moderate	0.15400574806631176
moderate	0.13331221526337203
moderate	0.16794977
moderate	0.08649442663481886
moderate	0.15058492605119378
moderate	0.1030912703629175
moderate	0.23374575399308978
moderate	0.20165262463481293
moderate	0.13277104674378704
moderate	0.15374013764761765
moderate	0.1146192719271927
moderate	0.14029980100596984
moderate	0.08481593656570909
moderate	0.08978483084522292
moderate	0.13582634838374036
moderate	0.10132764183467885
moderate	0.10064178933539933
moderate	0.11727824903606258
moderate	0.08644857757112145
moderate	0.11901063141443603
moderate	0.08437201883943479
moderate	0.07023390596564207
moderate	0.07369474233022216
moderate	0.10677131829453639
moderate	0.13589333666583353
moderate	0.08422368776312238
moderate	0.12029304
moderate	0.10642197138600895
moderate	0.2443189835635373
moderate	0.1116466
moderate	0.11436708164591772
moderate	0.1987770373607166
moderate	0.03389776
moderate	0.08137231255374892
moderate	0.08281833071978062
moderate	0.10352938923671241
moderate	0.13342518989206134
moderate	0.08313513324333785
moderate	0.09910954045904005
moderate	0.0681769638747123
moderate	0.29148859
moderate	0.14544020582075962
moderate	0.07486250787168673
moderate	0.11807220216606498
moderate	0.10188751428831544
moderate	0.06336514319439027
moderate	0.037613312789522645
moderate	0.12502681527256676
moderate	0.09031507411439578
moderate	0.06487045
moderate	0.06082481871106118
moderate	0.08661469803323538
moderate	0.14133222906314136
moderate	0.1067289265262051
moderate	0.12013269830907876
moderate	0.12083063764075924
moderate	0.10211763419878811
moderate	0.09093604255829768
moderate	0.1858336413293175
moderate	0.16483015000000004
moderate	0.11468567314326858
moderate	0.11390483404150503
moderate	0.15327352214407905
moderate	0.16893860061399388
moderate	0.17744122000000004
moderate	0.13171205090388777
moderate	0.14302431816347938
moderate	0.08758839651875108
moderate	0.17708298130164768
moderate	0.1128828336716367
moderate	0.09531783237405682
moderate	0.12438411333970076
moderate	0.10164175494040303
moderate	0.07332172405577055
moderate	0.06269757302426976
moderate	0.09664886351136487
moderate	0.07904142113682845
moderate	0.0811385755042795
moderate	0.1414984301883774
moderate	0.11428273
moderate	0.1205323220910118
moderate	0.2153556186628802
moderate	0.11609046467039423
moderate	0.12619746009420385
moderate	0.17753994328142028
moderate	0.11381148200155838
moderate	0.1219371018869434
moderate	0.11208496490210587
moderate	0.16196421442708553
moderate	0.12328894047800273
moderate	0.108650045898356
moderate	0.1330067083020382
moderate	0.10296262775635506
moderate	0.17373894242648877
moderate	0.058709927044025154
moderate	0.17891787328506856
moderate	0.11419707531020283
moderate	0.06572603276440482
moderate	0.06852213254335317
moderate	0.08686729928904977
moderate	0.13370368160210377
moderate	0.1002804709427109
moderate	0.06233975563909774
moderate	0.04920023637389665
moderate	0.0694393471421269
moderate	0.07219264580973953
moderate	0.07612921325595973
moderate	0.0823966572437876
moderate	0.12199675265609082
moderate	0.1515033737512085
moderate	0.14442469095772706
moderate	0.24969870000000002
moderate	0.11107264361248219
moderate	0.1252790363799913
moderate	0.1273763173155758
moderate	0.07275375809900479
moderate	0.0723672826701867
moderate	0.12542699303076663
moderate	0.1026287910720379
