gene_name	DRC150
AC005722.4	0.00134733
AC005740.4	0.000922485
AC005740.5	0.0011583
AC005741.2	0.00438645
AC005772.2	0.00187895
AC005775.2	0.0010516
AC005776.1	0.00112226
AC005779.2	0.00131347
AC005780.1	0.0021347
AC005783.1	0.00144597
AC005786.7	0.00256095
AC005794.1	0.00170582
AC005808.3	0.00113993
AC005863.1	0.00118525
AC005863.2	0.00129434
AC005932.1	0.00122606
AC006004.1	0.00117804
AC006007.1	0.00104838
AC006024.4	0.0021522
AC006033.22	0.00195716
AC006037.2	0.00173711
AC006041.1	0.00206565
AC006042.6	0.00230351
AC006042.7	0.00205223
AC006045.3	0.00165447
AC006076.1	0.00140443
AC006080.1	0.0010807
AC006115.3	0.00127735
AC006116.17	0.0010202
AC006116.20	0.00108224
AC006126.3	0.00131347
AC006130.3	0.00114667
AC006145.1	0.001143
AC006150.1	0.00174289
AC006153.3	0.00256515
AC006159.3	0.00103997
AC006160.4	0.00179972
AC006196.1	0.00132438
AC006227.1	0.00162528
AC006272.1	0.00188695
AC006273.4	0.00140581
AC006273.5	0.0013779
AC006277.2	0.00103206
AC006296.1	0.00151534
AC006296.2	0.00138503
AC006322.1	0.00182277
AC006369.2	0.0021659
AC006369.3	0.00232102
AC006372.4	0.0016113
AC006372.6	0.00168187
AC006373.1	0.00286126
AC006378.2	0.000813676
AC006380.1	0.00186383
AC006380.3	0.00207894
AC006390.4	0.00198862
AC006458.3	0.00179737
AC006460.2	0.00343849
AC006466.5	0.0018605
AC006480.1	0.00265467
AC006481.1	0.00140927
AC006482.1	0.00163623
AC006499.1	0.00157289
AC006499.6	0.00154639
AC006547.14	0.00140827
AC006552.1	0.00189285
AC006926.1	0.00245717
AC006946.16	0.00189987
AC006960.7	0.000855103
AC006967.1	0.00167252
AC007036.5	0.00144016
AC007036.6	0.00144065
AC007040.11	0.00192826
AC007040.7	0.00186299
AC007040.8	0.00195445
AC007050.18	0.00118211
AC007064.22	0.00143081
AC007091.1	0.00127008
AC007092.1	0.00237255
AC007099.2	0.00149083
AC007106.1	0.00196607
AC007115.3	0.0015504
AC007128.1	0.0023161
AC007131.1	0.00201306
AC007131.2	0.00202221
AC007161.5	0.0024412
AC007163.3	0.00144475
AC007163.6	0.00146202
AC007182.6	0.0021721
AC007193.10	0.0012909
AC007193.6	0.00101725
AC007204.2	0.00135648
AC007228.11	0.00113662
AC007228.5	0.00127905
AC007246.3	0.00185714
AC007248.6	0.00263529
AC007249.3	0.00209713
AC007251.2	0.00195504
AC007255.8	0.00286681
AC007276.5	0.00244628
AC007277.3	0.00216658
AC007292.1	0.000997241
AC007292.4	0.000997241
AC007316.3	0.00136915
AC007317.1	0.0012382
AC007319.1	0.00288078
AC007349.4	0.00151759
AC007358.1	0.00129778
AC007364.1	0.00210115
AC007365.1	0.00143103
AC007365.2	0.00136046
AC007365.3	0.00142989
AC007381.2	0.00163782
AC007381.3	0.00214171
AC007386.2	0.00102492
AC007386.3	0.00105416
AC007387.2	0.00142374
AC007389.3	0.00108816
AC007392.3	0.0015769
AC007403.2	0.00153699
AC007403.3	0.00187041
AC007405.4	0.00149307
AC007422.1	0.00174982
AC007431.1	0.00139591
AC007435.1	0.00141664
AC007461.2	0.00121816
AC007463.2	0.00297082
AC007464.1	0.00303521
AC007556.3	0.00120486
AC007563.5	0.00140035
AC007566.11	0.00192155
AC007568.1	0.00208372
AC007631.1	0.00126404
AC007652.1	0.00169074
AC007679.1	0.00139987
AC007682.1	0.0018784
AC007740.1	0.00142114
AC007743.1	0.00147644
AC007795.1	0.00231462
AC007879.1	0.00134105
AC007879.5	0.00146672
AC007879.7	0.00135331
AC007880.1	0.00112564
AC007881.4	0.00198214
AC007948.1	0.00121143
AC007950.1	0.00197805
AC007970.1	0.00158766
AC008060.5	0.00106598
AC008060.7	0.00178676
AC008060.8	0.00130333
AC008063.3	0.00120734
AC008067.2	0.00200515
AC008069.1	0.00128239
AC008069.2	0.00120445
AC008072.1	0.00160655
AC008074.3	0.00146701
AC008074.4	0.00148625
AC008085.1	0.000765323
AC008154.4	0.00177638
AC008154.5	0.00186479
AC008155.1	0.00125651
AC008155.2	0.00127846
AC008163.6	0.00099523
AC008173.1	0.00167517
AC008269.2	0.00172947
AC008271.1	0.00245624
AC008278.2	0.00185279
AC008278.3	0.00180705
AC008281.1	0.00139174
AC008391.1	0.00134174
AC008394.1	0.00126486
AC008397.1	0.00161096
AC008410.1	0.00121378
AC008565.1	0.00142698
AC008592.4	0.00124078
AC008592.5	0.0012283
AC008686.1	0.00147452
AC008691.1	0.00075554
AC008694.2	0.00160508
AC008697.1	0.00133373
AC008703.1	0.00115255
AC008703.2	0.000901166
AC008746.10	0.000891336
AC008746.3	0.00103249
AC008753.4	0.00185261
AC008753.6	0.00156579
AC008780.1	0.00109539
AC008834.1	0.00197621
AC008834.2	0.00183321
AC008836.1	0.00152466
AC008938.1	0.00173141
AC008940.1	0.00131755
AC008984.2	0.0018661
AC008984.6	0.00133851
AC008984.7	0.00178311
AC008992.1	0.000797029
AC009005.2	0.00127786
AC009009.1	0.00125084
AC009035.1	0.00192169
AC009080.1	0.00088799
AC009110.1	0.00147218
AC009120.4	0.00203272
AC009133.12	0.00198333
AC009133.20	0.00198333
AC009134.1	0.0014035
AC009158.1	0.00137263
AC009159.1	0.00154315
AC009161.1	0.00101927
AC009227.2	0.00138107
AC009227.3	0.00135822
AC009229.5	0.00304979
AC009229.6	0.00324261
AC009236.1	0.0014219
AC009262.2	0.00179298
AC009276.4	0.00195705
AC009299.2	0.001243
AC009299.3	0.001243
AC009302.2	0.00136707
AC009302.4	0.00108935
AC009303.1	0.00201232
AC009310.1	0.00192771
AC009312.1	0.00245448
AC009313.1	0.0012586
AC009313.2	0.00131155
AC009365.3	0.00172253
AC009365.4	0.00169303
AC009403.2	0.000982983
AC009410.1	0.00115965
AC009414.1	0.0016208
AC009469.1	0.00143829
AC009474.1	0.00157677
AC009474.2	0.00152992
AC009478.1	0.00141177
AC009492.1	0.00152979
AC009498.1	0.00155157
AC009499.1	0.00183067
AC009500.2	0.00143301
AC009502.4	0.00109632
AC009505.4	0.00188971
AC009508.1	0.00251423
AC009518.4	0.000828455
AC009518.8	0.0016255
AC009531.2	0.00174854
AC009541.1	0.00082973
AC009695.1	0.00135141
AC009784.3	0.00114562
AC009802.1	0.00233192
AC009835.1	0.00146026
AC009878.2	0.00259646
AC009941.1	0.00149555
AC009945.4	0.00234087
AC009950.2	0.00196014
AC009951.1	0.00142703
AC009961.2	0.00128521
AC009961.3	0.00128521
AC009963.4	0.00167373
AC009965.1	0.00146816
AC009965.2	0.00153985
AC009969.1	0.00160047
AC009997.1	0.00144635
AC010090.1	0.00150179
AC010091.1	0.000799517
AC010092.1	0.00163119
AC010096.1	0.00164038
AC010096.2	0.00165853
AC010105.1	0.00207428
AC010127.3	0.00258328
AC010132.10	0.00107012
AC010136.2	0.0019377
AC010145.4	0.00140989
AC010146.1	0.0193329
AC010146.2	0.0194691
AC010148.1	0.00113294
AC010149.4	0.00194524
AC010207.1	0.00183879
AC010209.1	0.00189728
AC010226.4	0.00178958
AC010376.1	0.00119635
AC010423.1	0.00207896
AC010441.1	0.00201283
AC010455.1	0.00193539
AC010468.1	0.00124503
AC010468.3	0.00120829
AC010492.5	0.00156305
AC010543.1	0.00101084
AC010546.1	0.00144978
AC010547.9	0.00370013
AC010595.1	0.00295103
AC010641.1	0.00199926
AC010642.1	0.00179921
AC010642.2	0.00163253
AC010649.1	0.00170549
AC010677.5	0.00282951
AC010729.1	0.00220081
AC010729.2	0.00238938
AC010729.3	0.00296618
AC010739.1	0.0018909
AC010744.1	0.00132344
AC010745.2	0.00168078
AC010745.4	0.00152434
AC010878.3	0.00230057
AC010880.1	0.00188417
AC010887.1	0.00154458
AC010894.3	0.00121693
AC010894.5	0.00118802
AC010904.1	0.000662633
AC010930.1	0.00143213
AC010967.2	0.002911
AC010971.1	0.00192369
AC010980.2	0.000809452
AC010982.1	0.00285067
AC010982.2	0.00280597
AC010983.1	0.00138846
AC010987.5	0.00170662
AC010987.6	0.00168318
AC011073.1	0.00149612
AC011193.1	0.00130671
AC011225.1	0.00105053
AC011233.2	0.00127959
AC011239.1	0.00179253
AC011286.1	0.00152549
AC011288.2	0.00197534
AC011290.4	0.00185546
AC011294.3	0.00143626
AC011306.2	0.00167893
AC011322.1	0.00127671
AC011343.1	0.000851354
AC011410.1	0.00197339
AC011416.1	0.00111933
AC011431.2	0.00118408
AC011484.1	0.00170129
AC011499.1	0.00142829
AC011513.4	0.00162248
AC011515.2	0.0013073
AC011516.2	0.00232442
AC011518.1	0.000694091
AC011518.2	0.00073
AC011523.2	0.00117919
AC011524.1	0.00228611
AC011525.2	0.000660234
AC011525.4	0.000660234
AC011526.1	0.00182083
AC011551.3	0.00176838
AC011625.1	0.0018538
AC011648.1	0.00125551
AC011738.4	0.00163604
AC011747.3	0.00170913
AC011747.4	0.00137972
AC011747.6	0.00128161
AC011747.7	0.00101689
AC011752.1	0.00147648
AC011753.6	0.0019409
AC011754.1	0.000942993
AC011891.5	0.00195824
AC011897.1	0.00186209
AC011897.2	0.00186858
AC011899.9	0.0016427
AC011901.2	0.00149201
AC011995.1	0.00177284
AC011995.3	0.00189139
AC011998.1	0.00236078
AC012065.4	0.00129419
AC012065.7	0.00162082
AC012074.2	0.00141109
AC012075.1	0.00266863
AC012150.1	0.00240984
AC012181.1	0.00213411
AC012314.8	0.000939504
AC012317.1	0.0018646
AC012322.1	0.00126783
AC012354.6	0.00199531
AC012354.8	0.00185501
AC012360.1	0.00132855
AC012360.6	0.00128914
AC012361.1	0.00169903
AC012363.13	0.00123822
AC012391.1	0.00120455
AC012445.1	0.000810381
AC012451.1	0.00189934
AC012462.2	0.00188573
AC012493.1	0.00206244
AC012493.2	0.00219162
AC012494.1	0.0016445
AC012497.2	0.00200822
AC012499.1	0.0022277
AC012501.1	0.00168994
AC012501.2	0.00198166
AC012506.1	0.00181993
AC012506.3	0.00189422
AC012507.3	0.00123819
AC012512.1	0.00228262
AC012593.1	0.0013276
AC012613.2	0.00105081
AC012668.1	0.00181592
AC012668.2	0.00179143
AC012668.3	0.00179143
AC012671.1	0.00120063
AC013248.2	0.00104829
AC013275.2	0.00161275
AC013399.3	0.00161661
AC013401.1	0.00117241
AC013402.2	0.00118882
AC013402.3	0.00136137
AC013402.5	0.0012569
AC013404.1	0.00169827
AC013406.1	0.00124231
AC013410.1	0.0010864
AC013410.2	0.0011547
AC013439.4	0.00177117
AC013442.1	0.00116985
AC013444.1	0.00154911
AC013448.1	0.00157249
AC013448.2	0.0016423
AC013460.1	0.00101742
AC013463.2	0.0018963
AC013558.1	0.00158789
AC013727.1	0.00211434
AC013727.2	0.00192339
AC015691.13	0.00195918
AC015815.5	0.00108254
AC015820.1	0.00149411
AC015871.1	0.00229405
AC015884.1	0.00131183
