gene_name	fg_pleio_degree_finemap	pleio_degree	pleio_degree_maxindep	pleio_degree_locuswide	fg_pleio_degree
SLC22A3		4.0	6.0	4.0	16.0
RP1-81D8.3		3.0	6.0	3.0	
PLG		1.0	1.0	3.0	7.0
RP1-81D8.4		2.0	5.0	3.0	18.0
AC005094.2				1.0	
AC004595.1				1.0	
MIR1183				1.0	
RNU6-1097P				1.0	
AC004938.5				1.0	
RNU6-1151P				13.0	
RP11-115J16.3				13.0	
RP11-115J16.1		13.0	18.0	14.0	9.0
RNU6-526P				12.0	
RP11-115J16.2		3.0	2.0	12.0	1.0
NATP				3.0	
RP11-685B14.1				3.0	
RP11-685B14.3				3.0	
NAT2		3.0	4.0	3.0	1.0
RP11-53M11.4				2.0	1.0
RP11-53M11.2		2.0	5.0	2.0	1.0
RP11-53M11.3				2.0	2.0
RP11-114M5.3				4.0	
RN7SL590P				16.0	
RP11-136O12.2		16.0	16.0	16.0	21.0
RN7SL157P				2.0	
RP11-145E5.5		6.0	3.0	7.0	34.0
NIPSNAP3A				2.0	
NIPSNAP3B				2.0	
RP11-217B7.2		2.0	1.0	4.0	5.0
RP11-430N14.4		4.0	2.0	19.0	3.0
LCN1P2		1.0	1.0	18.0	5.0
LCN1P1				18.0	1.0
SMIM1		5.0	3.0	5.0	
RN7SL574P				5.0	
RP1-286D6.5				5.0	
TP73-AS1				5.0	
LRRC47				5.0	
CEP104				5.0	
CCDC27				5.0	
RNU6-731P				1.0	
RP11-58A11.2				1.0	
ZBTB48				2.0	
NOL9		1.0	1.0	1.0	
TAS1R1				2.0	
RP4-706G24.1		2.0	1.0	6.0	1.0
SYF2		2.0		6.0	
RP3-465N24.6				6.0	
C1orf63		4.0	2.0	6.0	1.0
RP11-335G20.7				4.0	
RNU6-1171P				4.0	
RHD		1.0		6.0	
TMEM50A		2.0	1.0	6.0	
RNA5SP44				3.0	
RP11-416A14.1				5.0	
PABPC4		7.0	7.0	10.0	
RP11-69E11.8		4.0	3.0	10.0	
SNORA55				9.0	
RP11-69E11.4		2.0	2.0	9.0	
BMP8A		1.0		7.0	
RPS15AP10				2.0	
RP11-767N6.2				1.0	
RP11-767N6.7				2.0	
NASP		2.0		5.0	
CCDC17				4.0	
IPP		1.0	1.0	5.0	
GPBP1L1		1.0	1.0	4.0	
RP5-850O15.4				2.0	
RP5-850O15.3		1.0	1.0	2.0	
RNU6-1253P				2.0	
PHBP12				2.0	
VPS25P1				2.0	
AL365331.2				8.0	
AL157902.3		3.0	3.0	8.0	1.0
FAM46C		7.0	2.0	8.0	1.0
RP11-458I7.1				1.0	
VPS45				1.0	
SNORA40		3.0	3.0	13.0	
RP11-316M1.12				8.0	
RP11-316M1.3		2.0		8.0	2.0
FAM63A				8.0	
PRUNE		1.0	1.0	8.0	
OR10K2		2.0		3.0	
OR10T1P		1.0		3.0	
EI24P2				3.0	
OR10K1		1.0	1.0	2.0	
OR10R2				2.0	
OR10R3P				2.0	
OR10R1P				3.0	
RP11-144L1.4				3.0	
OR6Y1		2.0		4.0	
OR6P1				5.0	
OR10X1		3.0	2.0	6.0	
OR10Z1		1.0	1.0	6.0	
SPTA1		6.0	5.0	6.0	
OR6K1P		3.0	1.0	4.0	
OR6K2		2.0		3.0	
OR6K3				3.0	
OR6K4P				3.0	
OR6K5P		3.0	1.0	3.0	
OR6K6		2.0		3.0	
OR6N1				3.0	
OR6N2				3.0	
OR2AQ1P				3.0	
RP11-53A1.2				6.0	
RP4-613A2.1				1.0	
RNA5SP78				1.0	
HMGN2P19				1.0	
RNU4-21P				1.0	
NUP133				1.0	
OR14A16		1.0		6.0	
HSD17B7P1				8.0	
OR6R1P		1.0		8.0	
OR11L1		2.0	2.0	8.0	
TRIM58		8.0	5.0	8.0	
OR2W3		8.0	5.0	8.0	
OR2T8		3.0	1.0	8.0	
RN7SL232P		2.0	1.0	3.0	3.0
CDC123		2.0		4.0	2.0
RP11-186N15.3				4.0	1.0
RP11-523O18.5				2.0	
RP11-523O18.1		1.0		3.0	
RNU6-697P				1.0	
RNU6-571P				1.0	
DDX50				2.0	
RN7SL373P				2.0	
MED28P1				2.0	
ACTBP14		1.0	1.0	2.0	
DDX21				2.0	
KIAA1279		2.0	1.0	2.0	1.0
SRGN		1.0	1.0	1.0	2.0
RP11-259F16.3				2.0	
SUPV3L1				5.0	
RP11-227H15.4		2.0	2.0	5.0	3.0
VPS26A		2.0	1.0	2.0	
RP11-227H15.5				5.0	
RP11-227H15.7				7.0	
AC016821.1				7.0	
TACR2		1.0	1.0	2.0	
ATP5G1P7				1.0	
TMEM256P1		1.0	1.0	2.0	3.0
NEUROG3				1.0	
RP11-343J3.7				1.0	
RP11-343J3.6				1.0	
RP11-343J3.2				1.0	3.0
RP11-343J3.5				1.0	
MTND2P15				1.0	
MTND1P20		1.0	1.0	1.0	
C10orf35				1.0	2.0
MARK2P9				1.0	
AL161652.1				1.0	
IDE		1.0	1.0	1.0	3.0
HHEX		1.0		4.0	3.0
RP11-57H14.2				4.0	
RP11-139K1.2				4.0	
SCGB1C1				5.0	
AC069287.1				5.0	
RP11-304M2.5		1.0		5.0	
RIC8A				5.0	1.0
PSMD13		2.0	1.0	7.0	3.0
NLRP6		4.0	1.0	9.0	
RP11-304M2.3		1.0		5.0	
RP11-326C3.2		1.0	1.0	9.0	
IFITM5		3.0	2.0	9.0	
RP11-326C3.4		1.0	1.0	9.0	
ATHL1		1.0	1.0	9.0	
IFITM2		6.0	5.0	9.0	
RP11-326C3.7				9.0	
IFITM1				9.0	
RP11-326C3.11		2.0	1.0	8.0	
IFITM3		2.0	2.0	8.0	
RP11-326C3.10				8.0	
RP11-326C3.14				8.0	
RP11-326C3.13		1.0	1.0	7.0	
RP11-326C3.15		2.0	1.0	7.0	
RP11-326C3.12		1.0	1.0	7.0	
AC132217.4				7.0	
MIR483				7.0	
MIR4686		1.0	1.0	7.0	5.0
IGF2		4.0	2.0	7.0	5.0
IGF2-AS		4.0	2.0	7.0	3.0
KCNQ1DN				2.0	2.0
CDKN1C				2.0	
KCNQ1-AS1				2.0	3.0
RP11-16F15.1				1.0	
RP11-16F15.4		1.0	1.0	1.0	
RP11-16F15.2				1.0	
RN7SKP50				2.0	
RP11-540A21.2				4.0	2.0
RNF141				1.0	
RP1-239B22.5				1.0	
SDHCP4				1.0	
NCR3LG1				1.0	1.0
NUCB2				1.0	
ABCC8		1.0	1.0	1.0	
RP11-17G12.3				8.0	
DDB2		2.0	2.0	8.0	
NR1H3		3.0	2.0	8.0	2.0
FNBP4		2.0	1.0	7.0	2.0
ARAP1-AS2				2.0	
RPS12P20				2.0	
MIR4692				2.0	
STARD10		1.0	1.0	3.0	1.0
FCHSD2		2.0	2.0	3.0	3.0
RP11-676F20.3				2.0	4.0
RP11-676F20.1				2.0	
RN7SL222P		7.0	2.0	5.0	3.0
AP000620.1				4.0	
CTD-2383M3.1				4.0	
RP11-264F23.1				3.0	
RP11-264F23.3		7.0	3.0	7.0	8.0
RP11-264F23.4		1.0		7.0	8.0
C12orf5				4.0	
RP11-860B13.1				2.0	
RP11-860B13.3				2.0	
MRPS35				2.0	
MANSC4				2.0	1.0
RP11-89H19.1		1.0	1.0	2.0	
TMEM106C				3.0	
COL2A1		1.0		3.0	
RP1-228P16.3		1.0		3.0	
RP1-228P16.1				3.0	
RP1-228P16.4		3.0	2.0	3.0	
RP1-228P16.5		2.0	1.0	3.0	
SENP1		1.0	1.0	3.0	
RNU6-1203P				2.0	
RP1-228P16.7				2.0	
PFKM		2.0	1.0	2.0	
RP11-474C8.3				2.0	
ASB8		1.0		2.0	
RP11-370I10.2		1.0	1.0	2.0	
H1FNT		2.0	1.0	2.0	
RP11-370I10.4				2.0	
OR5BK1P				2.0	
AC024257.1				2.0	
ZNF641		1.0		2.0	
RP11-370I10.6		2.0	1.0	2.0	
OR5BT1P				2.0	
OR5BJ1P				2.0	
OR8S21P				2.0	
OR8T1P				1.0	
LALBA		1.0	1.0	2.0	
OR8S1		1.0		2.0	
OR5BS1P				2.0	
OR11M1P		1.0	1.0	1.0	
SNORA34				1.0	
SNORA2A				1.0	
SNORA2B				2.0	
KANSL2				2.0	
CCNT1		1.0	1.0	2.0	
RP3-405J10.2				6.0	
RP3-405J10.4				6.0	
MIR1293				6.0	
RNU6-1093P		3.0	1.0	6.0	
RNU6-769P				4.0	
RNU6-238P				2.0	
MIR3198-2				5.0	
RN7SL390P				5.0	
HNRNPA1				5.0	
SMUG1		2.0	1.0	3.0	
RP11-968A15.8		3.0	1.0	5.0	
CBX5		5.0	1.0	5.0	
RP11-968A15.2				5.0	
AC090673.1				1.0	
RP11-366L20.2				3.0	
AC002979.1				8.0	
RP11-686G8.1				11.0	
RP11-686G8.2				7.0	
PCNPP1				5.0	
RPS2P41				13.0	
RP3-462E2.5				10.0	
ADAM1A		1.0		11.0	
ADAM1B		3.0	1.0	9.0	
TMEM116		6.0	1.0	9.0	3.0
MAPKAPK5		5.0	2.0	14.0	4.0
RPS2P5				2.0	
TAOK3		2.0	1.0	2.0	
PDX1				3.0	
ATP5EP2		1.0	1.0	3.0	
LINC00543				3.0	
CDX2				3.0	
PDX1-AS1		4.0	2.0	4.0	
TOMM22P3		1.0	1.0	2.0	3.0
C13orf35		1.0	1.0	4.0	
AL162711.1				4.0	
ATP11A-AS1				4.0	
AL356740.1				4.0	
LINC00565		1.0	1.0	1.0	
KLHL33				2.0	
RP11-203M5.6				2.0	
RP11-203M5.7				2.0	
APEX1				2.0	
TMEM55B				2.0	
RP11-203M5.8				2.0	
RNASE10				2.0	
OSGEP				2.0	
PNP		2.0	1.0	2.0	
RP11-96D24.1		1.0	1.0	1.0	3.0
PLEKHG3		1.0	1.0	4.0	
SPTB		4.0	2.0	4.0	
RPPH1-2P				3.0	
CHURC1				3.0	
CHURC1-FNTB		6.0	3.0	7.0	
FNTB		6.0	3.0	7.0	
FOXN3-AS2				2.0	
RN7SKP107				2.0	
RP11-944C7.1				2.0	
FOXN3		2.0	1.0	2.0	
RP11-33N16.3		2.0	1.0	2.0	
AL157871.2				2.0	
RP11-638I2.6				2.0	
MIR345				2.0	
RN7SL523P				2.0	
AL157871.1				2.0	
RP11-638I2.9				2.0	
RP11-638I2.10				2.0	
YY1				2.0	
SLC25A29				2.0	
WARS				2.0	
RP11-638I2.8				2.0	
SLC25A47		2.0	2.0	2.0	
RP11-566J3.2		2.0		5.0	
DLK1		6.0	3.0	6.0	2.0
LINC00523		1.0		5.0	
RP11-566J3.4		1.0		6.0	
MIR1266				1.0	
RP11-430B1.2				1.0	
GNB5				1.0	
RP11-349G13.3				5.0	
IGDCC4		1.0	1.0	5.0	
IGDCC3				1.0	
DPP8		4.0	3.0	5.0	
MIR4511				4.0	
RP11-16E23.3				5.0	
RP11-16E23.4				5.0	
DENND4A		6.0	4.0	6.0	
RP11-307C19.1		2.0	1.0	2.0	2.0
MIR5094				2.0	
RP11-493E3.1				1.0	
MIR5009				1.0	
RNU6-1111P				1.0	
RNU7-111P				1.0	
C15orf38				1.0	
C15orf38-AP3S2		1.0	1.0	2.0	3.0
Z69890.1				6.0	
RGS11				7.0	
PDIA2				7.0	
ITFG3		6.0	3.0	6.0	1.0
LUC7L		2.0	2.0	6.0	
HNRNPCP4		1.0	1.0	4.0	
TNP2				4.0	
PRM3				4.0	1.0
PRM2				4.0	
PRM1				4.0	
MIR548H2				5.0	
RP11-57A19.5				5.0	
NUPR1		1.0		7.0	
RP11-666O2.1		2.0	1.0	6.0	
NPIPB7				6.0	
APOBR				7.0	
RP11-2C24.6				2.0	
ZNF629		2.0	2.0	2.0	
RP11-2C24.5				2.0	1.0
SRCAP				2.0	
RP11-2C24.4				1.0	
PHKG2				2.0	
C16orf93				2.0	
RNF40				2.0	
RP11-120K18.3				5.0	
RP11-120K18.2				5.0	
COX6A2				4.0	
ZNF843				4.0	
ITGAX		1.0	1.0	5.0	
ITGAD		4.0	1.0	5.0	
RPL35AP33				2.0	
SMPD3		1.0	1.0	2.0	1.0
RNA5SP429				4.0	
RP11-354M1.2				3.0	
CDH3				6.0	
CDH1		4.0	2.0	4.0	
RP11-61F12.1				3.0	
COTL1				3.0	
TLDC1		3.0	1.0	3.0	
RP5-1142A6.9				4.0	
RP5-1142A6.7				5.0	
RP5-1142A6.8				5.0	
CDT1		2.0	1.0	6.0	
APRT		1.0	1.0	6.0	1.0
RP5-1142A6.2		1.0		5.0	3.0
GALNS		4.0	2.0	6.0	8.0
AC092384.1				6.0	
TRAPPC2L				4.0	
PABPN1L		1.0	1.0	4.0	
RP11-830F9.5				4.0	
HNRNPA1P16				5.0	
SNORD91B				2.0	
SNORD91A				2.0	
SGSM2		1.0		3.0	
TSR1				2.0	
AC007421.1				7.0	
SAT2				8.0	
RP11-199F11.2		1.0	1.0	5.0	
SHBG		3.0	3.0	8.0	1.0
WRAP53		2.0	1.0	5.0	
RP11-849F2.9				3.0	
RP11-849F2.10				3.0	
AC135178.7				3.0	
SNORA69				3.0	1.0
ODF4				3.0	
CTC1				2.0	
PFAS		1.0		3.0	
SLC25A35		1.0	1.0	3.0	
RANGRF				3.0	
ARHGEF15		1.0		3.0	
RP11-849F2.4				3.0	
RAI1-AS1				5.0	
SMCR5				4.0	
RP1-253P7.1				4.0	
AC087163.3				1.0	
AC087163.2				2.0	
LRRC48		1.0	1.0	3.0	
ATPAF2		1.0	1.0	5.0	
GID4		2.0		5.0	
TOM1L2				3.0	
RP11-64J19.1				3.0	
C17orf103		2.0	1.0	3.0	
RP11-192H23.5				3.0	
RP11-192H23.8				3.0	
RP11-192H23.7				3.0	
RPS12P28				1.0	
PIGS				3.0	
ALDOC				3.0	
SPAG5		2.0	1.0	3.0	
SPAG5-AS1		2.0	1.0	3.0	
RP11-192H23.6				3.0	
SGK494				3.0	
KIAA0100				3.0	
SDF2				2.0	
RP11-192H23.4		4.0	3.0	4.0	2.0
RP11-20B24.3				5.0	
ERAL1		2.0		5.0	
MIR144		1.0	1.0	5.0	
RP11-20B24.7				5.0	
RP11-20B24.4				5.0	
DHRS13				5.0	
FLOT2		2.0		5.0	
FAM222B		2.0	2.0	5.0	
PHF12		1.0		5.0	
RP11-995C19.2		1.0		9.0	
RN7SL199P				9.0	
FAM215B				9.0	
LRRC37A2		9.0	3.0	9.0	1.0
ARL17A		9.0	3.0	9.0	1.0
RP11-567L7.7		1.0	1.0	2.0	3.0
GDPD1		1.0		2.0	
YPEL2				4.0	3.0
RP11-567L7.5				4.0	
RP11-567L7.6		6.0	2.0	7.0	
FLJ45079		1.0	1.0	1.0	
RNU1-80P				1.0	
AC021593.1				6.0	
EIF5AP2				6.0	
TK1				5.0	
TNRC6C-AS1				6.0	
TMC6		6.0	3.0	6.0	
TMC8		5.0	3.0	6.0	
SYNGR2				6.0	
C17orf99		2.0	1.0	6.0	
AFMID		2.0	1.0	4.0	
MIR4525				1.0	
WDR45B				1.0	
RAB40B		1.0	1.0	1.0	
RP11-388C12.1				2.0	
RP11-388C12.8				2.0	
RP11-388C12.5		1.0	1.0	2.0	
FN3K		1.0		2.0	
TBCD		1.0	1.0	2.0	
AC068014.1				2.0	
AC068014.2				2.0	
RP11-567O16.1				2.0	
ZNF750				1.0	
RP11-1197K16.2				1.0	
B3GNTL1		1.0	1.0	2.0	
C18orf25		7.0	3.0	7.0	
AC020934.1				5.0	
KLF1		4.0	1.0	5.0	
AD000092.3				5.0	
MIR5695				5.0	
CALR				5.0	
CTD-2265O21.7		1.0	1.0	5.0	
GCDH		4.0	3.0	5.0	
SYCE2		2.0	1.0	5.0	
FARSA		1.0		5.0	
CTC-425F1.2				5.0	
MAST1				5.0	
CTD-2528A14.5				8.0	
CTD-3032J10.4				9.0	
CTD-3032J10.2		2.0	1.0	9.0	
CTD-3032J10.3				5.0	
USE1				3.0	
AC005621.1				3.0	
PDCD5		5.0	3.0	6.0	
SNORA68				8.0	
RPS12P31				4.0	
ANKRD27		2.0	2.0	7.0	
MIR330				6.0	
AC006132.1				6.0	1.0
MIR642A				7.0	
OPA3				3.0	11.0
GPR4				1.0	
QPCTL		1.0	3.0	8.0	3.0
EML2				6.0	10.0
CTD-3187F8.7				4.0	
SIGLEC21P				4.0	
SIGLEC22P				4.0	
CTD-3187F8.11				4.0	
CTD-3187F8.14				4.0	
SIGLEC20P				4.0	
CD33		4.0	1.0	4.0	
SIGLECL1				4.0	
CTD-3187F8.2				4.0	
ATAD2B		5.0	2.0	8.0	
SDHCP3				9.0	
RN7SL610P				7.0	
UBXN2A		8.0	6.0	9.0	
C2orf44				7.0	
MFSD2B		7.0	5.0	7.0	
RNU6-370P				7.0	
FKBP1B				7.0	
SF3B14				5.0	
RNU6-958P				8.0	
AC011242.6				3.0	
AC011242.5				2.0	1.0
SIX3-AS1				3.0	
AC012354.8				2.0	
AC093702.1				2.0	2.0
RP11-89K21.1		1.0	1.0	3.0	5.0
SIX3				3.0	
AC012354.6		2.0	1.0	3.0	3.0
AC079807.4		2.0	1.0	2.0	
AC009970.1		3.0	1.0	5.0	1.0
CERS6-AS1				2.0	
NOSTRIN		5.0	1.0	5.0	
G6PC2		2.0	1.0	6.0	
AC013467.1				1.0	
HNRNPA1P39		1.0	1.0	1.0	
SP9				1.0	
AC018470.1				1.0	
AC018470.4				1.0	
CIR1		1.0	1.0	1.0	
SCRN3		1.0	1.0	1.0	
GPR155				1.0	
AC068138.1		6.0	8.0	3.0	9.0
AL031655.1				6.0	
AL031655.2				6.0	
GAPDHP54				2.0	
RAE1				6.0	
RP4-800J21.3		1.0	1.0	6.0	
AP000304.12		4.0	2.0	4.0	
ITSN1		4.0	2.0	4.0	
AP001062.8				1.0	
C21orf2				1.0	
AP001062.7				1.0	
AP001062.1				1.0	
AP001062.9				1.0	
AP001063.1				1.0	
DNMT3L				2.0	
TRPM2				1.0	
CABP7				4.0	2.0
UQCR10		2.0	2.0	4.0	
RP1-76B20.11				2.0	5.0
RP1-76B20.12				2.0	5.0
ZMAT5		2.0	2.0	4.0	3.0
RNU6-331P				7.0	
RP1-102K2.6				4.0	3.0
RP1-102K2.8				3.0	
RP3-438O4.4		4.0	4.0	5.0	5.0
OSM		1.0	1.0	2.0	1.0
RP1-127L4.10				1.0	
AP1B1P2				1.0	
RP1-90G24.8		1.0	1.0	1.0	
AP1B1P1				1.0	
RP1-127L4.7				1.0	
C22orf42		1.0	1.0	1.0	
RFPL2				1.0	
IGLCOR22-1				1.0	
RP1-90G24.10				1.0	
SLC5A4				1.0	
TST		2.0		8.0	
RN7SKP214				8.0	
RP5-1170K4.7				8.0	
TEX33		3.0	1.0	5.0	
MPST		4.0	2.0	8.0	
KCTD17		5.0	3.0	8.0	
TMPRSS6		8.0	3.0	9.0	
AL022314.1				5.0	
A4GALT		4.0	2.0	4.0	
AC026166.1				3.0	
GSTM5P1		8.0	3.0	12.0	4.0
RNU6-404P				2.0	
TSEN2				2.0	
CRIP1P1				2.0	1.0
RAF1		3.0	2.0	3.0	1.0
NRADDP		2.0	1.0	7.0	
SCAP		2.0	2.0	3.0	
PTPN23		2.0	1.0	5.0	
NCKIPSD		1.0	1.0	9.0	1.0
PRKAR2A		2.0	1.0	7.0	2.0
RP13-131K19.2				6.0	1.0
WDR6				6.0	
MIR425				4.0	
NDUFAF3				5.0	
MIR191				4.0	
IMPDH2				3.0	1.0
RP13-131K19.6				3.0	
RN7SL182P				4.0	
P4HTM		1.0		6.0	
DALRD3				6.0	
QARS		2.0	1.0	4.0	2.0
RP11-694I15.7				4.0	1.0
GPX1		2.0		11.0	5.0
RHOA-IT1				11.0	
RHOA		8.0	6.0	12.0	1.0
TCTA				10.0	
BSN-AS1				9.0	
RP13-1056D16.2				6.0	
CDHR4		2.0	1.0	7.0	
FAM212A				5.0	
UBA7				7.0	
MIR5193				5.0	
AC139451.1		1.0	1.0	9.0	
RN7SL217P				11.0	
TRAIP		4.0	2.0	10.0	2.0
MST1R		3.0		10.0	
RBM5		3.0	3.0	7.0	
RP11-493K19.3		3.0	1.0	11.0	3.0
RP11-797D24.4				2.0	
ZNF148				1.0	
NME9				1.0	
RP11-788A4.1		1.0	1.0	1.0	
RNU1-70P		2.0	2.0	6.0	
PP13439		1.0	1.0	3.0	
PLD1		2.0	1.0	3.0	
MIR548AQ				4.0	
RP11-132N15.1		2.0	2.0	2.0	4.0
RP11-132N15.2		1.0	1.0	2.0	
RP11-132N15.3		1.0	1.0	2.0	1.0
LINC00885		2.0	2.0	5.0	
SLC51A				6.0	
PCYT1A		1.0	1.0	6.0	
U4				5.0	
RNU6-42P				5.0	
PIGX		1.0	1.0	5.0	
PAK2		5.0	1.0	5.0	
RP11-1406H17.1				1.0	
PPP2R2C				1.0	
RP11-147K6.1				2.0	
PKD2		1.0		2.0	3.0
KRT19P3				1.0	3.0
LRIT3				1.0	
EGF		5.0	1.0	5.0	1.0
RP11-780M14.1				3.0	
FREM3				3.0	
RP13-578N3.3		3.0	2.0	3.0	
RP11-673E1.1		2.0	1.0	4.0	
RP11-673E1.4		4.0	3.0	4.0	
GYPB		4.0	2.0	4.0	
GYPA		5.0	1.0	3.0	
RP11-701P16.1				3.0	
RP11-701P16.2				3.0	
MIR4635				5.0	
RBBP4P1				1.0	
MIR4637				1.0	
RP11-466P24.4				3.0	
RP11-466P24.6		1.0	1.0	4.0	
RP11-466P24.7		1.0	1.0	2.0	
SV2C		4.0	3.0	4.0	
AC008581.1				2.0	
HMGB1P35				2.0	
RN7SL554P				3.0	
RP3-429O6.1		4.0	1.0	4.0	5.0
RP11-69L16.4				5.0	1.0
RP3-348I23.3				3.0	
RNU6-987P				6.0	
AL160037.1				7.0	
PRELID1P2				10.0	
HIST1H2AA		1.0		12.0	
HIST1H2BA				12.0	
HIST1H2BPS1				12.0	1.0
HIST1H2APS1		1.0	1.0	12.0	1.0
SLC17A4		6.0	2.0	8.0	17.0
SLC17A1		6.0	3.0	12.0	18.0
SLC17A3		10.0	6.0	11.0	42.0
HIST1H2APS2		1.0		10.0	2.0
U91328.20				12.0	
SLC17A2		3.0	1.0	8.0	9.0
TRIM38		4.0	3.0	12.0	3.0
U91328.21		2.0		12.0	17.0
U91328.19		3.0	1.0	12.0	18.0
U91328.22		1.0	1.0	12.0	1.0
HIST1H1PS2				12.0	
HIST1H3A				12.0	
HIST1H4A		6.0	3.0	12.0	3.0
HIST1H4B				12.0	2.0
HIST1H3B		4.0		12.0	1.0
HIST1H2AB		1.0	1.0	12.0	6.0
HIST1H2BB				13.0	
U91328.2				13.0	
HIST1H3C		2.0		14.0	4.0
HIST1H1C		5.0	2.0	16.0	4.0
HIST1H1A				12.0	
HFE		7.0	3.0	13.0	13.0
HIST1H4C		6.0	2.0	13.0	
HIST1H1T		2.0		14.0	18.0
HIST1H2BC		3.0	1.0	14.0	7.0
HIST1H2AC		10.0	5.0	14.0	12.0
HIST1H1E		1.0		14.0	15.0
HIST1H2BD		5.0	4.0	14.0	9.0
LARP1P1				14.0	
HIST1H3E				9.0	1.0
HIST1H2APS3		1.0		7.0	
HIST1H1D				7.0	
HIST1H4F		1.0	1.0	7.0	
HIST1H3F				7.0	
HIST1H2BH		2.0	1.0	6.0	9.0
HIST1H3G		5.0	3.0	7.0	2.0
HIST1H2APS4				7.0	
HIST1H2BI				7.0	
HIST1H4H		2.0	1.0	9.0	22.0
HIST1H4G				7.0	3.0
HIST1H3PS1		7.0	3.0	11.0	49.0
RNU6-1259P		4.0	2.0	11.0	25.0
RNU6-502P				11.0	
CTA-14H9.5		1.0	1.0	11.0	
BTN1A1		2.0	1.0	12.0	5.0
HCG11				11.0	
HMGN4		7.0	3.0	9.0	39.0
GUSBP2		10.0	6.0	11.0	58.0
RP11-209A2.1		9.0	3.0	11.0	27.0
PRSS16		3.0	2.0	8.0	9.0
VN1R10P		7.0	3.0	9.0	20.0
ZNF204P		1.0	1.0	11.0	4.0
ZNF391		4.0	2.0	12.0	24.0
POM121L2		1.0	1.0	10.0	17.0
RP1-261G23.7				6.0	
RP11-425D10.1		1.0	1.0	7.0	
PTCHD3P3				7.0	
CCDC162P		6.0	3.0	7.0	
C6orf183		4.0	3.0	8.0	
AL109947.2				3.0	
RP5-919F19.5		1.0		3.0	
AK9		5.0	3.0	6.0	
RN7SL617P				3.0	
CTA-331P3.1				2.0	
DDO		1.0	1.0	3.0	
SLC22A16		2.0	1.0	3.0	
MIR588		6.0	3.0	6.0	1.0
CTA-212D2.2				11.0	
RP11-12A2.3		6.0	6.0	5.0	5.0
AC006150.1				2.0	
AC006045.3		2.0	1.0	2.0	3.0
AC006458.3				2.0	
RNU6-979P				4.0	
TUBG1P				1.0	
URGCP		1.0	1.0	1.0	
UBE2D4				1.0	
AC004985.12				1.0	
POLR2J4				1.0	
RP5-1165K10.2				1.0	
PGAM2				2.0	
AC017116.11				2.0	
MIR4649				3.0	
RNA5SP230				3.0	
MYL7				3.0	
POLM				2.0	
POLD2				3.0	
ARPC1B		2.0	1.0	2.0	
PDAP1				2.0	
BUD31				2.0	
PTCD1				2.0	
ATP5J2-PTCD1				2.0	
ARPC1A		2.0	1.0	3.0	
RP11-390E23.6		2.0		5.0	
RNU6-11P		5.0	2.0	5.0	
HYALP1				5.0	
WASL				5.0	
HYAL4				4.0	
MIR4286				10.0	
RNA5SP252				10.0	
C8orf74		2.0	2.0	10.0	
SOX7		8.0	7.0	11.0	4.0
CTD-2135J3.3		4.0	4.0	10.0	1.0
MIR486				5.0	
RP11-930P14.1				5.0	
AGPAT6		1.0		4.0	
RP11-360L9.8		1.0		4.0	
RP11-930P14.2		1.0		4.0	
RN7SL149P				4.0	
RP11-503E24.2				4.0	
RP11-503E24.3		2.0	2.0	5.0	
SMIM19		4.0	2.0	5.0	
SLC20A2		2.0	1.0	5.0	
RP11-654G14.1				1.0	
RN7SL826P				2.0	
GS1-393G12.12				2.0	
DGAT1		1.0	1.0	2.0	1.0
TMEM249				1.0	
SLC52A2				1.0	
FBXL6				1.0	
HSF1				2.0	
BOP1		1.0		2.0	1.0
RP11-307I14.3				8.0	
MIR101-2				8.0	
RP11-125K10.5				8.0	
AL158147.2				8.0	
RCL1		8.0	5.0	8.0	2.0
C9orf53				5.0	
RP11-149I2.4				5.0	
VPS13A		3.0	1.0	3.0	
AL162389.1		2.0	1.0	2.0	2.0
RNU6-1064P				2.0	
RN7SL659P				2.0	
RP11-247A12.7		1.0	1.0	2.0	
RP11-247A12.8				1.0	
PPP2R4		1.0		2.0	
IER5L				1.0	
RP11-247A12.2				1.0	1.0
CRAT				2.0	
MIR548AW				7.0	
RP11-415H23.4				8.0	
RNU7-21P				8.0	
RP11-295G24.4				8.0	
TSC1				7.0	
GTF3C5				8.0	4.0
SURF1				7.0	
SURF2				7.0	
C9orf96		4.0	3.0	6.0	3.0
REXO4				4.0	
ADAMTS13		2.0	1.0	4.0	9.0
DKFZP434A062				4.0	
DNLZ				5.0	
SDCCAG3				6.0	3.0
PMPCA		1.0		5.0	
SEC16A		3.0	3.0	8.0	
C9orf163		1.0	1.0	6.0	
INPP5E		2.0	1.0	6.0	
AL008733.1				4.0	
LINC00982		1.0		4.0	
CCDC163P				2.0	
PRDX1				4.0	
HMGB1P48		1.0		4.0	
MMACHC				3.0	
RP11-630I5.1		3.0		3.0	
RP4-533D7.4				1.0	
PIK3R3		2.0		2.0	3.0
TCEB1P19				1.0	
RP11-82K18.2				1.0	
GTF2B		1.0		1.0	
PKN2		1.0	1.0	4.0	
HMGCS2				1.0	
PYGO2				1.0	
RP11-307C12.12				1.0	
CKS1B				5.0	
MIR4258				4.0	
LENEP				5.0	
SHC1				4.0	
PBXIP1				1.0	
KRTCAP2		2.0	1.0	5.0	
MUC1				5.0	
MIR92B				5.0	
RP11-263K19.6				5.0	
MTX1P1				4.0	
AL713999.1				4.0	
SCAMP3				4.0	
