MPO_term	cluster_label	MPO_label
MP:0011082	3904	abnormal gastrointestinal motility
MP:0008348	2187	absent gamma-delta T cells
MP:0004740	684	sensorineural hearing loss
MP:0013366	3156	adrenal gland atrophy
MP:0012169	1178	optic placode degeneration
MP:0010682	2100	abnormal hair follicle infundibulum morphology
MP:0012494	3659	dilated pharyngeal arch artery
MP:0008066	506	small endolymphatic duct
MP:0031086	3615	wheezing
MP:0010138	3031	arteritis
MP:0003591	466	urethra atresia
MP:0003509	2821	increased circulating dihydrotestosterone level
MP:0002817	2448	abnormal tooth mineralization
MP:0030194	862	abnormal intermaxillary suture morphology
MP:0013998	5106	absent canalicular internal carotid artery segment
MP:0001329	2461	retina hyperplasia
MP:0002936	2135	joint swelling
MP:0013949	3503	fusion of axis and occipital bones
MP:0010892	2878	increased oligodendrocyte progenitor number
MP:0031047	396	decreased susceptibility to Coronaviridae infection induced morbidity/mortality
MP:0012279	5718	wide sternum
MP:0000164	955	abnormal cartilage development
MP:0003718	2642	maternal effect
MP:0013613	1760	abnormal volumetric bone mineral density
MP:0013193	3243	sebaceous gland hypoplasia
MP:0030401	1499	absent stapes annular ligament
MP:0004527	2554	abnormal outer hair cell stereociliary bundle morphology
MP:0030243	2646	abnormal chin morphology
MP:0011131	1310	abnormal lung endothelial cell physiology
MP:0003447	129	decreased tumor growth/size
MP:0010780	1204	abnormal stomach smooth muscle circular layer morphology
MP:0013115	472	focal hair loss in abdominal region
MP:0004407	4176	increased cochlear hair cell number
MP:0010315	419	increased cholangiocarcinoma incidence
MP:0009549	5539	decreased platelet aggregation
MP:0012503	3695	increased midbrain apoptosis
MP:0000398	341	splitting of guard hairs
MP:0012172	3608	abnormal amniotic fluid composition
MP:0008547	2319	abnormal neocortex morphology
MP:0001281	4161	increased vibrissae length
MP:0004799	2654	increased susceptibility to experimental autoimmune encephalomyelitis
MP:0001939	2102	secondary sex reversal
MP:0008784	2819	craniorachischisis
MP:0009130	2666	increased white fat cell number
MP:0001867	4915	rhinitis
MP:0021088	3197	impaired spatial memory extinction
MP:0002085	1440	abnormal embryonic tissue morphology
MP:0031023	381	decreased susceptibility to Riboviria infection induced morbidity/mortality
MP:0030361	5442	lambdoid suture sclerosis
MP:0006102	2555	decreased tegmentum size
MP:0002176	2926	increased brain weight
MP:0003497	2265	insensitivity to parathyroid hormone
MP:0013969	2952	reduced sympathetic cervical ganglion size
MP:0004507	3276	abnormal ischium morphology
MP:0009908	1914	protruding tongue
MP:0008396	2650	abnormal osteoclast differentiation
MP:0009704	1707	increased skin squamous cell carcinoma incidence
MP:0006243	5183	impaired pupillary reflex
MP:0020083	2315	decreased hippocampus volume
MP:0001596	4509	hypotension
MP:0020039	1670	increased bone ossification
MP:0031164	2337	decreased circulating von Willebrand factor level
MP:0030116	1163	bifid nasal tip
MP:0004563	3489	absent active-zone-anchored inner hair cell synaptic ribbon
MP:0009645	198	crystalluria
MP:0009304	2263	increased retroperitoneal fat pad weight
MP:0014053	3204	dry hair
MP:0011282	176	increased podocyte apoptosis
MP:0021101	569	abnormal ventral interneuron morphology
MP:0009013	5979	abnormal proestrus
MP:0020080	4444	increased bone mineralization
MP:0001492	3472	abnormal pilomotor reflex
MP:0003043	4375	hypoalgesia
MP:0012445	3515	thin hippocampus stratum radiatum
MP:0001304	1230	cataract
MP:0004798	1993	decreased anti-double stranded DNA antibody level
MP:0003028	3219	alkalosis
MP:0004142	1180	abnormal muscle tone
MP:0010790	5068	abnormal stomach pyloric antrum morphology
MP:0001926	1495	female infertility
MP:0014006	3158	absent posterior communicating artery
MP:0013675	2806	decreased Ly6C-positive mature NK cell number
MP:0000843	1050	absent facial nuclei
MP:0014116	1870	abnormal pancreatic beta cell apoptosis
MP:0004634	373	short metacarpal bones
MP:0010929	4914	increased osteoid thickness
MP:0003204	1984	decreased neuron apoptosis
MP:0009039	5693	absent inferior colliculus
MP:0002655	3301	abnormal keratinocyte morphology
MP:0013717	1059	hyperlactation
MP:0005088	4540	increased acute inflammation
MP:0013228	1921	brain ventricle stenosis
MP:0002106	1610	abnormal muscle physiology
MP:0031234	1845	increased circulating serum amyloid protein level
MP:0012056	3447	abnormal polar trophectoderm morphology
MP:0031071	2010	lymph node atrophy
MP:0014078	2447	small intestinal villus atrophy
MP:0000505	1834	decreased digestive secretion
MP:0030925	639	early exit from anagen phase
MP:0012517	1754	absent diencephalon
MP:0012571	4768	increased mammary gland tumor incidence in virgin females
MP:0004597	2343	increased susceptibility to noise-induced hearing loss
MP:0008524	1112	increased plasmacytoid dendritic cell number
MP:0006305	2545	abnormal optic eminence morphology
MP:0002236	880	abnormal internal nares morphology
MP:0004431	6051	abnormal hair cell mechanoelectric transduction
MP:0004419	395	absent parietal bone
MP:0008872	2139	abnormal physiological response to xenobiotic
MP:0003586	3814	dilated ureter
MP:0010602	1821	abnormal pulmonary valve cusp morphology
MP:0012335	1151	increased circulating homocysteine level
MP:0013527	4433	absent conjunctiva goblet cells
MP:0030852	2686	abnormal ilium wing morphology
MP:0014004	6584	absent basilar artery segment
MP:0011904	4913	abnormal Schwann cell physiology
MP:0011531	1774	abnormal syncytiotrophoblast morphology
MP:0000087	3438	absent mandible
MP:0001292	1727	abnormal lens vesicle development
MP:0011210	3846	abnormal temporomandibular joint morphology
MP:0010796	594	abnormal intermediate gastric gland morphology
MP:0006271	1252	abnormal involution of the mammary gland
MP:0003506	3358	acromegaly
MP:0013529	2380	decreased nipple number
MP:0013476	1982	abnormal Harderian gland porphyrin secretion
MP:0009481	5338	cecum inflammation
MP:0011061	3899	abnormal inner hair cell kinocilium morphology
MP:0011724	6837	ectopic cortical neuron
MP:0001566	5487	increased circulating phosphate level
MP:0013197	6490	decreased embryonic cilium number
MP:0013260	2392	decreased dendritic cell apoptosis
MP:0002736	2324	abnormal nociception after inflammation
MP:0011864	5883	abnormal podocyte adhesion
MP:0012120	1428	trophectoderm cell degeneration
MP:0004295	3465	abnormal type III spiral ligament fibrocytes
MP:0011083	3743	lethality at weaning, complete penetrance
MP:0010498	4015	abnormal interventricular septum muscular part morphology
MP:0009968	411	abnormal cerebellar granule cell precursor proliferation
MP:0001468	4922	abnormal temporal memory
MP:0005494	2108	esophagogastric junction metaplasia
MP:0010412	2745	atrioventricular septal defect
MP:0030989	2901	decreased spongiotrophoblast cell number
MP:0000496	3507	abnormal small intestine morphology
MP:0012046	6488	decreased susceptibility to hypertension
MP:0011501	1991	increased glomerular capsule space
MP:0011129	1302	decreased tertiary ovarian follicle number
MP:0004539	4530	absent maxilla
MP:0010970	5306	abnormal compact bone lamellar structure
MP:0004267	3258	abnormal optic tract morphology
MP:0030520	505	oral mucosa blisters
MP:0000362	1554	decreased mast cell histamine storage
MP:0000217	2653	abnormal leukocyte cell number
MP:0011894	3372	decreased circulating transferrin level
MP:0030577	6487	increased keratinocyte adhesion
MP:0005181	3436	decreased circulating estradiol level
MP:0009817	161	decreased leukotriene level
MP:0005138	4154	decreased prolactin level
MP:0010210	938	abnormal circulating cytokine level
MP:0000364	3082	abnormal vascular regression
MP:0000885	3618	ectopic Purkinje cell
MP:0006383	191	abnormal cochlear frequency tuning
MP:0010748	607	abnormal visual evoked potential
MP:0006194	1875	keratoconjunctivitis
MP:0002778	3713	meroanencephaly
MP:0031152	963	subcutaneous hemorrhage
MP:0008452	3448	increased retina rod cell number
MP:0012310	320	persistent ductus caroticus
MP:0030532	225	abnormal periorbital skin morphology
MP:0013568	1734	gastric gland degeneration
MP:0012728	1399	abnormal somite border morphology
MP:0002747	4477	abnormal aortic valve morphology
MP:0030171	2523	absent extraocular muscles
MP:0002704	6486	tubular nephritis
MP:0012709	3190	delayed caudal neuropore closure
MP:0000384	3870	distorted hair follicle pattern
MP:0011865	1911	abnormal podocyte motility
MP:0008711	404	increased interleukin-9 secretion
MP:0000864	2674	abnormal cerebellum vermis morphology
MP:0006370	1406	abnormal hair follicle pheomelanosome pheomelanin content
MP:0009681	1619	abnormal pyramidal decussation morphology
MP:0012028	1044	abnormal visceral endoderm physiology
MP:0004388	6485	absent prechordal plate
MP:0005640	1856	abnormal mean corpuscular hemoglobin concentration
MP:0020318	2512	increased vascular endothelial cell adhesion
MP:0005291	1586	abnormal glucose tolerance
MP:0030874	1280	cricoid cartilage hypoplasia
MP:0008764	2586	increased mast cell degranulation
MP:0030761	1917	increased adrenaline level
MP:0011285	5119	increased circulating erythropoietin level
MP:0000140	1517	absent vertebral pedicles
MP:0010446	2980	heart left ventricle hypoplasia
MP:0008135	4186	small Peyer's patches
MP:0011719	793	abnormal natural killer cell mediated cytotoxicity
MP:0009959	1852	abnormal cerebellar hemisphere morphology
MP:0003644	918	thymus atrophy
MP:0008193	809	abnormal marginal zone B cell physiology
MP:0004903	2836	abnormal uterus weight
MP:0030125	884	small gonial bone
MP:0004359	1898	short ulna
MP:0004965	3069	inner cell mass degeneration
MP:0010831	3572	lethality, incomplete penetrance
MP:0000285	3172	abnormal heart valve morphology
MP:0004153	2397	increased renal tubule apoptosis
MP:0030721	5064	increased lysine level
MP:0012312	6483	impaired avoidance learning behavior
MP:0009053	6482	abnormal anal canal morphology
MP:0000787	1918	abnormal telencephalon morphology
MP:0002757	3402	decreased vertical activity
MP:0005424	1323	jerky movement
MP:0012081	3488	absent heart tube
MP:0010797	2313	abnormal pyloric gastric gland morphology
MP:0008965	1668	increased basal metabolism
MP:0020252	5354	abnormal collagen level
MP:0005530	2564	decreased renal vascular resistance
MP:0009085	1585	abnormal uterine horn morphology
MP:0003461	2309	abnormal response to novel object
MP:0010851	3546	decreased effector memory CD8-positive, alpha-beta T cell number
MP:0004510	4269	myositis
MP:0003247	5336	abnormal glutaminergic neuron morphology
MP:0021082	949	abnormal cerebrospinal fluid amyloid beta 42 isoform level
MP:0011754	6481	abnormal kidney collecting duct intercalated cell morphology
MP:0011435	7003	increased urine magnesium level
MP:0008472	0	abnormal spleen secondary B follicle morphology
MP:0004796	4460	increased anti-histone antibody level
MP:0030140	4912	facial muscle atrophy
MP:0003279	2644	aneurysm
MP:0003305	998	proctitis
MP:0001137	3210	abnormal uterine cervix epithelium morphology
MP:0009804	1283	abnormal interventricular foramen morphology
MP:0002829	4002	abnormal juxtaglomerular apparatus morphology
MP:0008032	2861	abnormal lipolysis
MP:0008890	1768	abnormal nuclear lamina morphology
MP:0004405	516	absent cochlear hair cells
MP:0002270	2932	abnormal pulmonary alveolus morphology
MP:0009446	6480	abnormal platelet dense granule physiology
MP:0030094	1604	foramen magnum stenosis
MP:0003225	2991	axonal dystrophy
MP:0006296	4097	arachnodactyly
MP:0009269	2879	decreased fat cell size
MP:0005261	280	aniridia
MP:0003870	2039	decreased urine glucose level
MP:0006014	3055	dilated endolymphatic sac
MP:0003574	2356	abnormal oviduct morphology
MP:0013796	748	abnormal duodenal goblet cell morphology
MP:0000111	2812	cleft palate
MP:0010564	689	abnormal fetal ductus arteriosus morphology
MP:0012125	1561	decreased bronchoconstrictive response
MP:0009588	2502	increased plasma membrane sphingolipid content
MP:0020522	3222	decreased susceptibility to xenobiotic induced hyperthermia
MP:0030328	3301	glossopalatal ankylosis
MP:0008581	6479	disorganized photoreceptor inner segment
MP:0011920	1477	abnormal S wave
MP:0001183	1621	overexpanded pulmonary alveolus
