MPO_term	cluster_label	MPO_label
MP:0004885	506	abnormal endolymph
MP:0005274	2322	abnormal viscerocranium morphology
MP:0020367	6629	increased heart iron level
MP:0020938	6168	decreased susceptibility to Picornaviridae infection
MP:0001577	793	anemia
MP:0031168	3790	abnormal brain thrombosis
MP:0003396	5204	abnormal embryonic hematopoiesis
MP:0003819	5499	increased left ventricle diastolic pressure
MP:0013313	3926	female preputial gland hypoplasia
MP:0013573	6205	abnormal parathyroid gland development
MP:0011727	5430	ectopic ovary
MP:0008448	746	abnormal retina cone cell inner segment morphology
MP:0005013	5065	increased lymphocyte cell number
MP:0000376	5759	folliculitis
MP:0013646	3346	decreased energy dissipated prior to femur fracture
MP:0009160	5755	abnormal pancreatic acinar cell zymogen granule morphology
MP:0013183	4623	absent trigeminal ganglion
MP:0008461	867	left atrial isomerism
MP:0010348	6750	increased pancreatic islet cell carcinoma incidence
MP:0004677	5203	truncated ribs
MP:0020389	4921	increased radial glial cell number
MP:0009548	4622	abnormal platelet aggregation
MP:0002837	5066	dystrophic cardiac calcinosis
MP:0011986	4621	decreased macrophage proliferation
MP:0009341	3792	decreased splenocyte apoptosis
MP:0010482	1821	abnormal aortic sinus morphology
MP:0010151	3103	abnormal spinal cord ependymal layer morphology
MP:0013160	900	impaired muscle regeneration
MP:0013438	4972	dysmyelination
MP:0012218	4277	decreased brain plasmalogen level
MP:0011227	5646	abnormal vitamin B12 level
MP:0001889	4363	delayed brain development
MP:0001961	858	abnormal reflex
MP:0030444	7037	premature cranial synchondrosis closure
MP:0010338	1713	increased desmoid tumor incidence
MP:0003152	19	abnormal pillar cell differentiation
MP:0020358	5367	abnormal inhibitory synapse morphology
MP:0011004	3143	abnormal epidermal stem cell morphology
MP:0003367	2535	increased circulating glucocorticoid level
MP:0002819	431	abnormal dental pulp cavity morphology
MP:0011225	887	lymph node medullary cord hyperplasia
MP:0030539	1199	abnormal head paraxial mesoderm morphology
MP:0011109	1178	lethality throughout fetal growth and development, incomplete penetrance
MP:0008804	4334	abnormal circulating amylase level
MP:0020862	1424	increased cornea fragility
MP:0030236	2176	abnormal mental foramen morphology
MP:0011064	6365	abnormal vestibular hair cell kinocilium morphology
MP:0031423	1548	abnormal luteolysis
MP:0004518	287	absent vestibular hair cell stereocilia
MP:0002705	198	dilated renal tubule
MP:0014176	6190	abnormal cilary zonule morphology
MP:0001247	7057	dermal cyst
MP:0005463	1546	abnormal CD4-positive, alpha-beta T cell physiology
MP:0012118	1105	absent trophectoderm cell proliferation
MP:0002108	1488	abnormal muscle morphology
MP:0000958	2096	peripheral nervous system degeneration
MP:0020989	3904	increased urine lipocalin 2 level
MP:0000088	6792	short mandible
MP:0011139	4831	increased lung endothelial cell proliferation
MP:0004229	5525	abnormal embryonic erythropoiesis
MP:0031206	4567	hypolipidemia
MP:0000389	2813	disorganized outer root sheath cells
MP:0005284	6130	increased saturated fatty acids level
MP:0031210	5860	small cauda epididymis
MP:0011030	6364	impaired branching involved in preterminal bronchiole morphogenesis
MP:0001105	6489	abnormal PNS glial cell morphology
MP:0020403	198	lysinuria
MP:0004035	4285	abnormal sublingual gland morphology
MP:0010973	1211	increased periosteum thickness
MP:0001570	790	abnormal circulating enzyme level
MP:0002811	6038	macrocytic anemia
MP:0012342	5375	high preference for an addictive substance
MP:0011433	5946	glomerular capillary congestion
MP:0013624	4175	decreased femur compact bone thickness
MP:0005491	924	pancreatic islet hyperplasia
MP:0014062	1099	nervous system inclusion bodies
MP:0010641	2939	descending aorta stenosis
MP:0010114	4727	abnormal coccyx morphology
MP:0031124	6220	aortic valve inflammation
MP:0008279	3828	arrest of spermiogenesis
MP:0000827	1854	dilated third ventricle
MP:0030316	5763	enlarged neurocranium
MP:0009201	3957	external male genitalia atrophy
MP:0005653	728	phototoxicity
MP:0004991	1012	decreased bone strength
MP:0004402	6519	decreased cochlear outer hair cell number
MP:0012714	820	decreased ventral ectodermal ridge size
MP:0003169	13	abnormal scala media morphology
MP:0011060	4786	abnormal kinocilium morphology
MP:0004337	5397	clavicle hypoplasia
MP:0004347	5799	abnormal scapular spine morphology
MP:0010469	6214	ascending aorta hypoplasia
MP:0003548	98	pulmonary hypertension
MP:0030827	6506	femur fracture
MP:0004948	2446	abnormal neuronal precursor proliferation
MP:0004207	1745	increased squamous cell carcinoma incidence
MP:0001023	1609	L5 dorsal root ganglion hypertrophy
MP:0005153	4944	abnormal B cell proliferation
MP:0008790	1291	abnormal NK cell degranulation
MP:0008112	6119	abnormal monocyte differentiation
MP:0030857	2809	absent olecranon
MP:0002184	2223	abnormal innervation
MP:0009796	6227	abnormal base-excision repair
MP:0005036	777	diarrhea
MP:0020937	6877	increased susceptibility to Picornaviridae infection
MP:0013586	2269	thymus medulla atrophy
MP:0012675	4043	enlarged floor plate
MP:0008991	5811	abnormal bile canaliculus morphology
MP:0004530	4843	absent outer hair cell stereocilia
MP:0009944	2501	abnormal olfactory lobe morphology
MP:0013433	318	increased KLRG1-positive CD4-positive, CD25-positive, alpha-beta regulatory T cell number
MP:0011007	1707	abnormal epidermal stem cell apoptosis
MP:0010398	2466	decreased liver glycogen level
MP:0010480	1301	pulmonary arteriovenous malformation
MP:0003792	204	abnormal major salivary gland morphology
MP:0030727	745	increased circulating valine level
MP:0003008	3830	enhanced long term potentiation
MP:0009728	4973	abnormal calcaneum morphology
MP:0010813	5460	abnormal alveolar lamellar body morphology
MP:0012186	458	abnormal muscle precursor cell physiology
MP:0030595	3405	increased brain manganese level
MP:0013941	1670	abnormal enthesis morphology
MP:0003817	6559	abnormal pituitary diverticulum morphology
MP:0005671	1387	abnormal response to transplant
MP:0010045	1893	increased omental fat pad weight
MP:0010452	3319	retina microaneurysm
MP:0000525	2087	renal tubular acidosis
MP:0000107	1441	abnormal frontal bone morphology
MP:0008328	5650	increased somatotroph cell number
MP:0013117	1467	focal hair loss in thorax region
MP:0000738	3269	impaired muscle contractility
MP:0000484	6753	abnormal pulmonary artery morphology
MP:0005430	814	absent fibula
MP:0003236	6469	abnormal lens capsule morphology
MP:0006241	1678	abnormal placement of pupils
MP:0020415	1642	abnormal fibroblast chemotaxis
MP:0002963	6672	decreased urine protein level
MP:0008401	5901	abnormal CD8 positive, alpha-beta intraepithelial T cell morphology
MP:0004160	1965	retroesophageal right subclavian artery
MP:0005366	2110	variegated coat color
MP:0004102	4595	abnormal dorsal striatum morphology
MP:0006282	1069	abnormal spinal cord dorsal horn morphology
MP:0020762	4040	abnormal dorsal subiculum morphology
MP:0013711	2505	abnormal inguinal mammary gland morphology
MP:0010816	4039	decreased type I pneumocyte number
MP:0020204	1363	abnormal heart left ventricle weight
MP:0002916	3734	increased synaptic depression
MP:0004514	4795	dystocia
MP:0030110	76	incudomalleolar fusion
MP:0009473	2751	abnormal skin exfoliation
MP:0009676	4038	abnormal hemostasis
MP:0012167	6259	abnormal epigenetic regulation of gene expression
MP:0013577	584	forestomach hypoplasia
MP:0010744	2379	abnormal cervical flexure morphology
MP:0010583	393	abnormal conotruncus morphology
MP:0000609	1803	abnormal liver physiology
MP:0009289	2996	decreased epididymal fat pad weight
MP:0010125	534	abnormal parvocellular neurosecretory cell morphology
MP:0012368	1971	increased erythrocyte magnesium level
MP:0020812	1972	long photoreceptor outer segment
MP:0005621	1911	abnormal cell physiology
MP:0001925	3243	male infertility
MP:0031116	45	microvesicular hepatic steatosis
MP:0006263	6243	decreased systemic arterial diastolic blood pressure
MP:0003124	1332	hypospadia
MP:0008841	4036	ruptured lens capsule
MP:0031147	232	abnormal ventricular thrombosis
MP:0004420	58	parietal bone hypoplasia
MP:0002052	2730	decreased tumor incidence
MP:0008654	789	increased interleukin-1 alpha secretion
MP:0012043	1745	increased myoepithelioma incidence
MP:0012762	6689	abnormal alpha-beta T cell morphology
MP:0005561	2337	increased mean corpuscular hemoglobin
MP:0030058	5511	erythrodontia
MP:0003917	191	increased kidney weight
MP:0012114	1105	absent inner cell mass proliferation
MP:0000531	294	right pulmonary isomerism
MP:0011476	1978	abnormal urine nucleotide level
MP:0003007	2656	ectopic thymus
MP:0008174	2405	decreased follicular B cell number
MP:0006414	5823	decreased T cell apoptosis
MP:0001633	2857	poor circulation
MP:0009170	2193	abnormal pancreatic islet size
MP:0011689	2548	absent neutrophils
MP:0012686	5308	everted embryonic neuroepithelium
MP:0010391	3751	increased rhabdomyoma incidence
MP:0003082	5520	abnormal gastrocnemius morphology
MP:0021018	6687	decreased dendritic spine number
MP:0011150	4006	abnormal hippocampus stratum oriens morphology
MP:0010512	575	absent PR interval
MP:0009712	1563	impaired conditioned place preference behavior
MP:0020406	7059	hyperthreoninuria
MP:0012668	3046	absent sternal manubrium
MP:0006423	6646	dilated rete testis
MP:0000633	4445	abnormal pituitary gland morphology
MP:0013145	2114	eye discharge
MP:0009537	3518	interstitial cells of Cajal hyperplasia
MP:0030549	3260	abnormal cementocyte lacunocanalicular system morphology
MP:0002442	6333	abnormal leukocyte physiology
MP:0003099	4936	retina detachment
MP:0000044	6604	absent organ of Corti
MP:0031021	266	abnormal gallbladder smooth muscle morphology
MP:0021045	1560	decreased circulating VLDL phospholipid level
MP:0001742	1807	absent circulating adrenaline
MP:0004769	555	abnormal synaptic vesicle morphology
MP:0003511	3722	abnormal labium morphology
MP:0002761	1682	abnormal hippocampal mossy fiber morphology
MP:0030691	596	increased serine level
MP:0001663	810	abnormal digestive system physiology
MP:0009006	158	prolonged estrous cycle
MP:0009262	2851	absent semicircular canal ampulla
MP:0020329	7105	decreased capillary density
MP:0002190	953	disorganized myocardium
MP:0010281	4511	increased nervous system tumor incidence
MP:0008823	5138	abnormal interventricular septum membranous part morphology
MP:0003974	5478	abnormal endocardium morphology
MP:0013569	1834	gastric gland hyperplasia
MP:0030262	5028	frontal bossing
MP:0004069	425	abnormal muscle spindle morphology
MP:0000680	200	absent parathyroid glands
MP:0031357	2417	enlarged prostate gland ventral lobe
MP:0012481	2232	increased habenula size
MP:0006012	426	dilated endolymphatic duct
MP:0011249	3238	abdominal situs inversus
MP:0005404	1814	abnormal axon morphology
MP:0010332	4745	abnormal circulating apolipoprotein level
MP:0002406	4591	increased susceptibility to infection
MP:0009701	6241	abnormal birth body size
MP:0001385	6295	pup cannibalization
MP:0009485	6591	distended ileum
MP:0009871	5137	abnormal aorta tunica adventitia morphology
MP:0001330	1268	abnormal optic nerve morphology
MP:0012034	920	abnormal a-wave shape
MP:0008047	4536	absent uterine NK cells
MP:0010737	577	abnormal juxtaparanode morphology
MP:0004296	587	abnormal type IV spiral ligament fibrocytes
MP:0001747	664	hypersecretion of adrenocorticotropin
MP:0006090	6878	abnormal utricle morphology
MP:0008819	1740	abnormal mastication
MP:0001473	3413	reduced long term potentiation
MP:0000351	4190	increased cell proliferation
MP:0006188	3463	calcified retina
MP:0011278	1249	increased ear pigmentation
MP:0004414	7024	decreased cochlear microphonics
MP:0001142	5492	abnormal vagina orifice morphology
MP:0009020	4196	prolonged metestrus
MP:0006059	4741	decreased susceptibility to ischemic brain injury
MP:0003106	6960	abnormal fear-related response
MP:0010234	568	abnormal vibrissa follicle morphology
MP:0005321	7022	abnormal neopterin level
MP:0000416	505	sparse hair
MP:0030965	5974	increased brain ependyma motile cilium length
MP:0020140	3411	increased brain external capsule size
MP:0003110	931	absent malleus processus brevis
MP:0013250	1245	abnormal dental pulp morphology
MP:0010600	275	enlarged pulmonary valve
MP:0011844	1539	kidney collecting duct atrophy
MP:0011482	1074	posterior iris synechia
MP:0005110	1898	absent talus
MP:0002922	6495	decreased post-tetanic potentiation
MP:0000421	5025	mottled coat
MP:0002116	2436	abnormal craniofacial bone morphology
MP:0010940	2796	abnormal maxillary prominence morphology
MP:0010169	4208	decreased CD4-positive, CD25-positive, alpha-beta regulatory T cell number
MP:0002606	1538	increased basophil cell number
MP:0009715	223	thick epidermis stratum basale
MP:0008196	3492	abnormal follicular dendritic cell morphology
MP:0002399	4589	abnormal pluripotent precursor cell morphology
MP:0009489	3644	abnormal blood vessel endothelium morphology
MP:0009171	6751	enlarged pancreatic islets
MP:0004905	2835	decreased uterus weight
MP:0010844	6515	increased effector memory CD4-positive, alpha-beta T cell number
MP:0001771	2231	abnormal circulating magnesium level
MP:0010854	6525	lung situs inversus
MP:0030775	3500	abnormal calcaneal tendon morphology
MP:0004525	4159	thin cochlear hair cell stereocilia
MP:0009858	6508	abnormal cellular extravasation
MP:0003484	1015	abnormal channel response
MP:0030288	3402	broad occipital bone
MP:0008268	1148	absent hippocampus CA3 region
MP:0000880	773	decreased Purkinje cell number
MP:0001313	6013	increased incidence of corneal inflammation
MP:0020067	4428	increased neocortex size
MP:0004709	934	cervical vertebrae degeneration
MP:0005592	266	abnormal vascular smooth muscle morphology
MP:0010333	790	abnormal circulating apolipoprotein E level
MP:0009338	4748	increased splenocyte number
MP:0020090	4861	decreased susceptibility to diet-induced non-insulin dependent diabetes
MP:0011485	3926	abnormal urethra urothelium morphology
MP:0003773	6014	eclabion
MP:0010736	6176	abnormal extraembryonic ectoderm morphology
MP:0001190	921	reddish skin
MP:0020134	1322	abnormal gallbladder size
MP:0002566	1941	abnormal sexual interaction
MP:0009539	2986	abnormal Hassall's corpuscle morphology
MP:0011767	3814	ureterocele
MP:0013858	5904	abnormal azygos vein topology
MP:0030223	5839	mandibular hyperostosis
MP:0012326	181	increased circulating antithrombin level
MP:0004401	1013	increased cochlear outer hair cell number
MP:0000498	3851	absent jejunum
MP:0030574	6875	increased hair follicle cell proliferation
MP:0002419	3827	abnormal innate immunity
MP:0013943	1638	abnormal ureter topology
MP:0013820	422	absent optic cup
MP:0003964	1827	abnormal noradrenaline level
MP:0003990	127	decreased neurotransmitter release
MP:0004492	3	abnormal orientation of inner hair cell stereociliary bundles
MP:0003895	6056	increased ectoderm apoptosis
MP:0009897	1520	decreased maxillary shelf size
MP:0009578	3438	otocephaly
MP:0010610	2810	patent aortic valve
MP:0002211	226	abnormal primary sex determination
MP:0010440	878	anomalous pulmonary venous connection
MP:0005039	6784	hypoxia
MP:0004256	1398	abnormal maternal decidual layer morphology
MP:0031436	4300	decreased copulatory plug deposition
MP:0009825	6283	cornea ulcer
MP:0009394	6475	increased uterine NK cell number
MP:0011113	2557	abnormal airway basal cell morphology
MP:0002286	2215	cryptorchism
MP:0005034	4703	abnormal anus morphology
MP:0003723	2176	abnormal long bone morphology
MP:0009193	1643	abnormal pancreatic epsilon cell differentiation
MP:0000676	6329	abnormal body water content
MP:0004115	7115	abnormal sinoatrial node morphology
MP:0004114	6765	abnormal atrioventricular node morphology
MP:0009575	6207	abnormal pubic symphysis morphology
MP:0003504	389	thyroid gland inflammation
MP:0004186	1720	abnormal area postrema morphology
MP:0008561	1185	decreased tumor necrosis factor secretion
MP:0006123	4107	tricuspid valve atresia
MP:0030018	6236	increased cardiac cell glucose uptake
MP:0002216	3529	abnormal seminiferous tubule morphology
MP:0004448	6537	abnormal presphenoid bone morphology
MP:0010457	1043	pulmonary artery stenosis
MP:0005434	2202	absent late pro-B cells
MP:0020932	1629	decreased susceptibility to Adenoviridae infection
MP:0031362	104	decreased prostate gland ventral lobe weight
MP:0005542	2741	corneal vascularization
MP:0006254	1946	thin cerebral cortex
MP:0009595	2511	enlarged corneocyte envelope
MP:0006030	132	abnormal otic vesicle development
MP:0001446	6196	abnormal whisker trimming behavior
MP:0005161	120	hematuria
MP:0006039	5053	decreased mitochondrial fission
MP:0009877	170	exostosis
MP:0011783	4425	abnormal ureteral orifice morphology
MP:0003226	2087	absent cochlear modiolus
MP:0030599	2679	decreased liver manganese level
MP:0013608	5659	abnormal ovarian cortex morphology
MP:0010770	2457	preweaning lethality
MP:0011297	3848	absent tubuloglomerular feedback response
MP:0008266	1918	absent hippocampus CA2 region
MP:0011438	80	absent kidney medulla
MP:0012798	205	increased rhombomere 4 size
MP:0011299	3466	abnormal macula densa morphology
MP:0012180	882	abnormal somatic mesoderm morphology
MP:0008530	6739	abnormal rostral-caudal patterning of the somites
MP:0013378	3006	increased sebocyte number
MP:0009943	4668	abnormal olfactory bulb periglomerular cell morphology
MP:0010336	6806	increased acute lymphoblastic leukemia incidence
MP:0013607	167	ovary fibrosis
MP:0021187	6086	increased bone mineral density of vertebrae
MP:0010180	1008	increased susceptibility to weight loss
MP:0009307	5864	decreased uterine fat pad weight
MP:0001008	863	abnormal sympathetic ganglion morphology
MP:0013672	1282	decreased mature NK cell number
MP:0030956	4025	abnormal neuronal precursor cell migration
MP:0031044	726	increased susceptibility to Flaviviridae infection induced morbidity/mortality
MP:0009111	2193	pancreas hypoplasia
MP:0002015	6128	epithelioid cyst
MP:0002942	1003	decreased circulating alanine transaminase level
MP:0001948	6101	vesicoureteral reflux
MP:0004406	5280	abnormal cochlear hair cell number
MP:0004691	6718	absent pubis
MP:0001047	4324	abnormal enteric cholinergic neuron morphology
MP:0011681	293	atrium cyst
MP:0030576	2075	abnormal keratinocyte adhesion
MP:0006309	5521	decreased retina ganglion cell number
MP:0012314	5794	enhanced learning
MP:0009343	6078	dilated gallbladder
MP:0014049	1951	increased T cell acute lymphoblastic leukemia incidence
MP:0014104	3026	decreased chondrocyte apoptosis
MP:0020876	5278	increased nervous system dopamine level
MP:0008182	3280	decreased marginal zone B cell number
MP:0010847	240	increased central memory CD8 positive, alpha-beta T cell number
MP:0004753	2705	abnormal miniature excitatory postsynaptic currents
MP:0011099	1241	lethality throughout fetal growth and development, complete penetrance
MP:0030960	3104	abnormal diapedesis
MP:0000491	4605	crypts of Lieberkuhn abscesses
MP:0008207	2163	decreased B-2 B cell number
MP:0008656	6626	abnormal interleukin-1 beta secretion
MP:0030792	2694	large femur head
MP:0011917	1338	increased heart right atrium weight
MP:0004975	499	absent regulatory T cells
MP:0011942	6336	decreased fluid intake
MP:0004818	5985	increased skeletal muscle mass
MP:0001363	1298	increased anxiety-related response
MP:0005081	2028	abnormal dermis reticular layer morphology
MP:0002928	1379	abnormal bile duct morphology
MP:0006345	687	absent second pharyngeal arch
MP:0002809	5199	increased spinal cord size
MP:0011631	6449	decreased mitochondrial size
MP:0010439	5903	abnormal hepatic vein morphology
MP:0001054	6609	failure of neuromuscular synapse presynaptic differentiation
MP:0020931	5822	increased susceptibility to Adenoviridae infection
MP:0012080	1755	chylous ascites
MP:0014194	535	increased epididymal epithelium cell proliferation
MP:0014117	316	increased pancreatic beta cell apoptosis
MP:0005505	1951	thrombocytosis
MP:0004094	4576	abnormal M line morphology
MP:0005168	1066	abnormal female meiosis
MP:0003179	1073	thrombocytopenia
MP:0020847	6957	abnormal peroxisome physiology
MP:0001259	1907	abnormal body weight
MP:0011535	5249	increased urination frequency
MP:0011313	2181	abnormal kidney efferent arteriole morphology
MP:0002931	6238	glutaricadicuria
MP:0002680	627	decreased corpora lutea number
MP:0009078	6266	adrenal gland hyperplasia
MP:0001685	133	abnormal endoderm development
MP:0008091	6571	decreased T-helper 2 cell number
MP:0013850	5586	absent posterior commissure
MP:0010547	614	abnormal mesocardium morphology
MP:0001284	1867	absent vibrissae
MP:0005556	2146	abnormal renal filtration rate
MP:0004968	1810	kidney epithelium hyperplasia
MP:0010971	4606	abnormal periosteum morphology
MP:0006308	256	enlarged seminiferous tubules
MP:0010241	5477	abnormal aortic arch development
MP:0010939	4706	abnormal mandibular prominence morphology
MP:0011613	868	decreased circulating ghrelin level
MP:0010357	519	increased prostate gland tumor incidence
MP:0011193	3403	embryonic epiblast cell degeneration
MP:0010426	4197	abnormal heart and great artery attachment
MP:0004577	1092	abnormal cochlear hair cell inter-stereocilial links morphology
MP:0001052	3563	abnormal innervation pattern to muscle
MP:0011312	1434	abnormal kidney afferent arteriole morphology
MP:0013807	5636	generalized edema
MP:0003540	2691	imperforate hymen
MP:0003112	456	enlarged parathyroid gland
MP:0008482	1640	decreased spleen germinal center number
MP:0012518	2932	abnormal Brunner's gland morphology
MP:0003550	982	short perineum
MP:0013407	591	abnormal dendritic epidermal T cell morphology
MP:0013458	1251	decreased eccrine gland number
MP:0004636	160	decreased metacarpal bone number
MP:0013704	5852	increased megakaryocyte-erythroid progenitor cell number
MP:0030079	6601	small incisors
MP:0012073	1543	premature mammary gland growth during pregnancy
MP:0011017	1071	increased body surface temperature
MP:0009799	205	abnormal maxillary nerve morphology
MP:0009356	893	decreased liver triglyceride level
MP:0002796	1759	impaired skin barrier function
MP:0001529	806	abnormal vocalization
MP:0005422	2109	osteosclerosis
MP:0009239	1136	short sperm flagellum
MP:0030093	3425	absent maxillary sinus
MP:0005586	4200	decreased tidal volume
MP:0030567	1269	abnormal I band morphology
MP:0020558	779	decreased ventromedial hypothalamic nucleus size
MP:0002895	993	abnormal otolithic membrane morphology
MP:0020369	3331	increased intestinal iron level
MP:0011125	5928	decreased primary ovarian follicle number
MP:0003155	1968	abnormal telomere length
MP:0011628	3731	increased mitochondrial number
MP:0008972	1250	ethmoturbinate hypoplasia
MP:0001255	6815	decreased body height
MP:0002371	6527	abnormal thymus cortex morphology
MP:0002929	7005	abnormal bile duct development
MP:0030636	5871	decreased taurine level
MP:0009639	5183	abnormal olivary pretectal nucleus morphology
MP:0001101	2422	abnormal superior vagus ganglion morphology
MP:0010424	4015	double chambered heart right ventricle
MP:0021106	6337	abnormal secondary ovarian follicle morphology
MP:0010264	6771	increased hepatoma incidence
MP:0009520	328	decreased submandibular gland size
MP:0008228	5618	increased anterior commissure size
MP:0004287	6709	abnormal spiral limbus morphology
MP:0009154	622	pancreatic acinar hypoplasia
MP:0010941	29	abnormal foramen magnum morphology
MP:0030953	2112	abnormal Golgi cisterna morphology
MP:0009766	2249	increased sensitivity to xenobiotic induced morbidity/mortality
MP:0011703	2442	increased fibroblast proliferation
MP:0011174	6202	lipodystrophy
MP:0013655	1784	decreased CD103-positive CD11b-low dendritic cell number
MP:0020346	6770	abnormal myocardial fiber calcium currents
MP:0030483	3580	decreased osteocyte number
MP:0009898	2007	maxillary shelf hypoplasia
MP:0003014	5565	abnormal kidney medulla morphology
MP:0012101	6732	acoria
MP:0005278	3555	abnormal cholesterol homeostasis
MP:0004848	72	abnormal liver size
MP:0030798	6313	joint contracture
MP:0004700	2263	abnormal circulating insulin-like growth factor I level
MP:0004928	1375	increased epididymis weight
MP:0014099	1958	abnormal chondrocyte proliferation
MP:0014155	166	absent olfactory epithelium
MP:0008323	2633	abnormal lactotroph morphology
MP:0005311	2840	abnormal circulating amino acid level
MP:0012276	1233	absent prechordal mesoderm
MP:0009976	1927	abnormal cerebellar peduncle morphology
MP:0030149	969	abnormal stylohyoid muscle morphology
MP:0005607	4563	decreased bleeding time
MP:0000099	7076	absent vomer bone
MP:0004122	4841	abnormal sinus arrhythmia
MP:0003692	7103	xanthoma
MP:0030201	3442	absent nasal septum cartilage
MP:0010901	5144	abnormal pulmonary alveolar parenchyma morphology
MP:0030625	7006	increased circulating cysteine level
MP:0001222	2218	epidermal hyperplasia
MP:0002412	2937	increased susceptibility to bacterial infection
MP:0002335	1461	decreased airway responsiveness
MP:0020237	4615	increased proline level
MP:0000180	6758	abnormal circulating cholesterol level
MP:0010463	4715	aorta stenosis
MP:0030733	1109	decreased gamma-aminobutyric acid level
MP:0008729	6186	decreased memory B cell number
MP:0000447	4089	flattened snout
MP:0001716	3171	abnormal placenta labyrinth morphology
MP:0001690	5813	failure of somite differentiation
MP:0009248	5139	small caput epididymis
MP:0010881	1144	esophagus hypoplasia
MP:0011314	4431	abnormal kidney cortex artery morphology
MP:0004017	1955	duplex kidney
MP:0009874	4273	abnormal interdigital cell death
MP:0005426	5245	tachypnea
MP:0013466	1027	keratoconjunctivitis sicca
MP:0005571	6167	decreased lactate dehydrogenase level
MP:0010189	4185	abnormal T follicular helper cell physiology
MP:0005216	5123	abnormal pancreatic alpha cell morphology
MP:0008092	5686	abnormal T-helper 2 cell differentiation
MP:0008269	6100	abnormal hippocampus CA4 region morphology
MP:0005465	1101	abnormal T-helper 1 physiology
MP:0008035	5177	behavioral arrest
MP:0010592	4010	abnormal atrioventricular septum morphology
MP:0003141	1378	cardiac fibrosis
MP:0031214	2267	hypercoagulability
MP:0008839	6052	absent acrosome
MP:0010405	6725	ostium secundum atrial septal defect
MP:0010875	2183	increased bone volume
MP:0008397	403	abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology
MP:0020549	3363	increased optic chiasm size
MP:0011094	380	embryonic lethality before implantation, complete penetrance
MP:0003153	3786	early eyelid opening
MP:0002369	2719	abnormal thymus subcapsular epithelium morphology
MP:0009484	4183	ileum hypertrophy
MP:0013452	653	increased lacrimal gland apoptosis
MP:0031006	1085	increased lung glycogen level
MP:0004084	2533	abnormal cardiac muscle relaxation
MP:0005122	1095	increased circulating thyroid-stimulating hormone level
MP:0010729	5271	absent arcus anterior
MP:0031277	1674	pectus carinatum
MP:0001807	2712	decreased IgA level
MP:0008465	416	absent mesenteric lymph nodes
MP:0013769	866	increased marginal zone precursor B cell number
MP:0002324	843	abnormal alveolocapillary membrane morphology
MP:0012684	33	abnormal pleural cavity morphology
MP:0000533	4263	kidney hemorrhage
MP:0020324	1647	jejunum polyps
MP:0011403	1497	pyelonephritis
MP:0013393	3853	symblepharon
MP:0010567	1244	abnormal right bundle morphology
MP:0012536	1506	delayed optic fissure closure
MP:0004493	5820	dilated cochlea
MP:0000005	1565	increased brown adipose tissue amount
MP:0000315	4651	hemoglobinuria
MP:0006346	6136	small pharyngeal arch
MP:0030313	944	abnormal face development
MP:0009128	6715	decreased brown fat cell number
MP:0001144	1653	vagina atresia
MP:0000074	2989	abnormal neurocranium morphology
MP:0020953	1986	decreased susceptibility to Paramyxoviridae infection
MP:0011570	4986	esophageal achalasia
MP:0004442	1590	occipital bone foramen
MP:0000508	718	right-sided isomerism
MP:0009849	4009	increased vertical stereotypic behavior
MP:0004895	6726	vagina atrophy
MP:0000927	4562	small floor plate
MP:0000615	4190	abnormal palatine gland morphology
MP:0009713	53	enhanced conditioned place preference behavior
MP:0000022	4844	abnormal ear shape
MP:0009878	5267	decreased susceptibility to bone fracture
MP:0004272	1325	abnormal basement membrane morphology
MP:0000792	1956	abnormal cortical marginal zone morphology
MP:0030455	737	increased odontoblast number
MP:0008803	3454	abnormal placental labyrinth vasculature morphology
MP:0002874	1289	decreased hemoglobin content
MP:0020865	2702	delayed suckling reflex loss
MP:0005174	6545	abnormal tail pigmentation
MP:0013860	2508	anastomosis between common carotid and vertebral artery
MP:0009382	7016	abnormal cardiac jelly morphology
MP:0031266	4419	decreased susceptibility to alcohol-induced hepatic steatosis
MP:0030061	2101	absent otic pit
MP:0008597	4160	decreased circulating interleukin-6 level
MP:0008737	5037	abnormal spleen physiology
MP:0002436	4401	abnormal CD8-positive, alpha-beta cytotoxic T cell morphology
MP:0001063	4579	abnormal trochlear nerve morphology
MP:0030945	6030	abnormal myoblast migration
MP:0001701	469	incomplete embryo turning
MP:0011843	4302	abnormal kidney collecting duct epithelium morphology
MP:0008588	5071	abnormal circulating interleukin level
MP:0006405	2001	abnormal L3 dorsal root ganglion morphology
MP:0001911	4848	abnormal cerebrospinal fluid production
MP:0011464	3397	bilirubinuria
MP:0003162	831	decreased lateral semicircular canal size
MP:0011209	7033	absent extraembryonic coelom
MP:0009291	1697	decreased femoral fat pad weight
MP:0030484	4481	abnormal osteocyte lacuna morphology
MP:0004678	6113	split xiphoid process
MP:0005448	4749	abnormal energy homeostasis
MP:0030601	3955	increased circulating manganese level
MP:0000402	230	abnormal zigzag hair morphology
MP:0010499	3176	abnormal ventricle myocardium morphology
MP:0031339	2003	increased lipocalin 2 level
MP:0008851	2448	decreased hemoglobin concentration distribution width
MP:0000242	4636	impaired fertilization
MP:0004007	981	abnormal lung vasculature morphology
MP:0004290	151	abnormal stapes footplate morphology
MP:0000597	3728	delayed hepatic development
MP:0013206	5017	abnormal motile cilium morphology
