HPO_term	cluster_label	HPO_label
HP:0005605	38	Large cafe-au-lait macules with irregular margins
HP:0001305	2198	Dandy-Walker malformation
HP:0040301	84	Increased urinary glycerol
HP:0000395	4842	Prominent antihelix
HP:0100565	1758	Hydromyelia
HP:0006476	2251	Abnormality of the pancreatic islet cells
HP:0040264	2115	Jaw pain
HP:0004233	1662	Advanced ossification of carpal bones
HP:0008390	754	Recurrent loss of toenails and fingernails
HP:0045084	1474	Limb myoclonus
HP:0031319	5218	Cardiomyocyte hypertrophy
HP:0012738	2304	Agenesis of canine
HP:0005336	910	Forehead hyperpigmentation
HP:0005943	1164	Respiratory arrest
HP:0032273	2232	Increased circulating N-acetylaspartic acid concentration
HP:0001806	361	Onycholysis
HP:0007650	1591	Progressive ophthalmoplegia
HP:0001780	876	Abnormal toe morphology
HP:0009104	1736	Aplasia/Hypoplasia of the pubic bone
HP:0032154	4665	Aphthous ulcer
HP:0034029	1891	Hepatic foam cells
HP:0001367	765	Abnormal joint morphology
HP:0012725	1459	Cutaneous syndactyly
HP:0002448	1048	Progressive encephalopathy
HP:0001711	569	Abnormal left ventricle morphology
HP:0030886	2943	Abnormal lymphocyte apoptosis
HP:0030231	2060	Glycogen accumulation in muscle fiber lysosomes
HP:0040178	2988	Increased level of platelet-activating factor
HP:0001636	3211	Tetralogy of Fallot
HP:0001962	1701	Palpitations
HP:0009805	4671	Low-output congestive heart failure
HP:0100525	1571	Urachus fistula
HP:0008850	2075	Severe postnatal growth retardation
HP:0009005	2903	Weakness of the intrinsic hand muscles
HP:6000648	853	3-4 toe cutaneous syndactyly
HP:0034323	2093	Reduced circulating growth hormone concentration
HP:0012502	59	Abnormality of the internal capsule
HP:0100806	2425	Sepsis
HP:0040187	4662	Neonatal sepsis
HP:0008659	3980	Multiple small medullary renal cysts
HP:0012587	2067	Macroscopic hematuria
HP:0010955	2302	Dilatation of the bladder
HP:0010518	2512	Thyroglossal cyst
HP:0012796	2362	Increased cup-to-disc ratio
HP:0011671	3298	Interrupted inferior vena cava with azygous continuation
HP:0012101	1408	Decreased serum creatinine
HP:0007766	3897	Optic disc hypoplasia
HP:0007164	4661	Slowed slurred speech
HP:0003717	2780	Minimal subcutaneous fat
HP:0007737	2479	Bone spicule pigmentation of the retina
HP:0001571	1401	Multiple impacted teeth
HP:0007332	3850	Focal hemifacial clonic seizure
HP:0003066	3815	Limited knee extension
HP:0025107	2818	Cutis marmorata telangiectatica congenita
HP:0008747	3024	Cartilaginous ossification of larynx
HP:0000058	4109	Abnormal labia morphology
HP:0000554	435	Uveitis
HP:0007799	1550	Conjunctival whitish salt-like deposits
HP:0100247	1749	Recurrent singultus
HP:0000912	2427	Sprengel anomaly
HP:0020186	878	Multilobulated spleen
HP:0000892	204	Bifid ribs
HP:0005320	2329	Lack of facial subcutaneous fat
HP:0009183	1157	Joint contracture of the 5th finger
HP:0032943	407	Abnormal urine pH
HP:0001854	1604	Podagra
HP:0003085	262	Long fibula
HP:0010665	1587	Bilateral coxa valga
HP:0033568	279	Left axis deviation
HP:0003158	1682	Hyposthenuria
HP:0033509	3946	EBV encephalitis
HP:0030357	4821	Small cell lung carcinoma
HP:0025507	126	Yellow papule
HP:0031251	3898	Abnormal subclavian artery morphology
HP:0032366	675	Positive direct antiglobulin test
HP:0007480	3275	Decreased sweating due to autonomic dysfunction
HP:0005441	725	Sclerotic cranial sutures
HP:0003173	1325	Hypoplastic pubic bone
HP:0000858	5429	Irregular menstruation
HP:6000469	3009	Elevated urine 2,3-dihydroxy-2-methylbutanoic acid level
HP:0030095	2082	Reduced muscle collagen VI
HP:0003687	3274	Centrally nucleated skeletal muscle fibers
HP:0025576	17	Abnormal inferior vena cava morphology
HP:0011221	3201	Vertical forehead creases
HP:0006801	1009	Hyperactive deep tendon reflexes
HP:0410275	5062	Lumbosacral hemangioma
HP:0031939	808	Conus terminalis arteriovenous malformation
HP:0010048	4777	Aplasia of metacarpal bones
HP:0410011	55	Abnormality of masticatory muscle
HP:0004399	4344	Congenital pyloric atresia
HP:0011318	1679	Bicoronal synostosis
HP:0012062	2982	Bone cyst
HP:0008964	1980	Nonprogressive muscular atrophy
HP:0100023	1001	Recurrent hand flapping
HP:0010833	941	Spontaneous pain sensation
HP:0009906	852	Aplasia/Hypoplasia of the earlobes
HP:0003468	318	Abnormal vertebral morphology
HP:0001403	1030	Macrovesicular hepatic steatosis
HP:0001128	1132	Trichiasis
HP:0007514	2295	Edema of the dorsum of hands
HP:0032242	2106	Cervical intraepithelial neoplasia
HP:0007020	2433	Progressive spastic paraplegia
HP:0200094	1350	Frontal open bite
HP:0030469	1025	Abnormal dark-adapted electroretinogram
HP:0008167	1674	Very long chain fatty acid accumulation
HP:0000358	1903	Posteriorly rotated ears
HP:0012209	232	Juvenile myelomonocytic leukemia
HP:0000468	3223	Increased adipose tissue around the neck
HP:0003657	2530	Vascular granular osmiophilic material deposition
HP:0006562	2087	Viral hepatitis
HP:0030026	5255	Squared superior portion of helix
HP:0001402	724	Hepatocellular carcinoma
HP:0005961	2465	Hypoargininemia
HP:0410255	5216	Transient neutropenia
HP:0006308	2967	Atrophy of alveolar ridges
HP:0009439	1508	Short middle phalanx of the 3rd finger
HP:0031304	1408	Iliac arterial calcification
HP:0033252	5215	Palmar hyperlinearity
HP:0008541	2496	Superiorly displaced ears
HP:0032249	1637	Coccidioidomycosis
HP:0030242	1342	Portal vein thrombosis
HP:0011849	540	Abnormal bone ossification
HP:0031248	999	Palmar pruritus
HP:0033737	1786	Grade III vesicoureteral reflux
HP:0025430	1334	High-pitched cry
HP:0009725	1499	Bladder neoplasm
HP:0100299	3018	Muscle fiber inclusion bodies
HP:0004818	1433	Paroxysmal nocturnal hemoglobinuria
HP:0006443	1077	Patellar aplasia
HP:0006610	232	Wide intermamillary distance
HP:0012773	3444	Reduced upper to lower segment ratio
HP:0000372	2597	Abnormal auditory canal morphology
HP:0031723	1280	Secondary esotropia
HP:0031260	1370	Triangular tibia
HP:0100857	4107	Flat sella turcica
HP:6000234	2061	Elevated circulating dihydroxyphenylacetic acid concentration
HP:0000703	389	Dentinogenesis imperfecta
HP:0010562	2636	Keloids
HP:0200083	860	Severe limb shortening
HP:0000559	1132	Corneal scarring
HP:0000709	4988	Psychosis
HP:0500243	2622	Abnormal CSF ornithine concentration
HP:0002667	3155	Nephroblastoma
HP:0040131	1188	Abnormal motor nerve conduction velocity
HP:0009295	1142	Short middle phalanx of the 4th finger
HP:0005502	1093	Increased red cell osmotic fragility
HP:0002313	2874	Spastic paraparesis
HP:0032204	1561	Chronic active Epstein-Barr virus infection
HP:0006179	3208	Pseudoepiphyses of second metacarpal
HP:0025406	1316	Asthenia
HP:0000588	1255	Optic disc coloboma
HP:0020222	1706	Hypohomocysteinemia
HP:0010097	2172	Partial duplication of the distal phalanx of the hallux
HP:0007230	4926	Decreased distal sensory nerve action potential
HP:0001679	3148	Abnormal aortic morphology
HP:0031986	1420	Polyminimyoclonus
HP:0000125	1430	Pelvic kidney
HP:0001074	2795	Atypical nevi in non-sun exposed areas
HP:0034201	1813	Increased CSF homovanillic acid concentration
HP:4000166	801	Post-vaccination varicella zoster virus infection
HP:0012433	1589	Abnormal social behavior
HP:0000282	3205	Facial edema
HP:0006837	1290	Congenital Horner syndrome
HP:0031834	1958	Aortopulmonary collateral arteries
HP:0002891	653	Uterine leiomyosarcoma
HP:6000371	2661	Elevated circulating D-glyceric concentration
HP:0011951	1605	Aspiration pneumonia
HP:0000188	1311	Short upper lip
HP:0007690	839	Map-dot-fingerprint corneal dystrophy
HP:0001338	1348	Partial agenesis of the corpus callosum
HP:0003320	1457	C1-C2 subluxation
HP:0000147	1520	Polycystic ovaries
HP:0010001	4801	Complete duplication of the distal phalanges of the hand
HP:0031083	1986	Abnormal response to human chorionic gonadotrophin stimulation test
HP:0012195	1834	Irregular respiration
HP:0000377	5163	Abnormal pinna morphology
HP:0031045	643	Acral blistering
HP:0200105	1057	Absent fifth toenail
HP:0008221	3089	Adrenal hyperplasia
HP:0002689	5265	Absent paranasal sinuses
HP:4000061	606	Pancreatic alpha-cell hyperplasia
HP:0006714	2923	Aplasia/Hypoplasia of the sternum
HP:0000224	1778	Hypogeusia
HP:0004354	1957	Abnormal circulating carboxylic acid concentration
HP:0002629	1676	Gastrointestinal arteriovenous malformation
HP:0004826	1271	Folate-unresponsive megaloblastic anemia
HP:0007827	2016	Nodular corneal dystrophy
HP:0032989	1804	Delayed ability to roll over
HP:0002154	1749	Hyperglycinemia
HP:0031220	1243	Increased radioactive iodine uptake
HP:0007610	980	Blotching pigmentation of the skin
HP:0001885	3941	Short 2nd toe
HP:0011890	940	Prolonged bleeding following procedure
HP:0003443	380	Decreased size of nerve terminals
HP:0025331	1347	Upgaze palsy
HP:0025162	5337	Severe temper tantrums
HP:0033051	4644	Impaired executive functioning
HP:0041048	3203	Decreased expression of GPI-anchored proteins on the cell surface
HP:0010484	2387	Hypertrophy of the upper limb
HP:0030051	1434	Tip-toe gait
HP:0005430	1040	Recurrent Neisserial infections
HP:0012724	5335	Upper eyelid edema
HP:0000012	2126	Urinary urgency
HP:0033803	3008	Sub-lamina densa cleavage
HP:0007760	4642	Crystalline corneal dystrophy
HP:0001541	3479	Ascites
HP:0000097	171	Focal segmental glomerulosclerosis
HP:0012030	127	Increased urinary cortisol level
HP:0006285	1199	Enamel hypomineralization
HP:0002244	4696	Abnormal small intestine morphology
HP:4000206	1194	Reduced 3-methylcrotonyl CoA carboxylase activity in cultured fibroblasts
HP:0000391	3201	Thickened helices
HP:0003991	2865	Osteosclerosis of the ulna
HP:0002071	2018	Abnormality of extrapyramidal motor function
HP:0032614	4911	Renal glomerular amyloid deposition
HP:0030900	5504	Pruritus on foot
HP:0100360	1782	Upper-limb joint contracture
HP:0001072	958	Thickened skin
HP:0034864	510	Decreased alpha-galactosidase A activity
HP:0030804	4670	Trachyonychia
HP:0031659	2312	Fourth heart sound
HP:0008089	3774	Abnormality of the fifth metatarsal bone
HP:0002984	3186	Hypoplasia of the radius
HP:0006226	1361	Osteoarthritis of the first carpometacarpal joint
HP:0009919	855	Retinoblastoma
HP:0010579	3184	Cone-shaped epiphysis
HP:0007663	2373	Reduced visual acuity
HP:0002763	1324	Abnormal cartilage morphology
HP:0410259	3112	Hepatopulmonary fusion
HP:0003368	2154	Abnormal femoral head morphology
HP:0032491	1849	Increased circulating argininosuccinic acid
HP:0002102	2792	Pleuritis
HP:0001135	3607	Chorioretinal dystrophy
HP:0003565	1646	Elevated erythrocyte sedimentation rate
HP:0011577	4649	Partial atrioventricular canal defect
HP:0002472	1074	Small cerebral cortex
HP:0012464	3199	Decreased transferrin saturation
HP:0012629	1321	Phakodonesis
HP:0008011	1954	Peripheral opacification of the cornea
HP:0010640	1654	Abnormal nasal cavity morphology
HP:0003196	2239	Short nose
HP:0410253	2104	Myeloid maturation arrest
HP:0410292	3154	Abnormal isohemagglutinin level
HP:0032676	5193	Chronic cutaneous wound
HP:0010759	804	Prominence of the premaxilla
HP:0006383	3860	Progressive bowing of long bones
HP:0011188	1474	Focal EEG discharges with secondary generalization
HP:0003785	751	Decreased CSF homovanillic acid concentration
HP:0006248	946	Limited wrist movement
HP:0100040	1772	Broad 2nd toe
HP:0000276	1736	Long face
HP:0002120	4840	Cerebral cortical atrophy
HP:0001878	3197	Hemolytic anemia
HP:0000518	16	Cataract
HP:0006304	4633	Widely-spaced incisors
HP:0002977	2066	Aplasia/Hypoplasia involving the central nervous system
HP:0002970	1997	Genu varum
HP:0004891	4632	Recurrent infections due to aspiration
HP:0003526	1982	Orotic acid crystalluria
HP:0031516	141	Oocyte arrest at metaphase I
HP:0012751	1053	Abnormal basal ganglia MRI signal intensity
HP:0011645	2145	Dilatation of the sinus of Valsalva
HP:0030436	1597	Fibrofolliculoma
HP:0000252	847	Microcephaly
HP:0005684	4121	Distal arthrogryposis
HP:0000533	72	Chorioretinal atrophy
HP:0030016	1483	Dyspareunia
HP:0008093	1673	Short 4th toe
HP:0033485	5436	Glomerular basement membrane disruption
HP:0006766	4785	Papillary renal cell carcinoma
HP:0007715	292	Weak extraocular muscles
HP:0033176	1570	Submandibular lymph node enlargement
HP:0000388	50	Otitis media
HP:0001538	2549	Protuberant abdomen
HP:0012603	2442	Abnormal urine sodium concentration
HP:0004755	91	Supraventricular tachycardia
HP:0030089	1975	Abnormal muscle fiber protein expression
HP:0030836	1029	Wrist pain
HP:0010815	938	Nevus sebaceous
HP:0005979	4631	Metabolic ketoacidosis
HP:0005227	1096	Adenomatous colonic polyposis
HP:0001054	1216	Numerous nevi
HP:0010523	333	Alexia
HP:0000767	1099	Pectus excavatum
HP:0030092	2314	Reduced muscle fiber merosin
HP:3000062	2379	Abnormal internal carotid artery morphology
HP:0002135	3823	Basal ganglia calcification
HP:0031039	1687	Spermatocyte maturation arrest
HP:0000137	2864	Abnormality of the ovary
HP:0004844	4736	Coombs-positive hemolytic anemia
HP:0100306	2117	Muscle fiber hyaline bodies
HP:0001191	927	Abnormal carpal morphology
HP:0031931	2477	Ocular flutter
HP:0011909	1989	Flattened metacarpal heads
HP:0012061	2527	Urinary excretion of sialylated oligosaccharides
HP:0030685	5294	Decreased adiponectin level
HP:0004839	3339	Pyropoikilocytosis
HP:0010281	4039	Cleft lower lip
HP:0002191	4626	Progressive spasticity
HP:0011907	1873	Reduced alpha/beta synthesis ratio
HP:0012488	4224	Intraventricular arachnoid cyst
HP:0032435	2722	Neonatal omphalitis
HP:0012358	5502	Abnormal protein O-linked glycosylation
HP:0032051	2605	Focal cortical dysplasia type II
HP:0012555	2338	Absent nail of hallux
HP:0025520	5209	Calcinosis cutis
HP:0011896	3165	Subconjunctival hemorrhage
HP:0012288	4925	Neoplasm of head and neck
HP:0006783	613	Posterior pharyngeal cleft
HP:0025143	1042	Chills
HP:0003941	3334	Stippled calcification of the elbow
HP:0011935	1358	Decreased urinary urate
HP:0005914	603	Aplasia/Hypoplasia involving the metacarpal bones
HP:0100887	2249	Abnormality of globe size
HP:0010534	2463	Transient global amnesia
HP:0001001	4625	Abnormality of subcutaneous fat tissue
HP:0000657	1279	Oculomotor apraxia
HP:0032105	1831	Macrosaccadic oscillations
HP:0011081	1062	Incisor macrodontia
HP:0011298	4623	Prominent digit pad
HP:0012500	2657	Verrucous papule
HP:0006217	4036	Limited mobility of proximal interphalangeal joint
HP:0100001	2567	Malignant mesothelioma
HP:0002778	5232	Abnormal tracheal morphology
HP:0002898	1331	Embryonal neoplasm
HP:4000095	1274	Elevated circulating thymine concentration
HP:0005217	674	Duplication of internal organs
HP:0000958	5521	Dry skin
HP:0100541	1599	Femoral hernia
HP:0005445	4621	Enlarged posterior fossa
HP:0003462	1288	Elevated 8-dehydrocholesterol
HP:0031921	3191	Gastrocnemius myalgia
HP:0001187	2843	Hyperextensibility of the finger joints
HP:0004302	2651	Functional motor deficit
HP:0025724	2347	Caseous vernix-like desquamation
HP:0008972	3809	Decreased activity of mitochondrial respiratory chain
HP:0000214	1236	Lip telangiectasia
HP:0010826	359	Abnormality of the twelfth cranial nerve
HP:0000968	2675	Ectodermal dysplasia
HP:0002731	1068	Decreased lymphocyte apoptosis
HP:0008559	5206	Hypoplastic superior helix
HP:0011855	748	Pharyngeal edema
HP:0004737	2495	Global glomerulosclerosis
HP:0001821	1103	Broad nail
HP:0010724	2219	Advanced pneumatization of the mastoid process
HP:0012148	5444	Multiple lineage myelodysplasia
HP:0008391	2406	Dystrophic fingernails
HP:0030961	4615	Microspherophakia
HP:0030553	1276	Visual acuity no light perception
HP:0003988	769	Long ulna
HP:0002048	1136	Renal cortical atrophy
HP:0034222	2756	Temporal lobe dysplasia
HP:0025512	836	Skin-colored papule
HP:0004122	598	Midline defect of the nose
HP:0002946	4628	Supernumerary vertebrae
HP:0007875	1234	Congenital blindness
HP:0033331	3189	Acute phase response
HP:4000039	1012	Reduced proportion of mucosal-associated invariant T cells
HP:0031185	1801	Increased circulating NT-proBNP concentration
HP:0006536	302	Airway obstruction
HP:0011841	2396	Ventricular flutter
HP:0025347	1067	Decreased circulating beta-2-microglobulin level
HP:0034734	2098	Elevated CSF argininosuccinic acid concentration
HP:0033644	809	Elevated circulating erythropoietin concentration
HP:0004688	1734	Irregular tarsal bones
HP:0001960	3723	Hypokalemic metabolic alkalosis
HP:0034043	3062	Increased fecal bile acid
HP:0005050	3655	Anterolateral radial head dislocation
HP:0006640	1150	Multiple rib fractures
HP:0500093	774	Food allergy
HP:0030584	82	Color vision test abnormality
HP:0010696	4792	Polar cataract
HP:0000725	1359	Psychotic episodes
HP:0007915	4159	Polymorphous posterior corneal dystrophy
HP:0031851	4614	Reduced hematocrit
HP:0005655	3718	Multiple digital exostoses
HP:0004552	3460	Scarring alopecia of scalp
HP:0008223	1937	Compensated hypothyroidism
HP:0030230	3432	Central core regions in muscle fibers
HP:0030078	176	Lung adenocarcinoma
HP:0031142	5251	Abnormal hepatic echogenicity
HP:0025427	3170	Abnormal bronchus physiology
HP:0045055	51	Tiger tail banding
HP:0010698	2503	Nuclear pulverulent cataract
HP:0009769	5078	Bullet-shaped phalanges of the hand
HP:0034529	781	Reduced muscle myoadenylate deaminase activity
HP:0004925	1841	Chronic lactic acidosis
HP:0003729	458	Enteroviral dermatomyositis syndrome
HP:0009852	505	Broad proximal phalanges of the hand
HP:0004422	2692	Biparietal narrowing
HP:0007534	2723	Congenital posterior occipital alopecia
HP:0006737	2670	Extraadrenal pheochromocytoma
HP:0040234	1317	Factor XIII subunit B deficiency
HP:0005263	4356	Gastritis
HP:0030642	4927	Fundus albipunctatus
HP:0001259	854	Coma
HP:0001446	1551	Abnormality of the musculature of the upper limbs
HP:0032341	3625	Reduced forced vital capacity
HP:0002600	5201	Hyporeflexia of lower limbs
HP:0000895	3378	Lateral clavicle hook
HP:0005303	1122	Aortic arch calcification
HP:0010442	473	Polydactyly
HP:0001397	3840	Hepatic steatosis
HP:0007542	3292	Absent pigmentation of the ventral chest
HP:0003978	2089	Fractured radius
HP:0031684	3132	Renal artery atherosclerosis
HP:0003124	1914	Hypercholesterolemia
HP:0011913	4611	Lumbar hypertrichosis
HP:0031428	4610	Increased circulating osteocalcin level
HP:0004510	4609	Pancreatic islet-cell hyperplasia
HP:0001899	809	Increased hematocrit
HP:0005990	3900	Thyroid hypoplasia
HP:0007948	2778	Dense posterior cortical cataract
HP:0004885	5421	Episodic respiratory distress
HP:0011483	290	Anterior synechiae of the anterior chamber
HP:0002826	2889	Halberd-shaped pelvis
HP:0100879	4703	Enlarged ovaries
HP:0002360	2752	Sleep abnormality
HP:0002283	1107	Global brain atrophy
HP:0000464	37	Abnormality of the neck
HP:0003275	738	Narrow pelvis bone
HP:0000446	514	Narrow nasal bridge
HP:0004336	3361	Myelin outfoldings
HP:0011978	276	Elevated urinary vanillylmandelic acid
HP:0002389	467	Cavum septum pellucidum
HP:0001886	2715	Foot osteomyelitis
HP:0000343	1293	Long philtrum
HP:0030764	3917	Ochronosis
HP:0003312	1373	Abnormal form of the vertebral bodies
HP:0001100	666	Heterochromia iridis
HP:0031215	1986	Decreased circulating dehydroepiandrosterone-sulfate concentration
HP:0011819	4606	Submucous cleft soft palate
HP:0008239	3187	Adrenal medullary hypoplasia
HP:0000679	2276	Taurodontia
HP:0006243	1385	Phalangeal dislocation
HP:0033139	576	Elevated circulating uracil concentration
HP:0032232	698	Increased circulating creatine kinase MB isoform
HP:0003438	2575	Absent Achilles reflex
HP:0005709	3978	2-3 toe cutaneous syndactyly
HP:0030758	4524	Periapical tooth abscess
HP:0006109	1649	Absent phalangeal crease
HP:0010766	332	Ectopic calcification
HP:0001101	156	Iritis
HP:0003616	3328	Premature separation of centromeric heterochromatin
HP:0000682	517	Abnormal dental enamel morphology
HP:0010584	5199	Pseudoepiphyses
HP:0040196	1917	Mild microcephaly
HP:0000729	163	Autistic behavior
HP:0030532	2034	Visual acuity test abnormality
HP:0032027	772	Retinal dots
HP:0006107	1676	Fingerpad telangiectases
HP:0007646	5198	Absent lower eyelashes
HP:0001177	1065	Preaxial hand polydactyly
HP:0010539	2146	Thin calvarium
HP:0011734	1828	Central adrenal insufficiency
HP:0009789	2799	Perianal abscess
HP:0007343	2405	Abnormal morphology of the limbic system
HP:0001761	1670	Pes cavus
HP:0000017	2255	Nocturia
HP:0006247	1774	Enlarged interphalangeal joints
HP:0001621	1416	Weak voice
HP:0100704	4952	Cerebral visual impairment
HP:0010764	1798	Short eyelashes
HP:0007928	5197	Abnormal flash visual evoked potentials
HP:0005214	4417	Intestinal obstruction
HP:0001095	158	Hypertensive retinopathy
HP:0001786	2033	Narrow foot
HP:0004676	5196	Prominent supraorbital arches in adult
HP:0002354	73	Memory impairment
HP:0011470	794	Nasogastric tube feeding in infancy
HP:0007030	1456	Nonprogressive encephalopathy
HP:0006035	1842	Cone-shaped epiphyses of phalanges 2 to 5
HP:0410346	1868	Increased urinary galactosylated oligosaccharide
HP:0002236	5195	Frontal upsweep of hair
HP:0002587	385	Projectile vomiting
HP:0000616	1812	Miosis
HP:0012882	3684	Hyperplastic labia majora
HP:0003111	1844	Abnormal blood ion concentration
HP:0010441	96	Ectopic accessory finger-like appendage
HP:0011165	3957	Focal sensory seizure with visual features
HP:0011372	2713	Aplasia of the inner ear
HP:0010307	2966	Stridor
HP:0020135	3026	Myofibromatosis
HP:0004377	259	Hematological neoplasm
HP:0033994	331	Dependency on parenteral nutrition
HP:0100699	939	Scarring
HP:0012218	3185	Alveolar soft part sarcoma
HP:0003067	1492	Madelung deformity
HP:0001045	1730	Vitiligo
HP:0000189	2410	Narrow palate
HP:6000031	639	Phaeohyphomycosis
HP:0000212	1685	Gingival overgrowth
HP:0003164	2458	Hypothalamic gonadotropin-releasing hormone deficiency
HP:0002857	850	Genu valgum
HP:0002676	914	Cloverleaf skull
HP:0007281	5194	Developmental stagnation
HP:0005425	1501	Recurrent sinopulmonary infections
HP:0001875	2359	Neutropenia
HP:0012628	2578	Abnormal suspensory ligament of lens morphology
HP:0010446	884	Tricuspid stenosis
HP:0007817	1591	Horizontal supranuclear gaze palsy
HP:0031393	2635	Abnormal proportion of CD8-positive T cells
HP:0033154	297	Elevated circulating deoxypyridinoline concentration
HP:0008148	1482	Impaired epinephrine-induced platelet aggregation
HP:0025444	2862	Reduced amygdala volume
HP:0012142	441	Pancreatic squamous cell carcinoma
HP:0011946	109	Bronchiolitis obliterans
HP:0100046	1685	Cone-shaped epiphyses of the 2nd toe
HP:0004532	3648	Sacral hypertrichosis
HP:0002611	4867	Cholestatic liver disease
HP:0010975	1013	Abnormal B cell count
HP:0007962	3181	Speckled corneal dystrophy
HP:0012477	2863	Vocal tremor
HP:0033117	806	Duodenitis
HP:0040319	1374	Dark urine
HP:0007665	3096	Curly eyelashes
HP:0008458	2813	Progressive congenital scoliosis
HP:0005102	4601	Cochlear degeneration
HP:0000778	1205	Hypoplasia of the thymus
HP:0200072	2867	Episodic quadriplegia
HP:0012391	4600	Hyporeflexia of upper limbs
HP:0100738	5191	Abnormal eating behavior
HP:0011980	1914	Cholesterol gallstones
HP:0012643	1580	Foveal hypopigmentation
HP:0032019	3772	Muscle eosinophilia
HP:0100529	741	Abnormal blood phosphate concentration
HP:0034838	4599	Cleavage at junction of stratum corneum and stratum granulosum
HP:0010285	956	Oral synechia
HP:0011117	1614	Abnormal circulating interleukin concentration
HP:0001010	1936	Hypopigmentation of the skin
HP:0006440	4598	Increased density of long bone diaphyses
HP:0006579	1310	Prolonged neonatal jaundice
HP:0410300	4651	Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine
HP:0430015	5499	Abnormal morphology of musculature of pharynx
HP:0006028	1495	Metaphyseal cupping of metacarpals
HP:0001907	1896	Thromboembolism
HP:0005686	5230	Patchy osteosclerosis
HP:0001890	930	Autoimmune hemolytic anemia
HP:0030088	1665	Increased serum testosterone level
HP:0005085	5225	Limited knee flexion/extension
HP:0003434	909	Sensory ataxic neuropathy
HP:0002936	2103	Distal sensory impairment
HP:0032901	1578	Focal pedal automatism seizure
HP:0003270	331	Abdominal distention
HP:0034159	2724	Paget disease of bone
HP:0003959	965	Deformed forearm bones
HP:0030273	2401	Reduced red cell adenosine deaminase level
HP:0005477	122	Progressive sclerosis of skull base
HP:0004295	2287	Abnormal gastric mucosa morphology
HP:0003057	2526	Tetraamelia
HP:0020136	930	Anticardiolipin IgG antibody positivity
HP:0100728	1961	Germ cell neoplasia
HP:0006060	1912	Tombstone-shaped proximal phalanges
HP:0002615	2236	Hypotension
HP:0001580	1825	Pigmented micronodular adrenocortical disease
HP:0032118	3602	Retinitis
HP:0003231	1223	Hypertyrosinemia
HP:0045059	1409	Hyperkeratotic papule
HP:0000059	901	Hypoplastic labia majora
HP:0002983	912	Micromelia
HP:0001901	717	Polycythemia
HP:0031380	1343	Abnormal B cell proliferation
HP:0025712	3532	Spontaneous chorioamniotic separation
HP:0011533	1519	Snowflake vitreoretinal degeneration
HP:0012734	4795	Ketotic hypoglycemia
HP:0034006	1332	Decreased urinary lysyl-pyridinoline-hydroxylysyl-pyridinoline ratio
HP:0008207	1113	Primary adrenal insufficiency
HP:0007428	3394	Telangiectasia of the oral mucosa
HP:0004444	865	Spherocytosis
HP:0033124	3179	Increased serum sorbitol concentration
HP:0002740	299	Recurrent E. coli infections
HP:0020191	5188	Anterior predominant thick cortex pachygyria
HP:0002307	945	Drooling
HP:0001657	2396	Prolonged QT interval
HP:0004392	773	Prune belly
HP:0000154	3637	Wide mouth
HP:0002488	168	Acute leukemia
HP:0007041	5501	Chronic lymphocytic meningitis
HP:0004963	113	Calcification of the aorta
HP:0011061	5527	Abnormality of dental structure
HP:0002643	4698	Neonatal respiratory distress
HP:0030873	1799	Anti-centromere antibody positivity
HP:0001025	137	Urticaria
HP:0032092	2363	Left ventricular outflow tract obstruction
HP:0005572	1146	Decreased renal tubular phosphate excretion
HP:0011937	5449	Hypoplastic fifth toenail
HP:0100861	3066	Sclerotic vertebral body
HP:0006149	3816	Increased laxity of fingers
HP:0045047	2834	HbS hemoglobin
HP:0007549	2626	Desquamation of skin soon after birth
HP:0010816	1233	Epidermal nevus
HP:0006261	1695	Abnormal phalangeal joint morphology of the hand
HP:0001061	3922	Acne
HP:0010663	892	Abnormal thalamus morphology
HP:0010286	5404	Abnormal salivary gland morphology
HP:0005244	5286	Gastrointestinal infarctions
HP:0100796	822	Orchitis
HP:0008249	4932	Thyroid hyperplasia
HP:0002270	296	Abnormality of the autonomic nervous system
HP:0033997	1540	Perinuclear cardiomyocyte vacuolization
HP:0032325	837	Lacunar stroke
HP:0009821	2271	Forearm undergrowth
HP:0100703	913	Tongue thrusting
HP:0040173	110	Abnormality of the tongue muscle
HP:0007018	2268	Attention deficit hyperactivity disorder
HP:0007488	1303	Diffuse skin atrophy
HP:0031800	1683	Elevated circulating apolipoprotein A-II concentration
HP:0002181	2599	Cerebral edema
HP:0000525	2983	Abnormality iris morphology
HP:0011210	2120	EEG with occipital slowing
HP:0025232	1648	Bursitis
HP:0000265	4584	Mastoiditis
HP:0001737	1755	Pancreatic cysts
HP:0008763	5331	No social interaction
HP:0005852	1141	Limited elbow extension and supination
HP:0005090	3828	Lateral femoral bowing
HP:0040044	2573	Hypoplasia of the diaphragm
HP:0001917	525	Renal amyloidosis
HP:0011761	655	Pituitary null cell adenoma
HP:0003561	4884	Birth length less than 3rd percentile
HP:0032297	879	Increased circulating IgG3 level
HP:0033505	1050	Livedo reticularis
HP:0001530	2402	Mild postnatal growth retardation
HP:0032638	4953	Elevated urine mevalonic acid level
HP:0500223	1947	Increased CSF phenylalanine concentration
HP:0003555	1094	Muscle fiber splitting
HP:0007814	4927	Retinal pigment epithelial mottling
HP:0009050	5177	Quadriceps muscle atrophy
