HPO_term	cluster_label	HPO_label
HP:0030145	1010	Lack of bowel sounds
HP:0004432	3647	Agammaglobulinemia
HP:0003977	3531	Deformed radius
HP:0007359	2469	Focal-onset seizure
HP:0045046	3249	Reduced insulin like growth factor binding protein acid labile subunit concentration
HP:0003073	3267	Hypoalbuminemia
HP:6000619	2161	Reduced phosphoenolpyruvate carboxykinase activity in cultured fibroblasts
HP:0003765	1254	Psoriasiform dermatitis
HP:0000086	3617	Ectopic kidney
HP:0011386	2998	Narrow internal auditory canal
HP:0003040	3593	Arthropathy
HP:0030042	4755	Incomplete ossification of pubis
HP:0003487	3348	Babinski sign
HP:6000119	636	Elevated urinary dihydrothymine level
HP:0012114	49	Endometrial carcinoma
HP:0025321	3215	Copper accumulation in liver
HP:0011261	3478	Darwin tubercle of helix
HP:0004794	2310	Malrotation of small bowel
HP:0003393	3773	Thenar muscle atrophy
HP:0000307	3876	Pointed chin
HP:0007220	3570	Demyelinating motor neuropathy
HP:0025278	2845	Cold-induced sweating
HP:0007335	4890	Recurrent encephalopathy
HP:0002289	3257	Alopecia universalis
HP:0007366	3275	Atrophy/Degeneration affecting the brainstem
HP:0003538	1300	Increased iduronate sulfatase level
HP:0030503	72	Macular telangiectasia
HP:0012647	3846	Abnormal inflammatory response
HP:0000929	1213	Abnormal skull morphology
HP:0000454	2914	Flared nostrils
HP:0006992	4790	Anterior basal encephalocele
HP:0025134	4734	Increased serum estradiol
HP:0006747	2970	Ganglioneuroblastoma
HP:0000708	3011	Atypical behavior
HP:0004719	1904	Hyperechogenic kidneys
HP:0031425	2921	Increased circulating beta-C-terminal telopeptide concentration
HP:0032047	2073	Focal cortical dysplasia type I
HP:0010900	3417	Abnormal circulating threonine concentration
HP:0004732	4840	Impaired renal uric acid clearance
HP:0032521	2189	Self hugging
HP:0006671	4534	Paroxysmal atrial tachycardia
HP:0002076	2472	Migraine
HP:0012775	1759	Stellate iris
HP:0008314	3191	Decreased activity of mitochondrial complex II
HP:0032287	1862	Ultra-low vision with no light perception
HP:0002552	3270	Trichodysplasia
HP:0100490	1631	Camptodactyly of finger
HP:0025672	5295	Fetal skin edema
HP:0007078	3179	Decreased amplitude of sensory action potentials
HP:0009464	1221	Ulnar deviation of the 2nd finger
HP:0034179	3254	Vertebral artery aneurysm
HP:0002711	4688	Exaggerated median tongue furrow
HP:0034203	2965	Decreased iduronate sulfatase level
HP:0025118	4695	Lip discoloration
HP:0033235	2560	Difficulty descending stairs
HP:0001704	2064	Tricuspid valve prolapse
HP:0033214	1122	Recurrent viral pneumonia
HP:0032509	1741	Onychotillomania
HP:0034565	3637	Elevated urinary 5-amino-4-imidazolecarboxamide-riboside level
HP:0011370	2395	Recurrent cutaneous fungal infections
HP:0000474	3752	Thickened nuchal skin fold
HP:0007208	1625	Irregular myelin loops
HP:0025262	3348	Stiff hip
HP:0045074	2622	Thin eyebrow
HP:0009804	3347	Tooth agenesis
HP:0033194	2544	Perioral erythema
HP:0004603	2454	Hyperconvex vertebral body endplates
HP:0010468	1876	Aplasia/Hypoplasia of the testes
HP:0005867	3450	4-5 metacarpal synostosis
HP:0010521	3140	Gait apraxia
HP:0011120	2761	Concave nasal ridge
HP:0008780	1332	Congenital bilateral hip dislocation
HP:0032012	1864	Heterotropia
HP:0002401	4036	Stroke-like episode
HP:0033785	3271	Enamel agenesis
HP:0009773	1508	Symphalangism affecting the phalanges of the hand
HP:0012083	2687	Ubiquitin-positive cerebral inclusion bodies
HP:0500233	2876	Increased CSF alanine concentration
HP:0000550	3051	Undetectable electroretinogram
HP:0000727	3256	Frontal lobe dementia
HP:0012465	3199	Elevated hepatic iron concentration
HP:0004962	2818	Thoracic aorta calcification
HP:0030319	3259	Weakness of facial musculature
HP:0000182	2096	Movement abnormality of the tongue
HP:0000580	1677	Pigmentary retinopathy
HP:0012721	1086	Venous malformation
HP:0030197	2314	Fatigable weakness of skeletal muscles
HP:0500210	281	Increased CSF methionine concentration
HP:0011573	2220	Hypoplastic tricuspid valve
HP:0004095	3636	Curved fingers
HP:0100334	3673	Unilateral cleft palate
HP:0010722	1506	Asymmetry of the ears
HP:0031374	2746	Ankle weakness
HP:0001951	1	Episodic ammonia intoxication
HP:0020073	808	Hypopigmented macule
HP:0006587	3515	Straight clavicles
HP:0012284	1293	Small proximal tibial epiphyses
HP:0030050	4988	Narcolepsy
HP:0005463	2945	Elongated sella turcica
HP:0002876	5233	Episodic tachypnea
HP:0001600	1721	Abnormality of the larynx
HP:0008144	5358	Flattening of the talar dome
HP:0005997	3890	Neck joint contracture
HP:0002617	3324	Vascular dilatation
HP:0012905	3838	Euryblepharon
HP:0410030	1532	Cleft lip
HP:0000842	2061	Hyperinsulinemia
HP:0000775	2099	Abnormality of the diaphragm
HP:0009069	3241	Lethal infantile mitochondrial myopathy
HP:0003075	1612	Hypoproteinemia
HP:0012410	4678	Pure red cell aplasia
HP:6000218	2959	Reduced circulating xanthine oxidase activity
HP:0500253	3192	Increased level of gamma-aminobutyric acid in urine
HP:0003237	1973	Increased circulating IgG level
HP:0030247	1672	Splanchnic vein thrombosis
HP:6000015	3593	Tympanic membrane hypermobility
HP:0001000	2950	Abnormality of skin pigmentation
HP:0034014	2342	Tubulonodular pericallosal lipoma
HP:0001004	3394	Lymphedema
HP:0002577	5521	Abnormal stomach morphology
HP:0000598	3292	Abnormality of the ear
HP:0100866	2352	Short iliac bones
