gene_name	phast_value
DDX11L1	0.1056694182389937
WASH7P	0.0604967624967624
MIR1302-11	0.0373348329048843
FAM138A	0.0484096858638743
OR4G4P	0.0773794642857143
OR4G11P	0.1952
OR4F5	0.1574847494553377
RP11-34P13.7	0.1109648988073726
RP11-34P13.8	0.1313099678456591
CICP27	0.2598221406086044
AL627309.1	0.1977102031703505
RP11-34P13.15	0.0926145695364238
RP11-34P13.16	0.0713169014084507
RP11-34P13.14	0.1851181818181818
RP11-34P13.13	0.077749143227639
RNU6-1100P	0.074951923076923
RP11-34P13.9	0.1277592592592592
AP006222.2	0.0993640354196624
AP006222.1	0.3098181818181818
RP4-669L17.10	0.1166928333908345
RP4-669L17.8	0.0413044124938026
CICP7	0.3101885245901639
RP4-669L17.4	0.4563222222222222
OR4F29	0.1604603015075376
WBP1LP7	0.4093498622589531
AL732372.1	
RP4-669L17.2	0.0584868574766355
RP5-857K21.15	0.0540952588081774
RP4-669L17.1	0.3111974025974026
RP5-857K21.1	0.0513728194726166
RP5-857K21.2	0.0630591036414565
RP5-857K21.3	0.0939228496388706
RP5-857K21.4	0.124873955245096
RP5-857K21.5	0.0595654834761321
MTND1P23	0.3812392473118279
MTND2P28	0.258551724137931
hsa-mir-6723	0.5173739468567725
RP5-857K21.7	0.4487023460410557
MTATP8P1	0.2585700483091787
MTATP6P1	0.3706490455212922
RP5-857K21.11	0.4326398537477148
WBP1LP6	0.4252334905660377
OR4F16	0.147024120603015
CICP3	0.2958392603129445
RP11-206L10.1	0.1667516953573291
RP11-206L10.3	0.0381543149683081
RNU6-1199P	0.0753846153846153
RP11-206L10.5	0.1538038683406854
RP11-206L10.4	0.167578313253012
RP11-206L10.2	0.056500290486565
RP11-206L10.9	0.0913553098334984
RP11-206L10.8	0.0471531832381773
AL669831.1	0.0384636963696369
RP11-206L10.10	0.0389196475539189
FAM87B	0.0579955357142857
LINC00115	0.0494009111617312
RP11-206L10.11	0.0555755205879581
FAM41C	0.2935628891656289
TUBB8P11	0.3769017013232514
AL645608.2	0.0282946934569809
RP11-54O7.16	0.0560313201112806
RP11-54O7.1	0.01729140580535
RP11-54O7.2	0.0264781523096129
RP11-54O7.3	0.0279937379576107
SAMD11	0.0764211007311129
AL645608.1	0.0363450405248938
NOC2L	0.0618875943333774
KLHL17	0.1428943263794111
PLEKHN1	0.0981379015903511
C1orf170	0.0661821072409307
RP11-54O7.17	0.0064285714285714
HES4	0.2062105697770437
RP11-54O7.10	0.2156038961038961
RP11-54O7.11	0.0265263157894736
ISG15	0.1016726296958855
AGRN	0.1079869700505639
RP11-54O7.14	0.0835867158671586
RP11-465B22.3	0.0884532321762627
RP11-54O7.18	0.0624042553191489
RNF223	0.0814994015559545
C1orf159	0.0609445055581287
RP11-465B22.5	0.1027710227272727
MIR200B	0.209378947368421
MIR200A	0.1719666666666666
MIR429	0.3422048192771084
RP11-465B22.8	0.0074285714285714
TTLL10-AS1	0.0519824615384615
TTLL10	0.1225675203725262
TNFRSF18	0.0484905778894472
TNFRSF4	0.0743227870600782
SDF4	0.0568739751388521
B3GALT6	0.1593032581453634
FAM132A	0.1058382043488426
RP5-902P8.12	0.0669467265725288
UBE2J2	0.0394733443459979
RP5-902P8.10	0.0901821854559446
SCNN1D	0.0571114369501466
ACAP3	0.0953511082743414
PUSL1	0.1000070716811314
CPSF3L	0.0663593499656672
RP5-890O3.9	0.0483110910730387
GLTPD1	0.0751699661999034
TAS1R3	0.1865532181317305
DVL1	0.0785440852575488
MXRA8	0.0907109693035537
AURKAIP1	0.128861268403171
RP5-890O3.3	0.300708446866485
CCNL2	0.1141962108973417
RP4-758J18.2	0.0075104950495049
MRPL20	0.0795856455789863
RN7SL657P	0.1738595890410959
RP4-758J18.13	0.1165732107682206
ANKRD65	0.0573185074626865
RP4-758J18.7	0.0307090314671025
TMEM88B	0.112878313253012
RP4-758J18.10	0.0468741016109045
VWA1	0.0662767389678384
ATAD3C	0.0527646311675622
ATAD3B	0.0502455340029134
ATAD3A	0.0566534587567111
TMEM240	0.087123106060606
SSU72	0.0328766454800132
AL645728.2	0.0138132170720514
AL645728.1	0.0160677134445534
AL645728.3	0.1926434426229508
C1orf233	0.1522306954436451
RP11-345P4.9	0.0587217860647693
MIB2	0.0875824559094498
MMP23B	0.1471554011370815
CDK11B	0.0755127572844849
RP11-345P4.10	0.0451464307504576
SLC35E2B	0.0528764930032982
RP11-345P4.7	0.0820014064697609
RP11-345P4.6	0.141093499554764
MMP23A	0.2438282828282828
CDK11A	0.1102681266783961
RP1-283E3.8	0.0886087889451549
RP1-283E3.4	0.0522963893249607
SLC35E2	0.0502124320491609
NADK	0.0582508382946691
GNB1	0.0426263673924759
RP1-140A9.1	0.0057651515151515
CALML6	0.0976323886639676
TMEM52	0.1035178147268408
C1orf222	0.0629625920543227
RP11-547D24.1	0.0654715271786022
GABRD	0.0568273021992464
RP11-547D24.3	0.0442039170506912
PRKCZ	0.0344477861939137
RP5-892K4.1	0.0229401811248808
RP11-181G12.2	0.083187596302003
C1orf86	0.0575082988286088
AL590822.2	0.0074390118373649
AL590822.1	0.0586647501105705
RP11-181G12.5	0.0484678217821782
RP11-181G12.4	0.0420452775073028
SKI	0.0622897267424009
MORN1	0.054141934568164
RP4-713A8.1	0.2206511156186612
AL589739.1	0.025030303030303
RP4-740C4.6	0.0739597008724553
RP4-740C4.5	0.2027056074766355
RP4-740C4.7	0.0658873239436619
RP4-740C4.9	0.0389520958083832
RP4-740C4.8	0.0117311827956989
AL513477.1	0.057396208226221
RER1	0.0387150620547844
PEX10	0.0516277080324408
PLCH2	0.0371648125102135
RP3-395M20.2	0.0012481751824817
RP3-395M20.3	0.0009060402684563
PANK4	0.0618816139030329
HES5	0.2354676882078614
RP3-395M20.12	0.0027459839357429
RP3-395M20.8	0.0196167041619797
TNFRSF14	0.0128010057471264
RP3-395M20.7	0.0249393503880425
RP3-395M20.9	0.0521281102891728
FAM213B	0.0775699939746937
MMEL1	0.0391006508819922
RP13-436F16.1	0.0348351838144584
TTC34	0.0247446444668328
RP11-740P5.2	0.0053985765124555
RP11-740P5.3	0.0045873015873015
ACTRT2	0.2894246478873239
LINC00982	0.0314161849710982
AL008733.1	0.0039816933638443
PRDM16	0.0477483232012645
RP1-163G9.2	0.0048186462324393
RP11-22L13.1	0.0022155446402773
ARHGEF16	0.0341809427458033
RP11-168F9.2	0.0508848167539267
MEGF6	0.0333612226097256
MIR551A	0.4406666666666667
RP11-46F15.2	0.0046106821106821
TPRG1L	0.0857936012485368
WRAP73	0.0479934985223914
TP73	0.0379394493439449
RP5-1092A11.5	0.045219420437214
RP5-1092A11.2	0.0197203430204859
TP73-AS1	0.069732669778913
CCDC27	0.0352681317539484
SMIM1	0.0497433489827856
LRRC47	0.0657830518882407
RN7SL574P	0.0690542372881355
RP1-286D6.5	0.0903126177024482
CEP104	0.0560908627642132
DFFB	0.0469906213364595
AL691523.1	0.0281857142857142
C1orf174	0.0524135553764885
RP13-15E13.1	0.0261495787350183
RP13-614K11.1	0.0333221843003413
RP13-614K11.2	0.0033204148471615
RP11-374C13.1	0.4347876344086022
RP5-1166F10.1	0.0396295798053335
RP1-37J18.1	0.0230583941605839
RP1-37J18.2	0.0587413676941216
AJAP1	0.0368688707793008
RP11-542C10.1	0.0865696915109209
RP1-58B11.1	0.0336635238656452
MIR4417	0.0010273972602739
RP11-154H17.1	0.0348488162317121
AL356693.1	0.0027977528089887
MIR4689	0.0022571428571428
NPHP4	0.0363429042980649
AL356261.1	0.1952674418604651
KCNAB2	0.033487596602508
AL035406.1	0.0333220779220779
CHD5	0.0573574319235041
RPL22	0.050907542406031
RP1-120G22.11	0.0165175345377258
RNF207	0.0600447393364928
ICMT	0.086624898511502
LINC00337	0.0358427457098283
HES3	0.1305436193222783
GPR153	0.0856718268525311
ACOT7	0.0378718212767919
RP1-202O8.3	0.0309796893667861
HES2	0.0513488941483718
ESPN	0.081239482819889
MIR4252	0.1377142857142857
RP1-202O8.2	0.0798434432418827
TNFRSF25	0.0986929633300297
PLEKHG5	0.061854585881045
NOL9	0.0792484558136732
RNU6-731P	0.1406306306306306
RP11-58A11.2	0.2451552447552447
TAS1R1	0.1030891483907718
ZBTB48	0.104354849137931
KLHL21	0.0724810751967844
PHF13	0.1213871871678423
THAP3	0.0490447719429157
DNAJC11	0.0582828194872854
RP11-242F24.1	0.0709302455357143
snoU13	0.0176893203883495
RP11-312B8.1	0.1321943277310924
CAMTA1	0.0600013196083231
RP11-312B8.2	0.2504300699300699
RP11-334N17.1	0.0479903455284552
RNU1-8P	0.0181030303030303
CAMTA1-IT1	0.0203912716328066
RP3-453P22.2	0.039118067978533
RP4-549F15.1	0.0111023965141612
RP11-338N10.1	0.033967460778617
RP11-338N10.2	0.0050403508771929
RP11-338N10.3	0.0064794007490636
VAMP3	0.0613353994490358
RP3-467L1.6	0.0365572519083969
PER3	0.0526084491767721
RP3-467L1.4	0.0529093620256125
UTS2	0.0532875359539789
TNFRSF9	0.0653659847764034
RP5-892F13.2	0.3170957746478873
PARK7	0.0660233541566554
Y_RNA	0.005252427184466
ERRFI1	0.0927304724948641
RP11-431K24.1	0.0595481477622049
CTA-215D11.4	0.1709105824446267
RP11-431K24.2	0.2289239904988123
RNU1-7P	0.0605121951219512
RP11-431K24.3	0.0285433552530968
RP11-431K24.4	0.0333252136752136
RN7SL729P	0.0427803921568627
RNU6-991P	0.0175140186915887
SLC45A1	0.0517052615594867
Y_RNA	0.0606106194690265
RERE	0.0726233261543355
RP5-1115A15.1	0.051781832450461
SNORA77	0.0379279999999999
RP5-1115A15.2	0.2054308943089431
RP4-633I8.1	0.38930547112462
RP4-633I8.2	0.2546230440967283
Y_RNA	0.0009898989898989
RP4-633I8.3	0.1755348837209302
RP4-633I8.4	0.12198322147651
RP11-185B14.1	0.286040650406504
ENO1	0.0499731477422183
ENO1-IT1	0.0563612612612612
ENO1-AS1	0.0931320754716981
RNU6-304P	0.0440467289719626
HMGN2P17	0.2374602960969044
RP3-477M7.5	0.1742982954545454
RP3-477M7.6	0.5075276073619632
CA6	0.0485897146376514
RN7SL451P	0.2428956228956229
SLC2A7	0.0465575804911915
SLC2A5	0.0806236228734167
SCARNA16	0.3972228260869565
GPR157	0.0477078569943878
MIR34A	0.1593
RP3-510D11.1	0.0406512395090476
RP3-510D11.2	0.0139957515678737
H6PD	0.093212400514181
Z98044.1	0.0049790209790209
SPSB1	0.0404612604855648
RNA5SP40	0.0015454545454545
RP13-392I16.1	0.0487004201680672
SLC25A33	0.0614924174453465
RP13-15M17.1	0.257216457960644
TMEM201	0.0577615366866635
PIK3CD	0.0703912874920848
C1orf200	0.0221810824481537
RP11-558F24.2	0.1508315730961645
RP11-558F24.4	0.0447181758096497
CLSTN1	0.0617407356991026
RP11-558F24.6	0.3075489260143198
CTNNBIP1	0.0655462206538728
RP11-84A14.5	0.0605329341317365
